,Institute Name,Total Graduates,Provider Name,lat,lon,Address,Municipality,Province
46,"BATANGAS EASTERN COLLEGES, INC.",362,"BATANGAS EASTERN COLLEGES, INC.",13.8261396,121.3955465,"Abuyon National Road, Brgy. Pagkakaisa, San Narciso, Quezon",San Narciso,Quezon
47,THE MOLINO INSTITUTE OF SCIENCE AND TECHNOLOGY INC.,358,THE MOLINO INSTITUTE OF SCIENCE AND TECHNOLOGY INC.,13.930678,121.431791,"#3 Ong. Road Lapolapo I San Jose, Batangas",San Jose,Batangas
48,ST. MARTIN SCHOOL OF ADVANCED TECHNOLOGY AND CAREGIVER INC.,357,ST. MARTIN SCHOOL OF ADVANCED TECHNOLOGY AND CAREGIVER INC.,14.332596,120.931218,"CM Delos Reyes Ave., Brgy. Biclatan, Gen. Trias, Cavite",Gen. Trias,Cavite
49,RNC Technical Learning Center Inc.,355,RNC Technical Learning Center Inc.,13.9572058,122.287787,"Gomez Extension, Brgy. 1, Lucena City",Lucena City,Quezon
50,UNITECH EDUCATIONAL INSTITUTE (UEI) INC.,330,UNITECH EDUCATIONAL INSTITUTE (UEI) INC.,13.780007,122.293543,"Blk 1 and 2A Lot 3550 Chunnel and Channel Building, Central Market Avenue, Zone IV(Pob.), City of Dasmariñas, Cavite",City of Dasmariñas,Cavite
51,Quezon National Agricultural School,329,Quezon National Agricultural School,13.9803408,121.7894351,"Aguila, San Jose, Batangas",San Jose,Batangas
52,Advent Caregiver School Inc.,325,Advent Caregiver School Inc.,14.34267,121.08071,"Limcaoco Subdivision, Brgy., Tres, Cabuyao City, Laguna",Cabuyao City,Laguna
53,WESTBRIDGE INSTITUTE OF TECHNOLOGY,325,WESTBRIDGE INSTITUTE OF TECHNOLOGY,14.2795538,121.1235712,"J. Rizal st., Brgy 4, Quinale, Paete, Laguna",Paete,Laguna
54,"BRIGHTWELL TECHNICAL EDUCATION TRAINING AND ASSESSMENT CENTER, INC.",321,"BRIGHTWELL TECHNICAL EDUCATION TRAINING AND ASSESSMENT CENTER, INC.",13.8792270709432,121.108361022658,"Km 49 National Hi-way, Brgy. Parian, Calamba City, Laguna",Calamba City,Laguna
55,"SCHOLA ANGELICUS, INC.",321,"SCHOLA ANGELICUS, INC.",14.263146,121.1333466,"Old Cooperative Building, Brgy. VII, City of Calamba, Laguna",City of Calamba,Laguna
56,Technical Skills System of Lucena Inc.,318,Technical Skills System of Lucena Inc.,13.780007,122.293543,"049 L. E. Village, Brgy. Lingga, City of Calamba, Laguna",City of Calamba,Laguna
57,"COLEGIO DE SAN EXPEDITO, IN.C",309,"COLEGIO DE SAN EXPEDITO, IN.C",13.9629837,121.5243402,"Maharika Highway,Red V, Lucena City",Lucena City,Quezon
58,SYNERGY ASSESSMENT AND TRAINING CENTER INC.,307,SYNERGY ASSESSMENT AND TRAINING CENTER INC.,14.695,121.720005,"Brgy. Anastacia, Tiaong, Quezon",Tiaong,Quezon
59,EL ROYALE CREDIT COOPERATIVE,302,EL ROYALE CREDIT COOPERATIVE,14.0259,121.5929,"Purok 3, Brgy. Tranca, Bay, Laguna",Bay,Laguna
60,SWEET NATURE FARMS,300,SWEET NATURE FARMS,14.5066457388391,121.44371109568,"Km 17 E. Aguinaldo Highway, Panapaan V Bacoor, Cavite",Bacoor City,Cavite
61,Rizal Provincial Technical Education and Skills Development Center - Binangonan,299,Rizal Provincial Technical Education and Skills Development Center - Binangonan,14.4647563,121.1923358,"2/F MVL Center Annex Bldg., National Road, Tambo, Lipa City, Batangas",Lipa City,Batangas
62,"BROTHERS OF CHRIST OF BANNEUX, INC.   ",295,"BROTHERS OF CHRIST OF BANNEUX, INC.   ",14.386013,120.8802597,"Kristine Business Center Chipeco ave. cor Burgos St. Brgy. 2, Calamba City.",City of Calamba,Laguna
63,"OFFSHORE-ONSHORE INSTITUTE OF TECHNOLOGY, INC.",293,"OFFSHORE-ONSHORE INSTITUTE OF TECHNOLOGY, INC.",14.174409,121.72621,"1024 FELIX AVE.,BRGY STO. DOMINGO, CAINTA RIZAL",Cainta,Rizal
64,Rizal Provincial Technical Education and Skills Development Center - Cainta,293,Rizal Provincial Technical Education and Skills Development Center - Cainta,14.5770841,121.1192608,"Lot 5080 Init 3 G/F and Unit 5 2/F Tory's Dream Building Sol P, Bella St. Corner Capt. I. Bella St. Poblacion i-B, Imus City, Cavite",Imus City,Cavite
65,CRUZEDAL TRAINING & ASSESSMENT CENTER INC.,292,CRUZEDAL TRAINING & ASSESSMENT CENTER INC.,14.0691202852455,121.298081872363,"Purok 1, Sitio Kaypatag, Kinalaglagan, Mataas na Kahoy, Batangas",Mataas na Kahoy,Batangas
66,The Foundation for Professional Training Inc. - Anihan Technical School,291,The Foundation for Professional Training Inc. - Anihan Technical School,14.21167,121.16528,"Eco Hub Seaman’s Village, Brgy. Piela, Sampaloc 3, Dasmariñas, Cavite",Dasmariñas,Cavite
67,"IMUS COMPUTER COLLEGE, INC. (FORMERLY: IMUS COMPUTER CENTER, INC.) - CARMONA ",288,"IMUS COMPUTER COLLEGE, INC. (FORMERLY: IMUS COMPUTER CENTER, INC.) - CARMONA ",14.3248994,121.0650404,"Trece-Indang Rd. Luciano, Trece Martires City, Cavite",Trece Martires City,Cavite
68,XAVIER TECHNICAL TRAINING CENTER CORP.,288,XAVIER TECHNICAL TRAINING CENTER CORP.,14.34267,121.08071,"Lopez Ave., Los Baños, Laguna",Los Baños,Laguna
69,IMPERIUM TRAINING CENTER INC.,286,IMPERIUM TRAINING CENTER INC.,14.067603,121.31952,"Capt. Alano St. cor. Doña Aurora, Angono, Rizal",Angono,Rizal
70,MIKASTRA INTEGRATED FARM,285,MIKASTRA INTEGRATED FARM,13.7476253,122.1404468,"Poblacion 2, Sariaya, Quezon",Sariaya,Quezon
