SOC,AIOE
27-1013.00,-0.673807460441017
27-1014.00,0.6104659406880933
27-1021.00,0.7728061761076767
27-1022.00,0.364441703885119
27-1023.00,-0.37442918284918647
27-1024.00,0.6558359528610636
27-1025.00,1.048629319464201
27-1026.00,-1.1093512108432708
27-1027.00,0.3237729714462846
27-2011.00,0.059566552201174086
27-2012.00,0.6756790679698796
27-2012.03,0.9348940181581601
27-2012.04,1.1261254733291666
27-2012.05,0.6001324360461368
27-2021.00,-1.9282811870758152
27-2022.00,0.017096591424860003
27-2023.00,-0.1520530039584305
27-2031.00,-2.790221032238904
27-2032.00,-1.709171930211702
27-2041.00,0.274016042968412
27-2042.00,-0.13514658589602044
27-3011.00,0.8950494580729584
27-3023.00,0.8767206131646967
27-3031.00,1.1520491300591627
27-3041.00,1.0358423916827189
27-3042.00,1.0920143306176706
27-3043.00,1.0181539474020151
27-3043.05,0.697709572118294
27-3091.00,0.9909846410343951
27-3092.00,0.567630060812383
27-4011.00,-0.11243267117694136
27-4012.00,0.022556958288166833
27-4014.00,0.2798778760266114
27-4021.00,-0.2981833494172857
27-4031.00,-0.5508482140278785
27-4032.00,0.8385755305279295
29-1011.00,-0.29320784856076604
29-1021.00,-0.2832337355362108
29-1022.00,-0.341274951147607
29-1023.00,0.06863910403727454
29-1024.00,-0.2563363307203044
29-1031.00,1.3048388868965093
29-1041.00,0.4991982078368139
29-1051.00,0.5220524179890909
29-1071.00,0.19453255170862735
29-1071.01,-0.22033826131166323
29-1081.00,0.4559380661532485
29-1122.00,-0.041858993827463886
29-1122.01,0.307475345014935
29-1123.00,-0.4825330700349509
29-1124.00,-0.3211544873092259
29-1125.00,-0.37984092010567555
29-1126.00,-0.2900359460934343
29-1127.00,1.2300348760929598
29-1128.00,-0.12424117295116499
29-1129.01,0.3673524809663098
29-1129.02,0.18493236330607662
29-1131.00,-0.13827886539318068
29-1141.00,-0.29611872622161767
29-1141.01,0.4191047608878628
29-1141.02,0.9712646447791209
29-1141.03,-0.2147223132672803
29-1141.04,0.2901836953696358
29-1151.00,0.12302537170549344
29-1161.00,0.08208991821565403
29-1171.00,0.18706776169459535
29-1181.00,0.6225181228992671
29-1211.00,0.13611773860709364
29-1213.00,0.43276218246646586
29-1214.00,0.04559128083409617
29-1215.00,0.8922840676535873
29-1216.00,0.828567355730456
29-1217.00,1.2652330260521698
29-1218.00,0.18332668489368265
29-1221.00,0.9727038814709683
29-1222.00,0.8775544999698874
29-1223.00,1.1894922441218638
29-1224.00,0.5934098320952889
29-1229.01,1.0223736315356307
29-1229.02,0.6478447745449541
29-1229.03,0.08701867609934283
29-1229.04,0.3575720507810457
29-1229.05,1.415671448570335
29-1229.06,0.07329974230484824
29-1241.00,0.1689873703868454
29-1291.00,-0.03888611439677191
29-1292.00,-0.5940170131427538
29-1299.01,1.1040891099145644
29-1299.02,0.5697309881536636
29-2011.00,0.17699177350318282
29-2011.01,0.5819041604440499
29-2011.02,0.265213821323933
29-2011.04,-0.2884063501271596
29-2012.00,-0.22880812050927193
29-2012.01,-0.48497200740066854
29-2031.00,-0.19219868287645908
29-2032.00,-0.36657795839308943
29-2033.00,-0.014419516209767199
29-2034.00,-0.4012676418681731
29-2035.00,-0.20865565249295095
29-2036.00,0.7835400041690948
29-2051.00,-0.22701890298112617
29-2052.00,-0.1043624926768157
29-2053.00,-0.3419776911896658
29-2055.00,-0.587157680662436
29-2056.00,-0.4661208671110708
29-2057.00,-0.013880118804895083
29-2061.00,-0.5947699422037686
29-2081.00,0.11000396896726682
29-2091.00,0.004373765875141054
29-2092.00,0.45147049389887733
29-2099.01,0.21132544364499514
29-2099.05,-0.0266909571469321
29-2099.08,0.6725396371174547
29-9091.00,-0.45807712137549916
29-9092.00,1.438219081204524
29-9093.00,-0.8724455183132753
29-9099.01,0.10897922820391583
31-1121.00,-0.7502672262411442
31-1122.00,-0.6772622943204768
31-1131.00,-1.0828705900169235
31-1132.00,-1.7921559227550374
31-1133.00,-0.634117021724013
31-2011.00,-0.6062417066574907
31-2012.00,-0.9532984796372481
31-2021.00,-0.6803807855491084
31-2022.00,-0.918940199533262
31-9011.00,-1.5761320352117902
31-9091.00,-0.5333720364723773
31-9092.00,0.04654632180638959
31-9093.00,-0.8367670813399096
31-9094.00,0.8297608054603764
31-9095.00,-0.2569508357616167
31-9096.00,-0.9234261541013596
31-9097.00,-0.3804491947448989
31-9099.01,1.0278214344213759
31-9099.02,-0.6063787257456854
33-1011.00,-0.6934738942983004
33-1012.00,-0.305100115361535
33-1021.00,-0.802337518125269
33-1091.00,-0.03354121565671762
33-2011.00,-1.3787987685071146
33-2021.00,-0.05258282934838503
33-2022.00,-0.31657113221932787
33-3011.00,-0.732605796881846
33-3012.00,-1.0309649357613404
33-3021.00,-0.15651948986154837
33-3021.02,0.0287418780536282
33-3021.06,1.3966747844152223
33-3031.00,-0.5625225681777712
33-3041.00,-0.7291658778818783
33-3051.00,-0.8174611858001268
33-3051.04,-0.20156335448638277
33-3052.00,-0.9271860914768438
33-9011.00,-0.7621838434575567
33-9021.00,0.6531769475520648
33-9031.00,0.6331519841981866
33-9032.00,-0.5192157036662737
33-9091.00,-0.6747872621334753
33-9092.00,-0.7322553346143188
33-9093.00,-0.6111767983055003
33-9099.02,-0.02362432238921929
35-1011.00,-0.39653903777290084
35-1012.00,-0.2372197068437902
35-2011.00,-0.8190704758683881
35-2012.00,-0.7413234305997577
35-2013.00,-0.8560282881871624
35-2014.00,-0.9899310238757183
35-2015.00,-0.9369119483695106
35-2021.00,-1.2189818347717367
35-3011.00,-0.7211067382646418
35-3023.00,-0.5890302485072464
35-3023.01,-0.8581309617615216
35-3031.00,-1.081213025153293
35-3041.00,-0.8717900205685837
35-9011.00,-1.9363931399533265
35-9021.00,-1.9924860984209987
35-9031.00,-0.18570543396714587
37-1011.00,-0.6341706741709909
37-1012.00,-0.699516394832444
37-2011.00,-1.5455201611166942
37-2012.00,-1.6362717316053577
37-2021.00,-0.8314525563306905
37-3011.00,-1.9382573000521834
37-3012.00,-0.9918531623267592
37-3013.00,-1.8403543782434493
39-1013.00,-0.1118998617453376
39-1022.00,0.18223345140344296
39-2011.00,-1.0241347464350583
39-2021.00,-0.9961877096273571
39-3011.00,-0.03949443002426272
39-3012.00,0.3681650893690845
39-3021.00,-0.4138637633282997
39-3031.00,-0.3444443282991167
39-3091.00,-0.5268736463205379
39-3092.00,-0.5572825647018668
39-3093.00,-0.4486918547120301
39-4011.00,-0.8364666904399782
39-4021.00,-0.6203235325604073
39-4031.00,-0.37783990878543733
39-5011.00,-0.8353989442745323
39-5012.00,-0.7879999963529365
39-5091.00,-0.5338230602323114
39-5092.00,-0.06680498431665956
39-5093.00,-1.012618139932086
39-5094.00,-0.2689427099948295
39-6011.00,-1.3819190397671681
39-6012.00,1.0226469238849176
39-7011.00,0.6456905887950969
39-7012.00,0.37645664910699317
39-9011.00,-0.23403040596517774
