2009 PSIC Code,Region Description,Job Subsector,Total Male,Total Female,Paid Male,Paid Female,Unpaid Male,Unpaid Female,Section Letter,Job Sector
S961,MIMAROPA Region,"Personal services for wellness, except sports activities",76,109,76,109,0,0,S,Other Service Activities
S962,MIMAROPA Region,Laundry services,0,28,0,28,0,0,S,Other Service Activities
S963,MIMAROPA Region,Funeral and related activities,142,67,142,66,0,1,S,Other Service Activities
S969,MIMAROPA Region,"Other personal service activities, n.e.c.",,,,,,,S,Other Service Activities
,Region V (Bicol Region),,,,,,,,S,Other Service Activities
S951,Region V (Bicol Region),Repair of computers and communications equipment,31,24,30,23,1,1,S,Other Service Activities
S952,Region V (Bicol Region),Repair of personal and household goods,116,69,111,57,6,12,S,Other Service Activities
S961,Region V (Bicol Region),"Personal services for wellness, except sports activities",214,586,194,544,20,42,S,Other Service Activities
S962,Region V (Bicol Region),Laundry services,0,116,0,116,0,0,S,Other Service Activities
S963,Region V (Bicol Region),Funeral and related activities,358,133,358,133,0,0,S,Other Service Activities
S969,Region V (Bicol Region),"Other personal service activities, n.e.c.",,,,,,,S,Other Service Activities
,Region VI (Western Visayas),,,,,,,,S,Other Service Activities
S951,Region VI (Western Visayas),Repair of computers and communications equipment,88,63,84,60,4,3,S,Other Service Activities
S952,Region VI (Western Visayas),Repair of personal and household goods,334,142,329,140,5,2,S,Other Service Activities
S961,Region VI (Western Visayas),"Personal services for wellness, except sports activities",454,1118,454,1101,0,17,S,Other Service Activities
S962,Region VI (Western Visayas),Laundry services,122,766,99,766,23,0,S,Other Service Activities
S963,Region VI (Western Visayas),Funeral and related activities,403,197,387,182,17,16,S,Other Service Activities
S969,Region VI (Western Visayas),"Other personal service activities, n.e.c.",17,25,17,25,0,0,S,Other Service Activities
,Region VII (Central Visayas),,,,,,,,S,Other Service Activities
S951,Region VII (Central Visayas),Repair of computers and communications equipment,30,21,30,20,0,1,S,Other Service Activities
S952,Region VII (Central Visayas),Repair of personal and household goods,486,171,465,152,21,20,S,Other Service Activities
S961,Region VII (Central Visayas),"Personal services for wellness, except sports activities",656,2706,656,2681,0,25,S,Other Service Activities
S962,Region VII (Central Visayas),Laundry services,19,533,18,533,1,0,S,Other Service Activities
S963,Region VII (Central Visayas),Funeral and related activities,538,242,538,242,0,0,S,Other Service Activities
S969,Region VII (Central Visayas),"Other personal service activities, n.e.c.",24,24,24,24,0,0,S,Other Service Activities
,Region VIII (Eastern Visayas),,,,,,,,S,Other Service Activities
S951,Region VIII (Eastern Visayas),Repair of computers and communications equipment,4,6,4,6,0,0,S,Other Service Activities
