Region Description,Job Sector,Total,Paid,Regional Description
Region XI (Davao Region),Accommodation and Food Service Activities,13820,13626,
Region XII (SOCCSKSARGEN),Accommodation and Food Service Activities,7190,7011,
Region XIII (Caraga),Accommodation and Food Service Activities,3615,3506,
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Accommodation and Food Service Activities,2013,1882,
Philippines,"Arts, Entertainment and Recreation",34960,56456,
National Capital Region (NCR),"Arts, Entertainment and Recreation",12965,23100,
Cordillera Administrative Region (CAR),"Arts, Entertainment and Recreation",179,251,
Region I (Ilocos Region),"Arts, Entertainment and Recreation",1348,1925,
Region II (Cagayan Valley),"Arts, Entertainment and Recreation",457,1288,
Region III (Central Luzon),"Arts, Entertainment and Recreation",4395,6297,
Region IV-A (CALABARZON),"Arts, Entertainment and Recreation",5797,8894,
MIMAROPA Region,"Arts, Entertainment and Recreation",463,738,
Region V (Bicol Region),"Arts, Entertainment and Recreation",778,1091,
Region VI (Western Visayas),"Arts, Entertainment and Recreation",1432,2382,
Region VII (Central Visayas),"Arts, Entertainment and Recreation",2392,3702,
Region VIII (Eastern Visayas),"Arts, Entertainment and Recreation",413,587,
Region IX (Zamboanga Peninsula),"Arts, Entertainment and Recreation",458,666,
Region X (Northern Mindanao),"Arts, Entertainment and Recreation",949,1295,
Region XI (Davao Region),"Arts, Entertainment and Recreation",2001,2997,
Region XII (SOCCSKSARGEN),"Arts, Entertainment and Recreation",557,704,
Region XIII (Caraga),"Arts, Entertainment and Recreation",320,484,
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),"Arts, Entertainment and Recreation",57,55,
Philippines,"Professional, Scientific and Technical Activities",139732,139104,
National Capital Region (NCR),"Professional, Scientific and Technical Activities",97171,97029,
Cordillera Administrative Region (CAR),"Professional, Scientific and Technical Activities",609,571,
Region I (Ilocos Region),"Professional, Scientific and Technical Activities",1048,1031,
Region II (Cagayan Valley),"Professional, Scientific and Technical Activities",310,278,
Region III (Central Luzon),"Professional, Scientific and Technical Activities",3453,3410,
Region IV-A (CALABARZON),"Professional, Scientific and Technical Activities",16454,16372,
MIMAROPA Region,"Professional, Scientific and Technical Activities",306,289,
Region V (Bicol Region),"Professional, Scientific and Technical Activities",591,585,
Region VI (Western Visayas),"Professional, Scientific and Technical Activities",1930,1903,
Region VII (Central Visayas),"Professional, Scientific and Technical Activities",11814,11787,
Region VIII (Eastern Visayas),"Professional, Scientific and Technical Activities",517,498,
Region IX (Zamboanga Peninsula),"Professional, Scientific and Technical Activities",423,391,
Region X (Northern Mindanao),"Professional, Scientific and Technical Activities",1160,1106,
Region XI (Davao Region),"Professional, Scientific and Technical Activities",2630,2592,
Region XII (SOCCSKSARGEN),"Professional, Scientific and Technical Activities",901,851,
Region XIII (Caraga),"Professional, Scientific and Technical Activities",311,310,
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),"Professional, Scientific and Technical Activities",104,102,
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),"Professional, Scientific and Technical Activities",,,
Philippines,"Water Supply; Sewerage, Waste Management and Remediation",43387,43163,
National Capital Region (NCR),"Water Supply; Sewerage, Waste Management and Remediation",6997,6989,
Cordillera Administrative Region (CAR),"Water Supply; Sewerage, Waste Management and Remediation",659,659,
Region I (Ilocos Region),"Water Supply; Sewerage, Waste Management and Remediation",1367,1347,
Region II (Cagayan Valley),"Water Supply; Sewerage, Waste Management and Remediation",1092,1092,
Region III (Central Luzon),"Water Supply; Sewerage, Waste Management and Remediation",6329,6316,
Region IV-A (CALABARZON),"Water Supply; Sewerage, Waste Management and Remediation",6859,6854,
MIMAROPA Region,"Water Supply; Sewerage, Waste Management and Remediation",752,745,
Region V (Bicol Region),"Water Supply; Sewerage, Waste Management and Remediation",1910,1888,
Region VI (Western Visayas),"Water Supply; Sewerage, Waste Management and Remediation",2930,2928,
Region VII (Central Visayas),"Water Supply; Sewerage, Waste Management and Remediation",4105,4089,
Region VIII (Eastern Visayas),"Water Supply; Sewerage, Waste Management and Remediation",1029,1029,
Region IX (Zamboanga Peninsula),"Water Supply; Sewerage, Waste Management and Remediation",1231,1228,
Region X (Northern Mindanao),"Water Supply; Sewerage, Waste Management and Remediation",1888,1878,
Region XI (Davao Region),"Water Supply; Sewerage, Waste Management and Remediation",3078,3046,
Region XII (SOCCSKSARGEN),"Water Supply; Sewerage, Waste Management and Remediation",1521,1437,
Region XIII (Caraga),"Water Supply; Sewerage, Waste Management and Remediation",1056,1056,
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),"Water Supply; Sewerage, Waste Management and Remediation",584,584,
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),"Water Supply; Sewerage, Waste Management and Remediation",,,
,Construction,286849,286251,Philippines
,Construction,160781,160748,National Capital Region (NCR)                     
,Construction,2398,2384,Cordillera Administrative Region (CAR)            
,Construction,2454,2427,Region I (Ilocos Region)                          
,Construction,1982,1966,Region II (Cagayan Valley)                        
,Construction,11876,11869,Region III (Central Luzon)                        
,Construction,34964,34937,Region IV-A (CALABARZON)                          
,Construction,1746,1728,MIMAROPA Region                                   
,Construction,6911,6905,Region V (Bicol Region)                           
,Construction,9731,9714,Region VI (Western Visayas)                       
,Construction,19747,19711,Region VII (Central Visayas)                      
,Construction,5411,5198,Region VIII (Eastern Visayas)                     
,Construction,3845,3830,Region IX (Zamboanga Peninsula)                   
,Construction,6625,6511,Region X (Northern Mindanao)                      
,Construction,10035,10026,Region XI (Davao Region)                          
,Construction,1468,1437,Region XII (SOCCSKSARGEN)
,Construction,6681,6667,Region XIII (Caraga)                              
,Construction,195,195,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM)
,"Agriculture, Forestry, and Fishing",155221,152851,PHILIPPINES
,"Agriculture, Forestry, and Fishing",8520,8517,National Capital Region (NCR)                     
,"Agriculture, Forestry, and Fishing",151,132,Cordillera Administrative Region (CAR)            
,"Agriculture, Forestry, and Fishing",3308,3262,Region I (Ilocos Region)                          
,"Agriculture, Forestry, and Fishing",1201,1167,Region II (Cagayan Valley)                        
,"Agriculture, Forestry, and Fishing",10851,10812,Region III (Central Luzon)                        
,"Agriculture, Forestry, and Fishing",13224,13082,Region IV-A (CALABARZON)                          
,"Agriculture, Forestry, and Fishing",2169,2159,MIMAROPA Region                                   
,"Agriculture, Forestry, and Fishing",2629,2523,Region V (Bicol Region)                           
,"Agriculture, Forestry, and Fishing",15525,15369,Region VI (Western Visayas)                       
,"Agriculture, Forestry, and Fishing",8379,7855,Region VII (Central Visayas)                      
,"Agriculture, Forestry, and Fishing",3201,2814,Region VIII (Eastern Visayas)                     
,"Agriculture, Forestry, and Fishing",5744,5490,Region IX (Zamboanga Peninsula)                   
,"Agriculture, Forestry, and Fishing",20835,20474,Region X (Northern Mindanao)                      
,"Agriculture, Forestry, and Fishing",44178,44157,Region XI (Davao Region)                          
,"Agriculture, Forestry, and Fishing",12759,12623,Region XII (SOCCSKSARGEN)                         
,"Agriculture, Forestry, and Fishing",1953,1894,Region XIII (Caraga)                              
,"Agriculture, Forestry, and Fishing",596,521,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM)
Philippines,Mining and Quarrying,36575,36409,
National Capital Region (NCR),Mining and Quarrying,2574,2574,
Cordillera Administrative Region (CAR),Mining and Quarrying,4981,4966,
Region I (Ilocos Region),Mining and Quarrying,749,742,
Region II (Cagayan Valley),Mining and Quarrying,800,799,
Region III (Central Luzon),Mining and Quarrying,1464,1435,
Region IV-A (CALABARZON),Mining and Quarrying,2277,2273,
MIMAROPA Region,Mining and Quarrying,1638,1585,
Region V (Bicol Region),Mining and Quarrying,996,991,
Region VI (Western Visayas),Mining and Quarrying,3875,3875,
Region VII (Central Visayas),Mining and Quarrying,3905,3884,
Region VIII (Eastern Visayas),Mining and Quarrying,664,656,
Region IX (Zamboanga Peninsula),Mining and Quarrying,,,
Region X (Northern Mindanao),Mining and Quarrying,182,178,
Region XI (Davao Region),Mining and Quarrying,2405,2404,
Region XII (SOCCSKSARGEN),Mining and Quarrying,147,137,
Region XIII (Caraga),Mining and Quarrying,9718,9713,
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Mining and Quarrying,80,78,
,Manufacturing,1195082,1186717,Philippines
,Manufacturing,188768,188213,National Capital Region (NCR)                     
,Manufacturing,5996,5751,Cordillera Administrative Region (CAR)            
,Manufacturing,9553,8757,Region I (Ilocos Region)                          
,Manufacturing,8920,8758,Region II (Cagayan Valley)                        
,Manufacturing,168939,168383,Region III (Central Luzon)                        
,Manufacturing,527508,526282,Region IV-A (CALABARZON)                          
,Manufacturing,4096,3939,MIMAROPA Region                                   
,Manufacturing,10666,10007,Region V (Bicol Region)                           
,Manufacturing,24470,23856,Region VI (Western Visayas)                       
,Manufacturing,135030,134504,Region VII (Central Visayas)                      
,Manufacturing,11391,10601,Region VIII (Eastern Visayas)                     
,Manufacturing,11861,11565,Region IX (Zamboanga Peninsula)                   
,Manufacturing,24005,23374,Region X (Northern Mindanao)                      
,Manufacturing,29709,29393,Region XI (Davao Region)                          
,Manufacturing,21875,21520,Region XII (SOCCSKSARGEN)                         
,Manufacturing,10209,9858,Region XIII (Caraga)                              
,Manufacturing,2085,1954,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM)              
