Job Title,Job Sector,Job Subsector,Educational Pathway,HEI with PRC (Professional Regulation Commission) Exam,Some HEI,Priority Sector (Y/N),passers_2023_agg,examinees_2023_agg,passers_2024_agg,examinees_2024_agg,passing_rate_2023_agg,passing_rate_2024_agg
Automotive Service Specialist (Chassis),Manufacturing                                                ,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No,N,,,,,,
Automotive Wiring Harness Assembler,Manufacturing                                                ,Manufacture of wiring and wiring devices,Not Higher Education,No,No,Y,,,,,,
Back End Game Developer,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,Y,,,,,,
Backend Developer,Information and Communication,"Computer programming, consultancy and related activities",Not Higher Education,No,No,Y,,,,,,
Backhoe Loader Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,N,,,,,,
Backstrap Warper,Manufacturing                                                ,"Spinning, weaving and finishing of textiles",Not Higher Education,No,No,N,,,,,,
Baggage Handlers,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,N,,,,,,
Bamboo Farmer,"Agriculture, Forestry, and Fishing",Growing of perennial crops,Not Higher Education,No,No,N,,,,,,
Banking Associate,Financial and Insurance Activities,Monetary intermediation,Higher Education,No,Yes,Y,,,,,,
Barangay Health Worker,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,Y,,,,,,
Barangay Nutrition Action Officer,Social Work,Other human health activities,Higher Education,Yes,No,Y,3878,6833,4587,7113,56.75,64.49
Barber,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,N,,,,,,
Barista,Accommodation and Food Service Activities,Beverage serving activities,Not Higher Education,No,No,N,,,,,,
Bartender,Accommodation and Food Service Activities,Beverage serving activities,Not Higher Education,No,No,N,,,,,,
Basic Jewelry Fabricator,Manufacturing                                                ,"Manufacture of jewelry, bijouterie and related articles",Not Higher Education,No,No,N,,,,,,
Basket Weaver,Manufacturing                                                ,"Manufacture of products of wood, cork, straw and plaiting materials",Not Higher Education,No,No,N,,,,,,
Beach Lifeguards,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,N,,,,,,
Beach Recreation Associate,Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,No,Yes,N,,,,,,
Beadwork Accessories Makers,Manufacturing                                                ,"Manufacture of jewelry, bijouterie and related articles",Not Higher Education,No,No,N,,,,,,
Beekeeper,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No,N,,,,,,
Bell Boy / Luggage Porter,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,N,,,,,,
Bench Technician (Electronics),Manufacturing                                                ,Manufacture of consumer electronics,Higher Education,No,Yes,Y,,,,,,
Bibliographer,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,N,,,,,,
Billing & Collection Staff (Construction),Construction,Construction of buildings,Higher Education,No,No,Y,,,,,,
BIM Modeler,Construction,Other specialized construction activities,Not Higher Education,No,No,Y,,,,,,
Biology Instructor,Education,Higher education,Higher Education,No,No,N,,,,,,
Biology Lab Technician,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,N,,,,,,
Biomedical Technician,Human Health and Social Work Activities,Other human health activities,Not Higher Education,No,No,Y,,,,,,
Biotech Lab Technician,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,N,,,,,,
Blacksmith,Manufacturing                                                ,Manufacture of other fabricated metal products; metal working service activities,Not Higher Education,No,No,N,,,,,,
Boat Fitter,Manufacturing                                                ,Building of ships and boats,Not Higher Education,No,No,N,,,,,,
Boat Operator (Tourism),Transportation and Storage,Sea and coastal water transport,Not Higher Education,No,No,N,,,,,,
Body Repair Personnel,Manufacturing                                                ,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,Not Higher Education,No,No,N,,,,,,
Book Illustrator,"Arts, entertainment and recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,N,,,,,,
Bookkeeper,Financial and Insurance Activities,"Activities auxiliary to financial service, except insurance and pension funding",Not Higher Education,No,No,Y,,,,,,
Boom Truck Drivers,Construction,Construction of roads and railways,Not Higher Education,No,No,Y,,,,,,
Bouncer,Accommodation and Food Service Activities,Other accommodation,Not Higher Education,No,No,N,,,,,,
Branch Associate,Administrative and Support Service Activities,Office administrative and support activities,Higher Education,No,Yes,Y,,,,,,
Brand Communications Officer,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,N,,,,,,
Brand Designer,"Professional, Scientific And Technical Activities",Advertising,Higher Education,No,No,N,,,,,,
Broadcast Operations Assistant,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,Yes,N,,,,,,
Broadcast Production Assistant,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,Yes,N,,,,,,
Broadcast Scriptwriter,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,No,N,,,,,,
Building Design Assistant,Library Science,Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,N,555,886,376,771,62.64,48.77
Building-Wiring Electrician,Construction,"Electrical, plumbing and other construction installation activities",Not Higher Education,No,No,Y,,,,,,
Bulldozer Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,N,,,,,,
Business Development Officer,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,N,,,,,,
Business Innovation Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,,,,,,
Business Intelligence Analyst,Information and Communication,"Data processing, hosting and related activities; web portals",Higher Education,No,No,N,,,,,,
Business News Research Assistant,Information and Communication,"Publishing of books, periodicals and other publishing activities",Higher Education,No,Yes,N,,,,,,
Business Support Coordinator,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,Yes,Y,,,,,,
Butcher,Manufacturing                                                ,Processing and preserving of meat,Not Higher Education,No,No,N,,,,,,
Butler,Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,No,No,N,,,,,,
Butterfly Breeder,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No,N,,,,,,
