Job Title,Job Sector,Job Subsector,Educational Pathway,HEI with PRC (Professional Regulation Commission) Exam,Some HEI,Priority Sector (Y/N),passers_2023_agg,examinees_2023_agg,passers_2024_agg,examinees_2024_agg,passing_rate_2023_agg,passing_rate_2024_agg
Global Programs Associate,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,,,,,,
Gondola Tenders,Construction,Other specialized construction activities,Not Higher Education,No,No,Y,,,,,,
Government Program Officer,Public Administration and Defense; Compulsory Social Security,Public Administration and Defense; Compulsory Social Security,Higher Education,No,No,N,,,,,,
Government Records Assistant,Public Administration and Defense; Compulsory Social Security,Public Administration and Other Executive Offices,Higher Education,No,Yes,N,,,,,,
Graphic Designer,Information and Communication,Other information service activities,Higher Education,No,No,N,,,,,,
Green Coffee Beans Processor,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No,N,,,,,,
Ground Operations Crew Member,Transportation and Storage,"Passenger air transport, Freight air transport",Higher Education,No,No,N,,,,,,
GTAW/TIG Welder,Construction,Other specialized construction activities,Not Higher Education,No,No,Y,,,,,,
Guest Relations Associate,Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,No,Yes,N,,,,,,
HACCP Coordinator                           ,Manufacturing                                                ,Manufacture of other food products,Higher Education,No,No,N,,,,,,
Hairdresser,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,N,,,,,,
Halal Compliance Specialist,Manufacturing,Manufacture of other food products,Higher Education,No,No,N,,,,,,
Halal Seaweed Processing Worker,Manufacturing                                                ,"Processing and preserving of fish, crustaceans and mollusks",Not Higher Education,No,No,N,,,,,,
Halal Slaughterer,Manufacturing                                                ,Processing and preserving of meat,Not Higher Education,No,No,N,,,,,,
Handloom Weaver,Manufacturing                                                ,"Spinning, weaving and finishing of textiles",Not Higher Education,No,No,N,,,,,,
Hatchery Farm Worker,"Agriculture, Forestry, and Fishing",Aquaculture,Not Higher Education,No,No,N,,,,,,
HDD FOL Operator,Manufacturing                                                ,Manufacture of electronic components,Not Higher Education,No,No,Y,,,,,,
Health and Safety Officer (Manufacturing),Manufacturing                                                ,"Other manufacturing, n.e.c.",Higher Education,No,No,N,,,,,,
Health Information Management Technician,Information and Communication,"Data processing, hosting and related activities; web portals (if digitized records)OR Other information service activities (if part of IT-BPM support to healthcare)",Higher Education,No,Yes,N,,,,,,
Health Program Assistant,Human Health and Social Work Activities,Other human health activities,Higher Education,No,Yes,Y,,,,,,
Health Promotion Officer,Human Health and Social Work Activities,Other human health activities,Higher Education,No,No,Y,,,,,,
Health Services Clerk,Human Health and Social Work Activities,Human Health Activities,Higher Education,No,Yes,Y,,,,,,
Heat Treater,Manufacturing                                                ,Manufacture of basic iron and steel,Not Higher Education,No,No,N,,,,,,
Heavy Equipment Mechanic,Construction,Other specialized construction activities,Not Higher Education,No,No,Y,,,,,,
Heavy Equipment Operator (High School),Construction,Demolition and site preparation,Not Higher Education,No,No,N,,,,,,
Herbal Remedies Research Aide,Human Health and Social Work Activities,Other human health activities,Higher Education,No,Yes,Y,,,,,,
Heritage Planner,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,Yes,N,,,,,,
Heritage Site Guide,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,N,,,,,,
Heritage Tourism Operator,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,Yes,N,,,,,,
Heritage Tradesperson / Heritage Conservation Technician,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,Yes,N,,,,,,
High School Science Teacher,Professional Teachers,Secondary/high school education,Higher Education,Yes,No,N,77777,146562,68900,129928,53.07,53.03
History Lecturer,Education,Higher education,Higher Education,No,No,N,,,,,,
Home Economics Extension Worker,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,Y,,,,,,
Home-Based Birth Assistant (Registered Midwife),Midwifery,Medical and dental practice activities,Higher Education,Yes,No,Y,2800,4119,3997,5398,67.98,74.05
Horse Riding Instructor,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,N,,,,,,
Horticulture Assistant,"Agriculture, Forestry, and Fishing",Plant propagation,Higher Education,No,Yes,N,,,,,,
Hospital Administration Associate,Human Health and Social Work Activities,Hospital activities,Higher Education,No,Yes,Y,,,,,,
Hospital Caregiver,Human Health and Social Work Activities,Hospital activities,Not Higher Education,No,No,Y,,,,,,
Hospital Nursing Aide,Human Health and Social Work Activities,Hospital activities,Not Higher Education,No,No,Y,,,,,,
Hospital Pharmacist,Pharmacy,Other human health activities,Higher Education,Yes,No,Y,1420,2275,2905,3778,62.42,76.89
Hospitality Systems and Technology Analyst,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,Y,,,,,,
Hotel Cleaners,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,N,,,,,,
Hotel Duty Engineer,Civil Engineering,Short term accommodation activities,Higher Education,Yes,No,N,6180,18582,6835,18436,33.26,37.07
Hotel Maintenance,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,N,,,,,,
Hotel Receptionist,Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,No,Yes,N,,,,,,
Hotel Services Attendant,Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,No,Yes,N,,,,,,
Household Equipment Technician,Other Service Activities,Repair of personal and household goods,Higher Education,No,Yes,N,,,,,,
Housekeeping Attendant,Accommodation and Food Service Activities,Other accommodation,Not Higher Education,No,No,N,,,,,,
HR Assistants / Timekeepers (Construction),Construction,Construction of buildings,Higher Education,No,No,Y,,,,,,
HR Business Partner,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,No,Y,,,,,,
HR Operations and Technology Specialist,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,No,Y,,,,,,
Human Resource Assistant (Transportation and Storage),Transportation and Storage,Support activities for transportation,Higher Education,No,Yes,N,,,,,,
Human Resource Associate,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,Yes,Y,,,,,,
Human Resource Staff (Construction),Construction,Construction of buildings,Higher Education,No,No,Y,,,,,,
Humanitarian Affairs Officer,Public Administration and Defense; Compulsory Social Security,Public administration and defense; compulsory social security,Higher Education,No,No,N,,,,,,
Humanities Researcher,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,,,,,,
HVAC Technician,"Electricity, Gas, Steam and Air Conditioning Supply",Airconditioning and Refrigeration,Higher Education,No,Yes,N,,,,,,
Hydraulic Excavator Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,N,,,,,,
IC Designer,Manufacturing                                                ,Manufacture of electronic components,Higher Education,No,No,Y,,,,,,
Ice Plant Refrigeration Technician,"Electricity, Gas, Steam and Air Conditioning Supply",Airconditioning and Refrigeration,Not Higher Education,No,No,N,,,,,,
Import Coordinator,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,N,,,,,,
Import/Export Documentation Clerk,Transportation and Storage,Support activities for transportation,Higher Education,No,Yes,N,,,,,,
Industrial Automation Technician,Manufacturing                                                ,Manufacture of general purpose machinery,Higher Education,No,Yes,Y,,,,,,
Industrial Chemist (Licensed),Chemistry,Manufacture of basic chemicals,Higher Education,Yes,No,N,594,1148,592,1088,51.74,54.41
Industrial Electrician,Construction,"Electrical, plumbing and other construction installation activities",Not Higher Education,No,No,Y,,,,,,
Industrial Policy Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,,,,,,
Industrial Refrigeration Plant Operator,"Electricity, Gas, Steam and Air Conditioning Supply",Airconditioning and Refrigeration,Not Higher Education,No,No,N,,,,,,
Industrial Scheduler,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,,,,,,
Infrastructure Support Technician,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,Yes,Y,,,,,,
Inland Water Fisheries Assistant,Fisheries Technology,Aquaculture,Higher Education,Yes,No,N,716,2124,1005,1509,33.71,66.6
Institutional Catering Assistant,Accommodation and Food Service Activities,Event catering and other food service activities,Higher Education,No,Yes,N,,,,,,
Instrumental Music Teacher,Professional Teachers,Other education services,Higher Education,Yes,No,N,77777,146562,68900,129928,53.07,53.03
Instrumentation And Automation Technician,Manufacturing                                                ,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",Not Higher Education,No,No,Y,,,,,,
Instrumentation Engineer (Licensed),Mechanical Engineering,"Electric power generation, transmission and distribution",Higher Education,Yes,No,N,2133,4237,1144,3485,50.34,32.83
Insurance Processors,Financial and Insurance Activities,Activities auxiliary to insurance and pension funding,Not Higher Education,No,No,Y,,,,,,
Interactive Content Developer,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,Y,,,,,,
Interactive Media Assistant,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,Yes,Y,,,,,,
Intercultural Program Facilitator,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,N,,,,,,
Interfaith Program Assistant,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,Yes,N,,,,,,
Interior Architect (Tourism),Architecture,Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,N,2924,4784,2094,3370,61.12,62.14
Interior Design Assistant,Architecture,Specialized design activities,Higher Education,Yes,No,N,2924,4784,2094,3370,61.12,62.14
Internal Communications Specialist,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,N,,,,,,
International Affairs Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,Yes,N,,,,,,
International Cooperation Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,,,,,,
International Trade Support Staff,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Wholesale Trade,Higher Education,No,No,N,,,,,,
Inventory Analyst,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,N,,,,,,
Inventory Clerk (Transportation and Storage),Transportation and Storage,Support activities for transportation,Higher Education,No,Yes,N,,,,,,
Inventory Management Assistant,Transportation and Storage,Support activities for transportation,Higher Education,No,Yes,N,,,,,,
Investment Accountant,Accountancy,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No,Y,2740,8734,3058,10136,31.37,30.17
Irrigation Technician,"Agriculture, Forestry, and Fishing",Aquaculture,Not Higher Education,No,No,N,,,,,,
IT Business Analyst Assistant,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,Yes,Y,,,,,,
IT Support Specialist,Information and Communication,"Computer Programming, Consultancy and Related Activities",Higher Education,No,No,Y,,,,,,
IT Support Technician (Air Transport),Transportation and Storage,"Passenger air transport, Freight air transport",Higher Education,No,Yes,Y,,,,,,
IT Technical Support Personnel (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,No,No,Y,,,,,,
IT Technician,Information and Communication,"Computer Programming, Consultancy and Related Activities",Higher Education,No,Yes,Y,,,,,,
Japan Market Liaison,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,No,N,,,,,,
Japanese Language and Culture Assistant,Education,Other Education,Higher Education,No,Yes,N,,,,,,
Java Programmer,Information and Communication,"Computer programming, consultancy and related activities",Not Higher Education,No,No,Y,,,,,,
Jobs Coordinator (Transportation and Storage),Transportation and Storage,Support activities for transportation,Higher Education,No,Yes,N,,,,,,
Judicial Assistant,Public Administration and Defense; Compulsory Social Security,Justice and Judicial Activities,Higher Education,No,Yes,N,,,,,,
Junior AI Data Governance Officer,Information and Communication,"Data processing, hosting and related activities; web portals",Not Higher Education,No,No,Y,,,,,,
Junior Airline Accounting Clerk ,Accountancy,"Passenger air transport, Freight air transport",Higher Education,Yes,No,N,2740,8734,3058,10136,31.37,30.17
Junior Applications Analyst,Information and Communication,"Computer Programming, Consultancy and Related Activities",Higher Education,No,No,Y,,,,,,
Junior Architectural Technologist,Architecture,Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,N,2924,4784,2094,3370,61.12,62.14
Junior Associate (Consulting),"Professional, Scientific and Technical Activities",Management consultancy activities,Higher Education,No,Yes,N,,,,,,
Junior Behavioral Health Analyst,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,Y,,,,,,
Junior Botanist,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,No,N,,,,,,
Junior Budget Analyst,Accountancy,"Activities auxiliary to financial service, except insurance and pension funding",Higher Education,Yes,No,Y,2740,8734,3058,10136,31.37,30.17
Junior Business Analyst,Financial and Insurance Activities,"Activities auxiliary to financial service, except insurance and pension funding",Higher Education,No,No,Y,,,,,,
Junior Business News Writer,Information and Communication,"Publishing of books, periodicals and other publishing activities",Higher Education,No,No,N,,,,,,
Junior Business Process Analyst,Information and Communication,Management consultancy activities,Higher Education,No,No,N,,,,,,
Junior Computational Physicist,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,No,N,,,,,,
Junior Credit Analyst,Financial and Insurance Activities,Monetary intermediation,Higher Education,No,No,Y,,,,,,
Junior Database Administrator,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,Y,,,,,,
Junior Economic Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,,,,,,
Junior Editorial Researcher,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,No,N,,,,,,
Junior Financial Analyst,Accountancy,Fund management activities,Higher Education,Yes,No,Y,2740,8734,3058,10136,31.37,30.17
Junior Financial Market Analyst,Financial and Insurance Activities,Fund management activities,Higher Education,No,No,Y,,,,,,
Junior Geologist,Geology,Research and experimental development on natural sciences and engineering,Higher Education,Yes,No,N,165,351,236,349,47.01,67.62
Junior Illustrator,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,N,,,,,,
Junior Information Systems Analyst,Information and Communication,"Computer Programming, Consultancy and Related Activities",Higher Education,No,No,Y,,,,,,
Junior IoT Specialist,Information and Communication,Other information service activities,Not Higher Education,No,No,Y,,,,,,
Junior Landscape Planner,Landscape Architecture,Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,N,64,112,91,142,57.14,64.08
Junior Physics Instructor,Education,Higher education,Higher Education,No,No,N,,,,,,
Junior Power Systems Engineer,Electrical Engineering,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",Higher Education,Yes,No,N,1218,3945,1655,3058,30.87,54.12
Junior Prepress Technician,Manufacturing                                                ,Printing and service activities related to printing,Not Higher Education,No,No,N,,,,,,
Junior Project Coordinator,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,,,,,,
Junior Quantitative Analyst,Financial and Insurance Activities,Fund management activities,Higher Education,No,No,Y,,,,,,
Junior Risk Analyst,Financial and Insurance Activities,"Activities auxiliary to financial service, except insurance and pension funding",Higher Education,No,No,Y,,,,,,
Junior Software Developer,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,Y,,,,,,
Junior Software Engineer,Information and Communication,"Computer Programming, Consultancy and Related Activities",Higher Education,No,No,Y,,,,,,
Junior Statistician,Financial and Insurance Activities,"Activities auxiliary to financial service, except insurance and pension funding",Higher Education,No,No,Y,,,,,,
Junior Systems Administrator,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,Y,,,,,,
Junior Trade and Culture Analyst,Public Administration and Defense; Compulsory Social Security,Public Administration and Defense; Compulsory Social Security,Higher Education,No,No,N,,,,,,
Kiln Operator,Manufacturing                                                ,"Manufacture of non-metallic mineral products, n.e.c.",Higher Education,No,Yes,N,,,,,,
Kindergarten Teacher,Professional Teachers,Pre-primary/pre-school education,Higher Education,Yes,No,N,77777,146562,68900,129928,53.07,53.03
Kitchen Staff,Accommodation and Food Service Activities,Event catering and other food service activities,Higher Education,No,No,N,,,,,,
Knowledge Management Officer,Library Science,Other information service activities,Higher Education,Yes,No,N,555,886,376,771,62.64,48.77
Labor Relations Specialist,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,No,Y,,,,,,
Laboratory And Metrology Calibration Technician,Manufacturing                                                ,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",Not Higher Education,No,No,Y,,,,,,
Laboratory Technician,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,N,,,,,,
"Laborers and Hand Freight, Stock, and Material Movers",Transportation and Storage,Freight air transport,Not Higher Education,No,No,N,,,,,,
Land-Based Transport Refrigeration Mechanic,"Electricity, Gas, Steam and Air Conditioning Supply",Airconditioning and Refrigeration,Not Higher Education,No,No,N,,,,,,
Landscape Design Assistant (Licensed Architect),Architecture,Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,N,2924,4784,2094,3370,61.12,62.14
Landscape Design Technician,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,No,Yes,N,,,,,,
Landscape Gardener,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,N,,,,,,
Language Arts Curriculum Developer,Education,Other Education,Higher Education,No,No,N,,,,,,
Language Policy Research Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,Yes,N,,,,,,
Language Teaching Assistant,Education,Other Education,Higher Education,No,Yes,N,,,,,,
Latex Receiver,Manufacturing                                                ,Manufacture of rubber products,Not Higher Education,No,No,N,,,,,,
Laundry Attendant,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,N,,,,,,
Laundry Machine Operator,Other Service Activities,Laundry services,Not Higher Education,No,No,N,,,,,,
Layout Artist,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,N,,,,,,
Learning and Development Officer,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,No,Y,,,,,,
Leasing Assistant,Real Estate Activities,Real Estate Activities with Own or Leased Property,Higher Education,No,Yes,N,,,,,,
Legal Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,,,,,,
Legal Associate,Criminology,Justice and Judicial Activities,Higher Education,Yes,No,N,5743,17576,11121,22539,32.68,49.34
Legal Research Assistant,Public Administration and Defense; Compulsory Social Security,Public Administration,Higher Education,No,Yes,N,,,,,,
Legislative Researcher,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,,,,,,
Legislative Staff Officer,Public Administration and Defense; Compulsory Social Security,Research and experimental development on social sciences and humanities,Higher Education,No,No,N,,,,,,
"LGU Program Assistant, Local Government Support Staff",Public Administration and Defense; Compulsory Social Security,Public Administration and Other Executive Offices,Higher Education,No,Yes,N,,,,,,
Liaison Staff (Construction),Construction,Construction of buildings,Higher Education,No,No,Y,,,,,,
Librarian,Library Science,"Libraries, archives, museums and other cultural activities",Higher Education,Yes,No,N,555,886,376,771,62.64,48.77
Librarian Assistant,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,Yes,N,,,,,,
Library Clerk,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,Yes,N,,,,,,
Library Technician,Library Science,"Libraries, archives, museums and other cultural activities",Higher Education,Yes,No,N,555,886,376,771,62.64,48.77
Licensed Aeronautical Engineer,Aeronautical Engineering,Manufacture of air and spacecraft and related machinery,Higher Education,Yes,No,N,418,971,579,1070,43.05,54.11
Licensed Agricultural and Biosystems Engineer,Agricultural Engineering,Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No,N,615,1841,1479,2625,33.41,56.34
Licensed Agriculturist,Agricultural Engineering,Growing of non-perennial crops,Higher Education,Yes,No,N,615,1841,1479,2625,33.41,56.34
Licensed Aquaculturist,"Agriculture, Forestry, and Fishing",Aquaculture,Higher Education,No,No,N,,,,,,
Licensed Architect,Architecture,Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,N,2924,4784,2094,3370,61.12,62.14
Licensed Chemist,Chemistry,"Other professional, scientific and technical activities, n.e.c.",Higher Education,Yes,No,N,594,1148,592,1088,51.74,54.41
Licensed Criminologist,Criminology,Public Order and Safety Activities,Higher Education,Yes,No,N,5743,17576,11121,22539,32.68,49.34
Licensed Dentist,Dentistry,Medical and dental practice activities,Higher Education,Yes,No,Y,15,20,873,1287,75,67.83
Licensed Nutritionist and Dietician,Nutrition and Dietetics,Other human health activities,Higher Education,Yes,No,Y,895,1219,843,1209,73.42,69.73
Licensed Occupational Therapist,Occupational Therapy,Medical and dental practice activities,Higher Education,Yes,No,Y,323,554,353,536,58.3,65.86
Licensed Optometrist,Optometry,Medical and dental practice activities,Higher Education,Yes,No,Y,153,226,297,327,67.69,90.83
Licensed Pharmacist,Pharmacy,Other human health activities,Higher Education,Yes,No,Y,1420,2275,2905,3778,62.42,76.89
Licensed Physical Therapist,Physical Therapy,Medical and dental practice activities,Higher Education,Yes,No,Y,1288,1884,1206,1700,68.37,70.94
Licensed Psychometrician,Psychology,Other human health activities,Higher Education,Yes,No,Y,339,468,373,448,72.44,83.26
Licensed Respiratory Therapist,Respiratory Therapy,Hospital activities,Higher Education,Yes,No,Y,955,1345,1077,1383,71,77.87
Life Science Research Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,,,,,,
Lifeguard,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,N,,,,,,
Lighting Technician,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,Yes,N,,,,,,
Line Technician,Manufacturing                                                ,"Other manufacturing, n.e.c.",Higher Education,No,Yes,N,,,,,,
Linen Attendant,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,N,,,,,,
Linguistics Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,,,,,,
Linguistics Researcher,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,,,,,,
Literary Reviewer,Information and Communication,"Publishing of books, periodicals and other publishing activities",Higher Education,No,No,N,,,,,,
Livelihood Education Teacher,Professional Teachers,Secondary/high school education,Higher Education,Yes,No,N,77777,146562,68900,129928,53.07,53.03
Livestock Agriculture Technician,Agriculture,Animal production,Higher Education,Yes,No,N,3423,10014,3628,7144,34.18,50.78
Livestock Health Technician,Manufacturing                                                ,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",Not Higher Education,No,No,N,,,,,,
Livestock Raiser,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No,N,,,,,,
Loan Processing Assistant,Financial and Insurance Activities,Monetary intermediation,Higher Education,No,Yes,Y,,,,,,
Local Government Contact Tracer,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Not Higher Education,No,No,Y,,,,,,
Local Heritage Specialist,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,N,,,,,,
Logic Teaching Aide,Education,Other Education,Higher Education,No,Yes,N,,,,,,
Logistics & Support Staff (Construction),Construction,Construction of buildings,Not Higher Education,No,No,Y,,,,,,
Logistics Assistant,Transportation and Storage,Support activities for transportation,Higher Education,No,Yes,N,,,,,,
Logistics Clerk,Transportation and Storage,Support activities for transportation,Higher Education,No,Yes,N,,,,,,
Logistics Support Clerk,Transportation and Storage,Support activities for transportation,Higher Education,No,Yes,N,,,,,,
Lumber Quality Analyst,Manufacturing                                                ,Sawmilling and planing of wood,Higher Education,No,No,N,,,,,,
M&E Program Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,,,,,,
Machine Design Engineer,Mechanical Engineering,Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,N,2133,4237,1144,3485,50.34,32.83
Machine Learning Engineer,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,Y,,,,,,
Machine Operator,Manufacturing                                                ,"Other manufacturing, n.e.c.",Higher Education,No,Yes,N,,,,,,
Machine Operator (Transportation and Storage),Transportation and Storage,Support activities for transportation,Higher Education,No,Yes,N,,,,,,
Machinist,Manufacturing                                                ,Manufacture of general purpose machinery,Not Higher Education,No,No,N,,,,,,
Magician,"Arts, entertainment and recreation",Other amusement and recreation activities,Not Higher Education,No,No,N,,,,,,
Mail and Document Clerk,Transportation and Storage,"Postal activities, Courier activities",Higher Education,No,Yes,N,,,,,,
Maintenance Fitter,Manufacturing                                                ,"Other manufacturing, n.e.c.",Higher Education,No,No,N,,,,,,
Maintenance Laborer ,Construction,Construction of buildings,Not Higher Education,No,No,Y,,,,,,
Maintenance Line Worker,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Not Higher Education,No,No,N,,,,,,
Maintenance Technician,Manufacturing                                                ,"Other manufacturing, n.e.c.",Higher Education,No,Yes,N,,,,,,
Maintenance Technician (Construction),Construction,Building completion and finishing,Not Higher Education,No,No,N,,,,,,
Management Accountant,Accountancy,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No,Y,2740,8734,3058,10136,31.37,30.17
Management Information Assistant,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,Yes,Y,,,,,,
Mango Grower,"Agriculture, Forestry, and Fishing",Growing of perennial crops,Not Higher Education,No,No,N,,,,,,
Mangosteen Grower,"Agriculture, Forestry, and Fishing",Growing of non-perennial crops,Not Higher Education,No,No,N,,,,,,
Manufacturing Engineer,Mechanical Engineering,Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,N,2133,4237,1144,3485,50.34,32.83
Manufacturing Equipment Technician,Manufacturing                                                ,Installation of industrial machinery and equipment,Higher Education,No,Yes,N,,,,,,
Marine Biology Research Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,N,,,,,,
Marine Biology Technician,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,N,,,,,,
Marine Conservation Aide,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,,,,,,
Marine Data Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,No,Y,,,,,,
Marine Navigation and Port Operations Officer,Transportation and Storage,"Sea and coastal water transport, Inland water transport",Higher Education,No,No,N,,,,,,
Market & Social Researcher,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,,,,,,
Marketing Analyst (Transportation and Storage),Transportation and Storage,Support activities for transportation,Higher Education,No,No,N,,,,,,
Marketing Coordinator,"Professional, Scientific and Technical Activities",Advertising,Not Higher Education,No,No,N,,,,,,
Marketing Professional (Manufacturing),Manufacturing                                                ,"Other manufacturing, n.e.c.",Higher Education,No,No,N,,,,,,
Marriage Counselor,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,N,,,,,,
Mass Media Coordinator,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,Yes,Y,,,,,,
Massage Therapist,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,N,,,,,,
Master Tagger,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No,N,,,,,,
Mat Weaver,Manufacturing                                                ,"Spinning, weaving and finishing of textiles",Not Higher Education,No,No,N,,,,,,
Material Handlers,Manufacturing                                                ,Manufacture of other fabricated metal products; metal working service activities,Higher Education,No,No,N,,,,,,
