Job Title,Job Sector,Job Subsector,Educational Pathway,HEI with PRC (Professional Regulation Commission) Exam,Some HEI,Priority Sector (Y/N),Priority Sector,passers_2023_agg,examinees_2023_agg,passers_2024_agg,examinees_2024_agg,SOC,AIOE,Complementarity,C-AIOE,Classification
Art Gallery Technician,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,Yes,N,N,,,,,27-1027,0.4050940821041838,0.6502777777777778,0.2827781745355038,Augmented
Articulated Truck Driver,Transportation and Storage,Other land transport,Not Higher Education,No,No,Tourism,Tourism,,,,,53-3032,-1.100644052209415,0.6174999999999999,-0.8043873614897142,Protected
Artificial Insemination Technician,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No,N,N,,,,,31-9096,-0.8265822627679962,0.5972222222222222,-0.6208551218124061,Protected
Artisanal Weaver,Manufacturing,"Spinning, weaving and finishing of textiles",Not Higher Education,No,No,N,N,,,,,51-7099,-0.8341351787751918,0.5330229377104376,-0.6800790826101766,Isolated
ASEAN Affairs Specialist,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N,,,,,13-1111,1.369842507381068,0.6147222222222223,1.0049316838870557,Augmented
Associate Data Engineer,Information and Communication,"Data processing, hosting and related activities; web portals",Higher Education,No,No,Y,Digital Technology,,,,,15-1242,1.3407881770776937,0.5430555555555555,1.079706923707843,Displaced
Astronomical Data Technician,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,Y,Digital Technology,,,,,19-2012,1.3394233838362617,0.616388888888889,0.9803835045579304,Augmented
Audio Post Specialist,Information and Communication,"Motion picture, video and television programme activities",Not Higher Education,No,No,N,N,,,,,27-4032 ,0.9134893505999866,0.5563888888888889,0.7234328162668228,Displaced
Audio Stagehand,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,N,N,,,,,27-4032 ,0.9134893505999866,0.5563888888888889,0.7234328162668228,Displaced
Auto-Electrical Diagnosis Technician,Manufacturing,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No,N,N,,,,,17-3029,-0.0372319794758209,0.5897222222222221,-0.0282445933190185,Isolated
Automation Control Technician,Manufacturing,Manufacture of general purpose machinery,Higher Education,No,Yes,Y,Advanced Manufacturing,,,,,17-3029,-0.0372319794758209,0.5897222222222221,-0.0282445933190185,Isolated
Automotive Body Painting Specialist,Manufacturing,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,Not Higher Education,No,No,N,N,,,,,51-9124,-1.179000608234312,0.5483333333333332,-0.9432004865874498,Isolated
Automotive Body Specialist,Manufacturing,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,Not Higher Education,No,No,N,N,,,,,49-3093,-1.5566147016651897,0.6050000000000001,-1.1570835949044576,Protected
Automotive Chassis Mechanic,Manufacturing,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No,N,N,,,,,49-3093,-1.5566147016651897,0.6050000000000001,-1.1570835949044576,Protected
Automotive Electrical Assembly Technician,Manufacturing,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No,Y,Advanced Manufacturing,,,,,17-3024,-0.2923061417176008,0.6056944444444444,-0.2170779083005571,Protected
Automotive Engine Specialist,Manufacturing,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No,N,N,,,,,17-2141 ,1.167377784026609,0.6280555555555556,0.8408362761058326,Augmented
Automotive Maintenance Staff,Manufacturing,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No,N,N,,,,,49-3093,-1.5566147016651897,0.6050000000000001,-1.1570835949044576,Protected
Automotive Mechanic Specialized In EV Power,Manufacturing,Manufacture of batteries and accumulators,Not Higher Education,No,No,Y,Advanced Manufacturing,,,,,49-3023,-0.876835317455249,0.6263888888888889,-0.6330263861294979,Protected
Automotive Mechanical Assembly Technician,Manufacturing,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No,Y,Advanced Manufacturing,,,,,51-2031,-0.9651301558449767,0.5730555555555555,-0.748243962489814,Isolated
Automotive Painter (Transportation and Storage),Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,Tourism,Tourism,,,,,51-9124,-1.179000608234312,0.5483333333333332,-0.9432004865874498,Isolated
Automotive Painting Machine Operator,Manufacturing,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,Not Higher Education,No,No,N,N,,,,,51-9192 ,-1.1499103660102423,0.4972222222222222,-0.9787014892931618,Isolated
Automotive Service Specialist (Chassis),Manufacturing,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No,N,N,,,,,49-3093,-1.5566147016651897,0.6050000000000001,-1.1570835949044576,Protected
