Job Title,Job Sector,Job Subsector,Educational Pathway,HEI with PRC (Professional Regulation Commission) Exam,Some HEI,Priority Sector (Y/N),Priority Sector,passers_2023_agg,examinees_2023_agg,passers_2024_agg,examinees_2024_agg,SOC,AIOE,Complementarity,C-AIOE,Classification
Construction Lift Passenger/ Material Elevator Operator,Construction,Construction of utility projects,Not Higher Education,No,No,Tourism,Tourism,,,,,53-7041,-0.9871245285050874,0.6422222222222221,-0.697019597627759,Protected
Construction Painter,Construction,Building completion and finishing,Not Higher Education,No,No,Tourism,Tourism,,,,,47-2142,-1.732568629121242,0.5416666666666666,-1.3976053608244687,Isolated
Construction Scheduler,Construction,"Construction of buildings, Construction of roads and railways, Construction of utility projects, Construction of other civil engineering projects",Higher Education,No,Yes,Tourism,Tourism,,,,,11-9021,0.6023994322858968,0.7419444444444444,0.3652883224111424,Augmented
Construction Site Assistant (Foreman),Construction,"Construction of buildings, Construction of roads and railways, Construction of utility projects, Construction of other civil engineering projects",Higher Education,No,Yes,Tourism,Tourism,,,,,11-9021,0.6023994322858968,0.7419444444444444,0.3652883224111424,Augmented
Construction Site Technician,Construction,"Construction of buildings, Construction of roads and railways, Construction of utility projects, Construction of other civil engineering projects",Higher Education,No,Yes,Tourism,Tourism,,,,,17-2051 ,1.303068832130924,0.6426851851851851,0.9195081083027568,Augmented
Consular Affairs Associate,Public Administration and Defense; Compulsory Social Security,Foreign affairs,Higher Education,No,Yes,N,N,,,,,33-3051,-0.7219361463874624,0.6970833333333334,-0.4701609153348349,Protected
Consumer Electronics Assembler,Manufacturing,Manufacture of consumer electronics,Not Higher Education,No,No,Y,Advanced Manufacturing,,,,,51-9194,-0.6501212176431842,0.5002777777777777,-0.5513389104068449,Isolated
Contact Center (Call Center) Agent,Administrative and Support Service Activities,Call centers and other related activities,Not Higher Education,No,No,Y,Financial Services,,,,,43-4171 ,1.0117367283079466,0.4713888888888888,0.8872369031300521,Displaced
Container Stacker Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,Tourism,Tourism,,,,,53-7041,-0.9871245285050874,0.6422222222222221,-0.697019597627759,Protected
Content Editor,Information and Communication,"Publishing of books, periodicals and other publishing activities",Higher Education,No,No,N,N,,,,,27-3041 ,1.1083010062005718,0.6130555555555556,0.8149091009480316,Augmented
Content Writer,Information and Communication,"Publishing of books, periodicals and other publishing activities",Higher Education,No,No,N,N,,,,,27-3043,0.7743766257616718,0.5294444444444445,0.6341284146515023,Displaced
Control Systems Technician,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Higher Education,Yes,No,N,N,1218.0,3945.0,1655.0,3058.0,17-3023,0.2307035718843949,0.6161111111111112,0.1689262820797958,Augmented
Cook,Accommodation and Food Service Activities,Event catering and other food service activities,Not Higher Education,No,No,Tourism,Tourism,,,,,35-2019,-0.6267809371496645,0.5396732026143791,-0.5068527545675964,Isolated
Cook (Healthcare Facility),Human Health and Social Work Activities,Hospital activities,Not Higher Education,No,No,Y,Health,,,,,35-2019,-0.6267809371496645,0.5396732026143791,-0.5068527545675964,Isolated
Cooling Systems Technician,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Higher Education,No,Yes,N,N,,,,,17-3023,0.2307035718843949,0.6161111111111112,0.1689262820797958,Augmented
Co-op Administrative Support,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,Yes,Y,Financial Services,,,,,43-601,1.0117367283079466,0.5203728070175438,0.8376780740628624,Displaced
Cooperative Assistant,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,Yes,Y,Financial Services,,,,,43-6011,1.0600457450196432,0.5005555555555555,0.8986832260555421,Displaced
Cooperative Development Officer,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,No,No,N,N,,,,,13-1151 ,1.1966462559768865,0.6319444444444445,0.8572640817123306,Augmented
Corporate Auditor,Financial and Insurance Activities,Activities of holding companies,Higher Education,Yes,No,Y,Financial Services,2740.0,8734.0,3058.0,10136.0,13-2082,1.3620743346972182,0.4541666666666666,1.2179214676084291,Displaced
Corporate Communications Officer,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,N,N,,,,,27-3031 ,1.2230614224333591,0.6141666666666666,0.8979309276364913,Augmented
Cost Accountant,Financial and Insurance Activities,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No,Y,Financial Services,2740.0,8734.0,3058.0,10136.0,13-2082,1.3620743346972182,0.4541666666666666,1.2179214676084291,Displaced
Cost Controller,Financial and Insurance Activities,"Activities auxiliary to financial service, except insurance and pension funding",Higher Education,No,No,Y,Financial Services,,,,,43-3031,1.0204933974998105,0.5122222222222222,0.8532458684651194,Displaced
Courier,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,Tourism,Tourism,,,,,43-9051,-0.828177528731795,0.5691666666666667,-0.6452883244701902,Isolated
Courier Scheduler,Transportation and Storage,Courier activities,Higher Education,No,Yes,Tourism,Tourism,,,,,43-5032,1.1679053146236258,0.6255555555555555,0.8441360079585207,Augmented
Court Clerk,Public Administration and Defense; Compulsory Social Security,Justice and Judicial Activities,Higher Education,No,Yes,N,N,,,,,33-9031,0.7106225288460828,0.5908333333333333,0.5382965656009078,Displaced
Court Stenographer,Public Administration and Defense; Compulsory Social Security,Public Administration and Defense; Compulsory Social Security,Not Higher Education,No,No,N,N,,,,,43-9022,0.6047786521240088,0.4522222222222222,0.5419488699311258,Displaced
"Crane, Hoist and Lift Operator",Transportation and Storage,Warehousing and storage,Not Higher Education,No,No,Tourism,Tourism,,,,,53-7041,-0.9871245285050874,0.6422222222222221,-0.697019597627759,Protected
Crawler Crane Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,Tourism,Tourism,,,,,53-7041,-0.9871245285050874,0.6422222222222221,-0.697019597627759,Protected
Creative Writing Instructor,Information and Communication,"Publishing of books, periodicals and other publishing activities",Higher Education,No,No,N,N,,,,,27-3043,0.7743766257616718,0.5294444444444445,0.6341284146515023,Displaced
Criminal Investigator (Registered Criminologist),Public Administration and Defense; Compulsory Social Security,Public Order and Safety Activities,Higher Education,Yes,No,N,N,5743.0,17576.0,11121.0,22539.0,33-3021,0.1137349789024808,0.6456481481481481,0.0799198847121228,Augmented
Crop Field Technician,"Agriculture, Forestry, and Fishing",Growing of non-perennial crops,Higher Education,No,Yes,N,N,,,,,19-4011,1.1962758695210862,0.6164937943262411,0.8754819808756202,Augmented
Cruise Cabin Attendant,Accommodation and Food Service Activities,Other accommodation,Higher Education,No,Yes,Tourism,Tourism,,,,,53-6061,-0.3872555286506614,0.5061111111111111,-0.3261552119080015,Isolated
Cruise Operations Assistant,Accommodation and Food Service Activities,Other accommodation,Higher Education,No,Yes,Tourism,Tourism,,,,,53-5021,-0.7138985758488017,0.7611111111111111,-0.419217108151213,Protected
Culinary Tour Assistant,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,Yes,Tourism,Tourism,,,,,35-9011 ,-1.826941747515469,0.495,-1.5589902912132003,Isolated
Cultural Affairs Officer,Public Administration and Defense; Compulsory Social Security,Other Personal Service Activities,Higher Education,No,No,N,N,,,,,27-3031 ,1.2230614224333591,0.6141666666666666,0.8979309276364913,Augmented
Cultural Dancer,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,N,N,,,,,27-2032,-1.6025485585216013,0.6763888888888888,-1.0768236008510428,Protected
Cultural Heritage Researcher,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,N,N,,,,,25-4012,0.7188278381031682,0.6888888888888888,0.4740270243491449,Augmented
Culture & Communications Analyst,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,N,N,,,,,27-3031 ,1.2230614224333591,0.6141666666666666,0.8979309276364913,Augmented
Curriculum Designer,Education,Educational support services,Not Higher Education,No,No,N,N,,,,,25-9031,1.333804583640498,0.6875,0.8814225290224291,Augmented
Customer Interaction Specialist,Information and Communication,Other information service activities,Higher Education,No,No,N,N,,,,,43-4171 ,1.0117367283079466,0.4713888888888888,0.8872369031300521,Displaced
Customer Service Representative,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Not Higher Education,No,No,Y,Financial Services,,,,,43-4171 ,1.0117367283079466,0.4713888888888888,0.8872369031300521,Displaced
Customs Officer,Public Administration and Defense; Compulsory Social Security,Public administration and defense; compulsory social security,Higher Education,Yes,No,N,N,1579.0,2767.0,1265.0,2871.0,33-3051,-0.7219361463874624,0.6970833333333334,-0.4701609153348349,Protected
Cyber Threat Analyst,Information and Communication,"Data processing, hosting and related activities; web portals",Not Higher Education,No,No,Y,Digital Technology,,,,,15-1299,1.2355878663736692,0.5574537037037037,0.9772012741324718,Displaced
Cybersecurity Help Desk,Information and Communication,Other information service activities,Not Higher Education,No,No,Y,Digital Technology,,,,,15-1151 ,1.2355878663736692,0.5585861823361823,0.975801997275254,Displaced
Dairy Farm Milker,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No,N,N,,,,,19-4011,1.1962758695210862,0.6164937943262411,0.8754819808756202,Augmented
Dancer,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,N,N,,,,,27-2032,-1.6025485585216013,0.6763888888888888,-1.0768236008510428,Protected
Data Analyst Associate,Information and Communication,"Data processing, hosting and related activities; web portals",Not Higher Education,No,No,Y,Digital Technology,,,,,15-1242,1.3407881770776937,0.5430555555555555,1.079706923707843,Displaced
Data Annotation Associate,Information and Communication,"Data processing, hosting and related activities; web portals",Not Higher Education,No,No,Y,Digital Technology,,,,,19-3022,1.4774993998129229,0.6063888888888888,1.0962224713611994,Augmented
Data Encoder (Healthcare Facility),Human Health and Social Work Activities,Hospital activities,Not Higher Education,No,No,Y,Health,,,,,43-9021,0.2952404414086115,0.4877777777777777,0.2540708020788552,Displaced
Data Encoding Associate,Information and Communication,"Data processing, hosting and related activities; web portals",Not Higher Education,No,No,Y,Digital Technology,,,,,43-9021,0.2952404414086115,0.4877777777777777,0.2540708020788552,Displaced
Data Management Assistant,Administrative and Support Service Activities,Office administrative and support activities,Higher Education,No,Yes,Y,Financial Services,,,,,43-9071 ,-0.5283907736061705,0.4333333333333333,-0.483477557849646,Isolated
Data Quality Specialist,Information and Communication,"Data processing, hosting and related activities; web portals",Higher Education,No,No,Y,Digital Technology,,,,,15-1242,1.3407881770776937,0.5430555555555555,1.079706923707843,Displaced
Data Scientist,Information and Communication,"Data processing, hosting and related activities; web portals",Higher Education,No,No,Y,Digital Technology,,,,,43-9111,1.2970972393926237,0.538611111111111,1.0502884591193051,Displaced
Database Assistant,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,Yes,Y,Digital Technology,,,,,15-1151 ,1.2355878663736692,0.5585861823361823,0.975801997275254,Displaced
Delivery Driver,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,Tourism,Tourism,,,,,43-5021,-0.968146275461266,0.5847222222222223,-0.7392872531230612,Isolated
Demi Chef,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,Tourism,Tourism,,,,,35-1012,-0.1489164181781776,0.57,-0.1159066121486815,Isolated
Dental Hygienist,Human Health and Social Work Activities,Medical and dental practice activities,Not Higher Education,No,No,Y,Health,,,,,31-9091,-0.4413828025834359,0.6322222222222221,-0.3160791291833605,Protected
Dental Laboratory Assistant,Human Health and Social Work Activities,Medical and dental practice activities,Not Higher Education,No,No,Y,Health,,,,,31-9091,-0.4413828025834359,0.6322222222222221,-0.3160791291833605,Protected
Dentist,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No,Y,Health,15.0,20.0,873.0,1287.0,29-1029,0.2380110444547259,0.6536211755233494,0.1653491662757506,Augmented
Dermopigmentation/Tattoo Artist,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,N,N,,,,,39-3099 ,-0.5276871682377668,0.6405864197530864,-0.37346896465618,Protected
Design Engineer,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,N,N,2133.0,4237.0,1144.0,3485.0,17-2112,1.3022721729014886,0.6582638888888889,0.8986582348695898,Augmented
Development Education Assistant,Education,Other Education,Higher Education,Yes,No,N,N,77777.0,146562.0,68900.0,129928.0,21-1093,0.7806366196871929,0.6691666666666666,0.5301823708708853,Augmented
Development Planning Associate,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N,,,,,13-1151 ,1.1966462559768865,0.6319444444444445,0.8572640817123306,Augmented
Development Researcher,Public Administration and Defense; Compulsory Social Security,Public Administration,Higher Education,No,No,N,N,,,,,25-1199,0.8006554663832743,0.695328282828283,0.5228320632627548,Augmented
Dialysis Nurse,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No,Y,Health,3878.0,6833.0,4587.0,7113.0,29-1171 ,0.2700903207777707,0.7450000000000001,0.1629544935359216,Augmented
Diesel Power Plant Operator,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Not Higher Education,No,No,N,N,,,,,51-8013,-0.6745700212605167,0.6387037037037038,-0.4786948743463518,Protected
Digital Background Painting,Information and Communication,"Motion picture, video and television programme activities",Higher Education,No,No,Y,Digital Technology,,,,,27-1014,0.6882188383865873,0.6152777777777777,0.5045026429172789,Augmented
Digital Content Strategist,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,Y,Digital Technology,,,,,15-1134 ,1.2355878663736692,0.5585861823361823,0.975801997275254,Displaced
Digital Fabrication Machine Operator,Manufacturing,Manufacture of general purpose machinery,Not Higher Education,No,No,Y,Digital Technology,,,,,51-4199,-0.8341351787751918,0.5330229377104376,-0.6800790826101766,Isolated
Digital Marketing Specialist,"Professional, Scientific and Technical Activities",Advertising,Not Higher Education,No,No,Y,Digital Technology,,,,,27-3043 ,0.7743766257616718,0.5294444444444445,0.6341284146515023,Displaced
Digital Sales Support Staff,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail Sale via Mail Order Houses or via Internet,Higher Education,No,No,Y,Digital Technology,,,,,41-9031,1.2014782802095345,0.6194444444444445,0.8757441686860608,Augmented
Digital Transformation Associate,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,Y,Digital Technology,,,,,15-1299,1.2355878663736692,0.5574537037037037,0.9772012741324718,Displaced
Dispatch Coordinator,Transportation and Storage,Support activities for transportation,Higher Education,No,Yes,Tourism,Tourism,,,,,43-9051,-0.828177528731795,0.5691666666666667,-0.6452883244701902,Isolated
Dispatcher,Transportation and Storage,"Postal activities, Warehousing and storage",Higher Education,No,No,Tourism,Tourism,,,,,43-5032,1.1679053146236258,0.6255555555555555,0.8441360079585207,Augmented
Diversity & Inclusion Specialist,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N,,,,,13-1199,1.4540568100648037,0.605625,1.0799401099752135,Augmented
Document Controller (Construction),Construction,Construction of buildings,Higher Education,No,No,Tourism,Tourism,,,,,43-9071 ,-0.5283907736061705,0.4333333333333333,-0.483477557849646,Isolated
Documentation Specialist,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,N,N,,,,,27-1012 ,-0.8672596469857901,0.4680555555555555,-0.7634293948049914,Isolated
Domestic Refrigeration And Air-Conditioning Technician,"Electricity, Gas, Steam and Air Conditioning Supply",Airconditioning and Refrigeration,Not Higher Education,No,No,N,N,,,,,47-2132,-1.3913864731220469,0.6055555555555555,-1.033490952535654,Protected
Doorkeeper,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,Tourism,Tourism,,,,,33-9093 ,-0.5182191975946915,0.5377777777777778,-0.4200454496059194,Isolated
Drafting Technician,Manufacturing,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",Higher Education,No,Yes,Y,Advanced Manufacturing,,,,,27-1013 ,-0.5800703514608596,0.4575,-0.5167460047597158,Isolated
Drafting Technician (Architecture),"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,N,N,2924.0,4784.0,2094.0,3370.0,27-1013 ,-0.5800703514608596,0.4575,-0.5167460047597158,Isolated
Draftsman,Construction,Other specialized construction activities,Not Higher Education,No,No,Tourism,Tourism,,,,,27-1013 ,-0.5800703514608596,0.4575,-0.5167460047597158,Isolated
Dressmaker,Manufacturing,Custom tailoring and dressmaking,Not Higher Education,No,No,N,N,,,,,51-6052,-0.5547315587881533,0.5277777777777778,-0.4551880624056124,Isolated
Drilling Rig Operators,Construction,Construction of utility projects,Not Higher Education,No,No,Tourism,Tourism,,,,,47-5044,-1.1172817235594896,0.5613888888888888,-0.879238645234454,Isolated
Drying And Milling Plant Service Technician,Manufacturing,"Manufacture of grain mill products, starches and starch products",Not Higher Education,No,No,N,N,,,,,53-7011,-0.7654642333588086,0.5313888888888889,-0.6253417528634045,Isolated
Early Learning Materials Developer,Education,Other Education,Higher Education,Yes,No,N,N,77777.0,146562.0,68900.0,129928.0,25-9031,1.333804583640498,0.6875,0.8814225290224291,Augmented
Ecological Survey Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N,,,,,29-9092 ,1.5056696701614034,0.6302777777777777,1.0811544714908967,Augmented
E-Commerce Data Analyst,Information and Communication,"Data processing, hosting and related activities; web portals",Not Higher Education,No,No,Y,Financial Services,,,,,15-1242,1.3407881770776937,0.5430555555555555,1.079706923707843,Displaced
E-Commerce Support Associate,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail Sale via Mail Order Houses or via Internet,Higher Education,No,Yes,Y,Financial Services,,,,,43-4171 ,1.0117367283079466,0.4713888888888888,0.8872369031300521,Displaced
Economic Data Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,Y,Digital Technology,,,,,19-3011,1.3739893283132485,0.5929166666666666,1.0379344384299665,Displaced
Economic Policy Researcher,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N,,,,,19-3011,1.3739893283132485,0.5929166666666666,1.0379344384299665,Displaced
Economics Instructor,Education,Higher education,Higher Education,No,No,N,N,,,,,19-3011,1.3739893283132485,0.5929166666666666,1.0379344384299665,Displaced
Eco-Tourism Guide,Accommodation and Food Service Activities,Other accommodation,Higher Education,No,No,Tourism,Tourism,,,,,39-7012,0.4571220527837438,0.6594444444444444,0.3149063030288013,Augmented
Eco-Tourism Program Aide,Accommodation and Food Service Activities,Other accommodation,Higher Education,No,Yes,Tourism,Tourism,,,,,43-4181,0.2121430815192957,0.5544444444444444,0.1684180352728186,Displaced
Eco-Tourism Program Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N,,,,,43-4181,0.2121430815192957,0.5544444444444444,0.1684180352728186,Displaced
Editorial Assistant,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,Yes,N,N,,,,,27-3041 ,1.1083010062005718,0.6130555555555556,0.8149091009480316,Augmented
Education Program Assistant,Education,Other Education,Higher Education,No,Yes,N,N,,,,,25-9041 ,0.8006554663832743,0.695328282828283,0.5228320632627548,Augmented
Electric Discharge Machine-Sinking Operator,Manufacturing,Manufacture of other fabricated metal products; metal working service activities,Not Higher Education,No,No,N,N,,,,,51-4122 ,-0.9644465077543026,0.5352777777777777,-0.78414859116579,Isolated
Electric Power Distribution Line Worker,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Not Higher Education,No,No,N,N,,,,,49-9051,-1.2416423994528298,0.7380555555555556,-0.7577467643327409,Protected
Electrical Appliance Servicer,Other Service Activities,Repair of personal and household goods,Higher Education,No,No,N,N,,,,,49-2096,-0.8014663306886012,0.6011111111111112,-0.598873452653427,Protected
Electrical Distribution Engineer,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Higher Education,Yes,No,N,N,1218.0,3945.0,1655.0,3058.0,17-2071,1.0699352703170644,0.6638888888888889,0.7323112516836797,Augmented
Electrical Systems Technician,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Higher Education,Yes,No,N,N,1218.0,3945.0,1655.0,3058.0,17-3024,-0.2923061417176008,0.6056944444444444,-0.2170779083005571,Protected
Electrical Technician (Automotive),Manufacturing,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No,N,N,,,,,17-3024,-0.2923061417176008,0.6056944444444444,-0.2170779083005571,Protected
Electronic Products Assembler,Manufacturing,Manufacture of electronic components,Not Higher Education,No,No,Y,Advanced Manufacturing,,,,,51-9194,-0.6501212176431842,0.5002777777777777,-0.5513389104068449,Isolated
Electronics Design Engineer,Manufacturing,Manufacture of electronic components,Higher Education,Yes,No,Y,Advanced Manufacturing,842.0,2524.0,999.0,2172.0,17-2072 ,0.6853776260103156,0.5906944444444444,0.51926874303976,Displaced
Electronics Operator,Manufacturing,Manufacture of electronic components,Not Higher Education,No,No,Y,Advanced Manufacturing,,,,,51-9194,-0.6501212176431842,0.5002777777777777,-0.5513389104068449,Isolated
Electronics Repair Technician,Manufacturing,Manufacture of consumer electronics,Higher Education,No,Yes,Y,Advanced Manufacturing,,,,,17-3023,0.2307035718843949,0.6161111111111112,0.1689262820797958,Augmented
Electronics Test Technician,Manufacturing,Manufacture of consumer electronics,Higher Education,No,Yes,Y,Advanced Manufacturing,,,,,53-6041,0.3835605034568007,0.5769444444444444,0.2958743105832043,Displaced
Elevator Attendant,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,Tourism,Tourism,,,,,53-6021,-0.8449649307349394,0.5530555555555555,-0.6719818324150366,Isolated
Elevator Installation Technician,Construction,"Electrical, plumbing and other construction installation activities",Not Higher Education,No,No,Tourism,Tourism,,,,,17-3029,-0.0372319794758209,0.5897222222222221,-0.0282445933190185,Isolated
Elevator Installer,Construction,Other specialized construction activities,Not Higher Education,No,No,Tourism,Tourism,,,,,17-3029,-0.0372319794758209,0.5897222222222221,-0.0282445933190185,Isolated
Embalmer,Human Health and Social Work Activities,Other human health activities,Not Higher Education,No,No,Y,Health,,,,,39-4031,-0.287786445261162,0.7138888888888889,-0.1825845113823594,Protected
Embedded Systems Developer,Information and Communication,"Computer Programming, Consultancy and Related Activities",Higher Education,No,No,Y,Digital Technology,,,,,15-1133,1.2355878663736692,0.5585861823361823,0.975801997275254,Displaced
Embedded Systems Technician,Manufacturing,Manufacture of electronic components,Higher Education,Yes,No,Y,Advanced Manufacturing,842.0,2524.0,999.0,2172.0,49-9052,-1.0922437980466209,0.6463888888888889,-0.7666944660177253,Protected
Embroiderer,Manufacturing,Manufacture of knitted and crocheted apparel,Not Higher Education,No,No,N,N,,,,,51-6051,-0.7125207574258047,0.4372222222222223,-0.6491855789879554,Isolated
Emergency Medical Technician,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Not Higher Education,No,No,Y,Health,,,,,29-2041 ,0.2380110444547259,0.6536211755233494,0.1653491662757506,Augmented
Emergency Response Officer,Public Administration and Defense; Compulsory Social Security,Public administration and defense; compulsory social security,Higher Education,No,No,N,N,,,,,29-2041 ,0.2380110444547259,0.6536211755233494,0.1653491662757506,Augmented
Employee Engagement Officer,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,No,Y,Financial Services,,,,,21-1012 ,1.390653349799162,0.6652777777777777,0.9498934964322612,Augmented
Energy Auditors,Manufacturing,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",Higher Education,No,No,Y,Advanced Manufacturing,,,,,17-3024,-0.2923061417176008,0.6056944444444444,-0.2170779083005571,Protected
Energy Conservation Officer,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Not Higher Education,No,No,N,N,,,,,17-3024,-0.2923061417176008,0.6056944444444444,-0.2170779083005571,Protected
Engine Repair Specialist,Manufacturing,"Repair of fabricated metal products, machinery and equipment",Not Higher Education,No,No,N,N,,,,,49-3093,-1.5566147016651897,0.6050000000000001,-1.1570835949044576,Protected
Engineered Bamboo Processor,Manufacturing,"Manufacture of products of wood, cork, straw and plaiting materials",Not Higher Education,No,No,N,N,,,,,51-7042,-1.1384208402675908,0.5302777777777778,-0.9312914929411265,Isolated
Engineering Assistant (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,Yes,No,Y,Health,3892.0,5401.0,3872.0,5574.0,17-3029,-0.0372319794758209,0.5897222222222221,-0.0282445933190185,Isolated
English Education Materials Writer,Education,Other Education,Higher Education,No,No,N,N,,,,,25-9031,1.333804583640498,0.6875,0.8814225290224291,Augmented
English Subject Teacher,Education,"Primary/elementary education, Secondary/high school education",Higher Education,Yes,No,N,N,77777.0,146562.0,68900.0,129928.0,25-3099 ,0.8006554663832743,0.695328282828283,0.5228320632627548,Augmented
Enterprise Development Assistant,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,Yes,Y,Financial Services,,,,,15-1151 ,1.2355878663736692,0.5585861823361823,0.975801997275254,Displaced
Enumerator,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Not Higher Education,No,No,N,N,,,,,43-4111 ,1.25788885874446,0.5880555555555556,0.9563449462176632,Displaced
Environment and Occupational Safety and Health Specialist (Manufacturing),Manufacturing,"Other manufacturing, n.e.c.",Higher Education,No,No,N,N,,,,,29-9011 ,0.2380110444547259,0.6536211755233494,0.1653491662757506,Augmented
"Environment, Safety & Health Officers",Construction,Construction of utility projects,Higher Education,No,No,Tourism,Tourism,,,,,53-6051,0.195081275698469,0.6889814814814814,0.1286272003934072,Augmented
Environmental Compliance Analyst,"Water Supply; Sewerage, Waste Management and Remediation",Remediation activities and other waste management services,Higher Education,No,No,Tourism,Tourism,,,,,17-2081,1.3942922371302795,0.6652777777777777,0.9523790586398216,Augmented
Environmental Engineer,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,No,No,N,N,,,,,19-2041 ,1.121407837793284,0.6320138888888889,0.8032862393637309,Augmented
Environmental Field Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N,,,,,17-2081,1.3942922371302795,0.6652777777777777,0.9523790586398216,Augmented
Environmental Health Assistant,Human Health and Social Work Activities,Other human health activities,Higher Education,No,Yes,Y,Health,,,,,29-9011 ,0.2380110444547259,0.6536211755233494,0.1653491662757506,Augmented
Environmental Impact Analyst,"Water Supply; Sewerage, Waste Management and Remediation",Remediation activities and other waste management services,Higher Education,No,No,Tourism,Tourism,,,,,19-2041 ,1.121407837793284,0.6320138888888889,0.8032862393637309,Augmented
Equipment Dispatchers,Construction,Construction of utility projects,Not Higher Education,No,No,Tourism,Tourism,,,,,43-5111,-0.1990509675516624,0.5297222222222222,-0.1629453337152081,Isolated
Equipment Technicians,Construction,Construction of utility projects,Not Higher Education,No,No,Tourism,Tourism,,,,,17-3024,-0.2923061417176008,0.6056944444444444,-0.2170779083005571,Protected
Equipment Tool Keepers,Construction,Other specialized construction activities,Not Higher Education,No,No,Tourism,Tourism,,,,,43-5111,-0.1990509675516624,0.5297222222222222,-0.1629453337152081,Isolated
Erection Crew,Construction,Construction of buildings,Not Higher Education,No,No,Tourism,Tourism,,,,,47-3019,-1.15238606969144,0.6467751736111111,-0.8084658503422513,Protected
ESL Curriculum Assistant,Education,Other Education,Higher Education,No,Yes,N,N,,,,,25-9031,1.333804583640498,0.6875,0.8814225290224291,Augmented
ESL Trainer,Education,Other Education,Higher Education,No,No,N,N,,,,,13-1151 ,1.1966462559768865,0.6319444444444445,0.8572640817123306,Augmented
