,Job Title,Job Sector,Job Subsector,Educational Pathway,HEI with PRC (Professional Regulation Commission) Exam,Some HEI,Priority Sector (Y/N)_x,Priority Sector,passers_2023_agg,examinees_2023_agg,passers_2024_agg,examinees_2024_agg,AIOE,Complementarity,C-AIOE,Classification
250,Corporate Communications Officer,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,N,N,,,,,1.2230614224333591,0.6141666666666666,0.8979309276364913,Augmented
251,Cost Accountant,Financial and Insurance Activities,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No,Y,Financial Services,2740.0,8734.0,3058.0,10136.0,1.3620743346972182,0.4541666666666666,1.2179214676084291,Displaced
252,Cost Controller,Financial and Insurance Activities,"Activities auxiliary to financial service, except insurance and pension funding",Higher Education,No,No,Y,Financial Services,,,,,1.0204933974998105,0.5122222222222222,0.8532458684651194,Displaced
253,Courier,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,N,N,,,,,-0.828177528731795,0.5691666666666667,-0.6452883244701902,Isolated
254,Courier Scheduler,Transportation and Storage,Courier activities,Higher Education,No,Yes,N,N,,,,,1.1679053146236258,0.6255555555555555,0.8441360079585207,Augmented
255,Court Clerk,Public Administration and Defense; Compulsory Social Security,Justice and Judicial Activities,Higher Education,No,Yes,N,N,,,,,0.7106225288460828,0.5908333333333333,0.5382965656009078,Displaced
256,Court Stenographer,Public Administration and Defense; Compulsory Social Security,Public Administration and Defense; Compulsory Social Security,Not Higher Education,No,No,N,N,,,,,0.6047786521240088,0.4522222222222222,0.5419488699311258,Displaced
257,"Crane, Hoist and Lift Operator",Transportation and Storage,Warehousing and storage,Not Higher Education,No,No,N,N,,,,,-0.9871245285050874,0.6422222222222221,-0.697019597627759,Protected
258,Crawler Crane Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,N,N,,,,,-0.9871245285050874,0.6422222222222221,-0.697019597627759,Protected
259,Creative Writing Instructor,Information and Communication,"Publishing of books, periodicals and other publishing activities",Higher Education,No,No,N,N,,,,,0.7743766257616718,0.5294444444444445,0.6341284146515023,Displaced
260,Criminal Investigator (Registered Criminologist),Public Administration and Defense; Compulsory Social Security,Public Order and Safety Activities,Higher Education,Yes,No,N,N,5743.0,17576.0,11121.0,22539.0,0.1137349789024808,0.6456481481481481,0.0799198847121228,Augmented
261,Crop Field Technician,"Agriculture, Forestry, and Fishing",Growing of non-perennial crops,Higher Education,No,Yes,N,N,,,,,1.1962758695210862,0.6164937943262411,0.8754819808756202,Augmented
262,Cruise Cabin Attendant,Accommodation and Food Service Activities,Other accommodation,Higher Education,No,Yes,N,N,,,,,-0.3872555286506614,0.5061111111111111,-0.3261552119080015,Isolated
263,Cruise Operations Assistant,Accommodation and Food Service Activities,Other accommodation,Higher Education,No,Yes,N,N,,,,,-0.7138985758488017,0.7611111111111111,-0.419217108151213,Protected
264,Culinary Tour Assistant,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,Yes,N,N,,,,,-1.826941747515469,0.495,-1.5589902912132003,Isolated
