,,,,,,,,,,,,,,,,,,,,,,,,
"Importing 2.1
(Identifier for Regional Reductions)
[Region|Sector|Sub|Job|Program|Type]",Region,Sector,Sub-sector,Job Requirement,Programs,"Program
Type",,Year 2,,,,,,,,,Year 3,,,,,,,
REGION_VII|CONSTRUCTION|HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION|OFF-HIGHWAY DUMP TRUCK (RIGID) OPERATOR|HEAVY EQUIPMENT OPERATION (RIGID OFF-HIGHWAY DUMP TRUCK) NC II|WITH TR,REGION_VII,CONSTRUCTION,HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION,OFF-HIGHWAY DUMP TRUCK (RIGID) OPERATOR,HEAVY EQUIPMENT OPERATION (RIGID OFF-HIGHWAY DUMP TRUCK) NC II,WITH TR,,0,0,0,0,0,2,0,0,,0,0,0,0,0,1,0,0
REGION_VII|CONSTRUCTION|HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION|PAVER OPERATOR|HEAVY EQUIPMENT OPERATION (PAVER) NC II|WITH TR,REGION_VII,CONSTRUCTION,HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION,PAVER OPERATOR,HEAVY EQUIPMENT OPERATION (PAVER) NC II,WITH TR,,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0
REGION_VII|CONSTRUCTION|HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION|TRUCK MOUNTED CRANE OPERATOR|HEAVY EQUIPMENT OPERATION (TRUCK MOUNTED CRANE) NC III|WITH TR,REGION_VII,CONSTRUCTION,HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION,TRUCK MOUNTED CRANE OPERATOR,HEAVY EQUIPMENT OPERATION (TRUCK MOUNTED CRANE) NC III,WITH TR,,0,0,0,0,0,3,0,0,,0,0,0,0,0,3,0,0
REGION_VII|CONSTRUCTION|HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION|WHEEL LOADER OPERATOR|HEAVY EQUIPMENT OPERATION (WHEEL LOADER) NC II|WITH TR,REGION_VII,CONSTRUCTION,HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION,WHEEL LOADER OPERATOR,HEAVY EQUIPMENT OPERATION (WHEEL LOADER) NC II,WITH TR,,0,0,0,0,0,4,0,0,,0,0,0,0,0,3,0,0
"REGION_VII|CONSTRUCTION|HORIZONTAL CONSTRUCTION, INDUSTRIAL CONSTRUCTION, EQUIPMENT OPERATIONS AND MAINTENANCE|▪ BUILDING INSPECTOR ▪ CIVIL ENGINEERING DESIGN TECHNOLOGIST ▪ MATERIALS TESTING TECHNOLOGIST. ▪ CONSTRUCTION COORDINATOR, FOREMAN, OR SUPERINTENDENT ▪ ESTIMATOR ▪ TECHNICAL REPRESENTATIVE ▪ FIELD TECHNICAL ASSISTANT ▪ DRAFTSMAN/CAD OPERATOR ▪ REBAR FIXER ▪ BUILDING ELECTRICIAN ▪ BRICK LAYER/MASON ▪ PLUMBER|DIPLOMA PROGRAM IN CIVIL ENGINEERING TECHNOLOGY|DIPLOMA PROGRAMS",REGION_VII,CONSTRUCTION,"HORIZONTAL CONSTRUCTION, INDUSTRIAL CONSTRUCTION, EQUIPMENT OPERATIONS AND MAINTENANCE","▪ BUILDING INSPECTOR ▪ CIVIL ENGINEERING DESIGN TECHNOLOGIST ▪ MATERIALS TESTING TECHNOLOGIST. ▪ CONSTRUCTION COORDINATOR, FOREMAN, OR SUPERINTENDENT ▪ ESTIMATOR ▪ TECHNICAL REPRESENTATIVE ▪ FIELD TECHNICAL ASSISTANT ▪ DRAFTSMAN/CAD OPERATOR ▪ REBAR FIXER ▪ BUILDING ELECTRICIAN ▪ BRICK LAYER/MASON ▪ PLUMBER",DIPLOMA PROGRAM IN CIVIL ENGINEERING TECHNOLOGY,DIPLOMA PROGRAMS,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
"REGION_VII|CONSTRUCTION|HORIZONTAL CONSTRUCTION, INDUSTRIAL CONSTRUCTION, EQUIPMENT OPERATIONS AND MAINTENANCE|BULLDOZER OPERATOR|HEAVY EQUIPMENT OPERATION (BULLDOZER) NC II|WITH TR",REGION_VII,CONSTRUCTION,"HORIZONTAL CONSTRUCTION, INDUSTRIAL CONSTRUCTION, EQUIPMENT OPERATIONS AND MAINTENANCE",BULLDOZER OPERATOR,HEAVY EQUIPMENT OPERATION (BULLDOZER) NC II,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
"REGION_VII|CONSTRUCTION|HORIZONTAL CONSTRUCTION, INDUSTRIAL CONSTRUCTION, EQUIPMENT OPERATIONS AND MAINTENANCE|MASONRY TECHNICIAN, PLUMBING TECHNICIAN, TECHNICAL DRAFTSMAN, REINFORCING STEELWORKS TECHNICIAN, PAINTING TECHNICIAN, TILE SETTING TECHNICIAN, CARPENTRY, TECHNICIAN, SCAFFOLDING AND FORMWORKS TECHNICIAN, CIVIL ENGINEERING TECHNOLOGIST|DIPLOMA PROGRAM IN CIVIL ENGINEERING TECHNOLOGY|DIPLOMA PROGRAMS",REGION_VII,CONSTRUCTION,"HORIZONTAL CONSTRUCTION, INDUSTRIAL CONSTRUCTION, EQUIPMENT OPERATIONS AND MAINTENANCE","MASONRY TECHNICIAN, PLUMBING TECHNICIAN, TECHNICAL DRAFTSMAN, REINFORCING STEELWORKS TECHNICIAN, PAINTING TECHNICIAN, TILE SETTING TECHNICIAN, CARPENTRY, TECHNICIAN, SCAFFOLDING AND FORMWORKS TECHNICIAN, CIVIL ENGINEERING TECHNOLOGIST",DIPLOMA PROGRAM IN CIVIL ENGINEERING TECHNOLOGY,DIPLOMA PROGRAMS,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
"REGION_VII|CONSTRUCTION|HORIZONTAL CONSTRUCTION, RESIDENTIAL CONSTRUCTION, INDUSTRIAL CONSTRUCTION|PV SYSTEMS INSTALLATION TECHNICIAN|PV SYSTEMS INSTALLATION NC II|WITH TR",REGION_VII,CONSTRUCTION,"HORIZONTAL CONSTRUCTION, RESIDENTIAL CONSTRUCTION, INDUSTRIAL CONSTRUCTION",PV SYSTEMS INSTALLATION TECHNICIAN,PV SYSTEMS INSTALLATION NC II,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|CONSTRUCTION|HORIZONTAL CONSTRUCTION|FDAS TECHNICIAN|ELECTRICAL INSTALLATION AND MAINTENANCE NC II|WITH TR,REGION_VII,CONSTRUCTION,HORIZONTAL CONSTRUCTION,FDAS TECHNICIAN,ELECTRICAL INSTALLATION AND MAINTENANCE NC II,WITH TR,,1,0,0,1,1,6,0,1,,1,0,0,1,1,6,0,1
REGION_VII|CONSTRUCTION|HORIZONTAL CONSTRUCTION|MOTOR GRADER OPERATOR|HEAVY EQUIPMENT OPERATION (MOTOR GRADER) NC II|WITH TR,REGION_VII,CONSTRUCTION,HORIZONTAL CONSTRUCTION,MOTOR GRADER OPERATOR,HEAVY EQUIPMENT OPERATION (MOTOR GRADER) NC II,WITH TR,,0,0,0,0,0,3,0,0,,1,0,0,1,1,3,0,0
REGION_VII|CONSTRUCTION|HYDRAULIC EXCAVATOR OPERATOR|HYDRAULIC OPERATORS|HEAVY EQUIPMENT OPERATION (HYDRAULIC EXCAVATOR) NC II|WITH TR,REGION_VII,CONSTRUCTION,HYDRAULIC EXCAVATOR OPERATOR,HYDRAULIC OPERATORS,HEAVY EQUIPMENT OPERATION (HYDRAULIC EXCAVATOR) NC II,WITH TR,,4,2,0,6,6,2,0,0,,2,0,0,2,2,2,0,0
REGION_VII|CONSTRUCTION|INDOOR ENVIRONMENT QUALITY|ELECTRICIAN|ELECTRICAL INSTALLATION AND MAINTENANCE NC II|WITH TR,REGION_VII,CONSTRUCTION,INDOOR ENVIRONMENT QUALITY,ELECTRICIAN,ELECTRICAL INSTALLATION AND MAINTENANCE NC II,WITH TR,,5,0,0,5,5,0,0,0,,0,2,0,2,2,0,0,0
REGION_VII|CONSTRUCTION|INDUSTRIAL PLUMBING|PLUMBERS|PLUMBING NC III|WITH TR,REGION_VII,CONSTRUCTION,INDUSTRIAL PLUMBING,PLUMBERS,PLUMBING NC III,WITH TR,,6,2,0,8,8,4,0,0,,2,2,0,4,4,3,0,0
REGION_VII|CONSTRUCTION|MMAW|WELDER|MANUAL METAL ARC WELDING (MMAW) NC II|WITH TR,REGION_VII,CONSTRUCTION,MMAW,WELDER,MANUAL METAL ARC WELDING (MMAW) NC II,WITH TR,,5,1,0,6,6,4,0,0,,2,1,0,3,3,2,0,0
REGION_VII|CONSTRUCTION|MOBILE CRANE OPERATOR|CRANE OPERATORS|HEAVY EQUIPMENT OPERATION (CRAWLER CRANE) NC III|WITH TR,REGION_VII,CONSTRUCTION,MOBILE CRANE OPERATOR,CRANE OPERATORS,HEAVY EQUIPMENT OPERATION (CRAWLER CRANE) NC III,WITH TR,,5,1,0,6,6,4,0,0,,1,2,0,3,3,1,0,0
REGION_VII|CONSTRUCTION|OFF-HIGHWAY DUMP TRUCK (RIGID) OPERATOR|DUMP TRUCK OPERATOR|HEAVY EQUIPMENT OPERATION (RIGID OFF-HIGHWAY DUMP TRUCK) NC II|WITH TR,REGION_VII,CONSTRUCTION,OFF-HIGHWAY DUMP TRUCK (RIGID) OPERATOR,DUMP TRUCK OPERATOR,HEAVY EQUIPMENT OPERATION (RIGID OFF-HIGHWAY DUMP TRUCK) NC II,WITH TR,,1,1,0,2,2,2,0,0,,1,0,0,1,1,2,0,0
REGION_VII|CONSTRUCTION|PIPEFITTER|FITTERS|PIPEFITTING (METALLIC) NC II|WITH TR,REGION_VII,CONSTRUCTION,PIPEFITTER,FITTERS,PIPEFITTING (METALLIC) NC II,WITH TR,,5,0,0,5,5,4,0,0,,0,2,0,2,2,2,0,0
REGION_VII|CONSTRUCTION|PROGRAMABLE LOGIC CONTROLLER|ELECTRICIAN|ELECTRICAL INSTALLATION AND MAINTENANCE NC IV|WITH TR,REGION_VII,CONSTRUCTION,PROGRAMABLE LOGIC CONTROLLER,ELECTRICIAN,ELECTRICAL INSTALLATION AND MAINTENANCE NC IV,WITH TR,,1,0,0,1,1,1,0,0,,0,0,0,0,0,0,0,0
REGION_VII|CONSTRUCTION|RAC TECHNICIAN|RAC/HVAC TECHNICIAN/INSTALLER|RAC SERVICING (DOMRAC) NC II|WITH TR,REGION_VII,CONSTRUCTION,RAC TECHNICIAN,RAC/HVAC TECHNICIAN/INSTALLER,RAC SERVICING (DOMRAC) NC II,WITH TR,,6,2,0,8,8,4,0,0,,2,2,0,4,4,3,0,0
REGION_VII|CONSTRUCTION|RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN|AIRCON INSTALLER (COMMERCIAL/ INDUSTRIAL)|RAC SERVICING (DOMRAC) NC II|WITH TR,REGION_VII,CONSTRUCTION,RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN,AIRCON INSTALLER (COMMERCIAL/ INDUSTRIAL),RAC SERVICING (DOMRAC) NC II,WITH TR,,0,0,0,0,0,4,0,0,,0,0,0,0,0,4,0,0
REGION_VII|CONSTRUCTION|RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN|ELECTRICIAN (COMMERCIAL AND INDUSTRIAL BUILDING)|ELECTRICAL INSTALLATION AND MAINTENANCE NC III|WITH TR,REGION_VII,CONSTRUCTION,RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN,ELECTRICIAN (COMMERCIAL AND INDUSTRIAL BUILDING),ELECTRICAL INSTALLATION AND MAINTENANCE NC III,WITH TR,,0,0,0,0,0,4,0,0,,2,0,0,2,2,4,0,0
REGION_VII|CONSTRUCTION|RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN|ELEVATOR INSTALLER|ELECTRICAL INSTALLATION AND MAINTENANCE NC III|WITH TR,REGION_VII,CONSTRUCTION,RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN,ELEVATOR INSTALLER,ELECTRICAL INSTALLATION AND MAINTENANCE NC III,WITH TR,,0,0,0,0,0,4,0,0,,2,0,0,2,2,4,0,0
REGION_VII|CONSTRUCTION|RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN|PIPEFITTER (FIRE PROTECTION SYSTEM)|PIPEFITTING (METALLIC) NC II|WITH TR,REGION_VII,CONSTRUCTION,RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN,PIPEFITTER (FIRE PROTECTION SYSTEM),PIPEFITTING (METALLIC) NC II,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|CONSTRUCTION|RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN|PIPEFITTER (PUMP EQUIPMENT)|PIPEFITTING (METALLIC) NC II|WITH TR,REGION_VII,CONSTRUCTION,RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN,PIPEFITTER (PUMP EQUIPMENT),PIPEFITTING (METALLIC) NC II,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|CONSTRUCTION|RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN|PIPEFITTER|PLUMBING NC III|WITH TR,REGION_VII,CONSTRUCTION,RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN,PIPEFITTER,PLUMBING NC III,WITH TR,,0,0,0,0,0,2,0,0,,1,0,0,1,1,2,0,0
REGION_VII|CONSTRUCTION|RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN|PLUMBER|PLUMBING NC II|WITH TR,REGION_VII,CONSTRUCTION,RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN,PLUMBER,PLUMBING NC II,WITH TR,,2,0,0,2,2,4,0,0,,1,0,0,1,1,2,0,0
REGION_VII|CONSTRUCTION|RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN|SEALANT APPLICATOR|CONSTRUCTION PAINTING NC II|WITH TR,REGION_VII,CONSTRUCTION,RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN,SEALANT APPLICATOR,CONSTRUCTION PAINTING NC II,WITH TR,,0,0,0,0,0,2,0,0,,0,0,0,0,0,2,0,0
REGION_VII|CONSTRUCTION|RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL DIRECT WORKERS|CONSTRUCTION ASSISTANT (HOUSEKEEPING)|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,CONSTRUCTION,RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL DIRECT WORKERS,CONSTRUCTION ASSISTANT (HOUSEKEEPING),NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|CONSTRUCTION|RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL DIRECT WORKERS|PAINTER|CONSTRUCTION PAINTING NC II|WITH TR,REGION_VII,CONSTRUCTION,RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL DIRECT WORKERS,PAINTER,CONSTRUCTION PAINTING NC II,WITH TR,,0,0,0,0,0,2,0,0,,0,0,0,0,0,2,0,0
REGION_VII|CONSTRUCTION|RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL|DRY WALL AND CEILING INSTALLER|CARPENTRY NC II|WITH TR,REGION_VII,CONSTRUCTION,RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL,DRY WALL AND CEILING INSTALLER,CARPENTRY NC II,WITH TR,,0,0,0,0,0,6,0,0,,3,0,0,3,3,6,0,0
REGION_VII|CONSTRUCTION|RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL|ROOF INSTALLER|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,CONSTRUCTION,RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL,ROOF INSTALLER,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|CONSTRUCTION|RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION|CARPENTRY (FINISHING & WOODWORKING)|CARPENTRY NC II|WITH TR,REGION_VII,CONSTRUCTION,RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION,CARPENTRY (FINISHING & WOODWORKING),CARPENTRY NC II,WITH TR,,0,0,0,0,0,6,0,0,,1,0,0,1,3,6,0,0
REGION_VII|CONSTRUCTION|RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION|MASONRY (FINISHING)|MASONRY NC I|WITH TR,REGION_VII,CONSTRUCTION,RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION,MASONRY (FINISHING),MASONRY NC I,WITH TR,,0,0,0,0,0,3,0,0,,0,0,0,0,0,3,0,0
"REGION_VII|CONSTRUCTION|RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION|SCAFFOLDER (INSPECTION, QUALITY ASSURANCE)|SCAFFOLDING WORKS NC II (SUPPORTED TYPE SCAFFOLD)|WITH TR",REGION_VII,CONSTRUCTION,RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION,"SCAFFOLDER (INSPECTION, QUALITY ASSURANCE)",SCAFFOLDING WORKS NC II (SUPPORTED TYPE SCAFFOLD),WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,2,0,0
REGION_VII|CONSTRUCTION|RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION|SCAFFOLDER|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,CONSTRUCTION,RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION,SCAFFOLDER,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,,0,1,0,1,1,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|CONSTRUCTION|RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION|WATERPROOFER (SLABS)|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,CONSTRUCTION,RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION,WATERPROOFER (SLABS),NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|CONSTRUCTION|ROUGH AND FINISHING CARPENTER|CARPENTERS|CARPENTRY NC II|WITH TR,REGION_VII,CONSTRUCTION,ROUGH AND FINISHING CARPENTER,CARPENTERS,CARPENTRY NC II,WITH TR,,6,2,0,8,8,1,0,0,,2,2,0,4,4,1,0,0
REGION_VII|CONSTRUCTION|ROUGH MASON|MASON|MASONRY NC I|WITH TR,REGION_VII,CONSTRUCTION,ROUGH MASON,MASON,MASONRY NC I,WITH TR,,4,2,0,6,6,1,0,0,,2,0,0,2,2,1,0,0
REGION_VII|CONSTRUCTION|SOLAR PANEL INSTALLATION|SOLAR TECHNICIAN|PV SYSTEMS INSTALLATION NC II|WITH TR,REGION_VII,CONSTRUCTION,SOLAR PANEL INSTALLATION,SOLAR TECHNICIAN,PV SYSTEMS INSTALLATION NC II,WITH TR,,6,2,0,8,8,4,0,0,,2,2,0,4,4,3,0,0
REGION_VII|CONSTRUCTION|STRUCTURAL STEEL ERECTOR|STEEL MAN|REINFORCING STEEL WORKS NC II|WITH TR,REGION_VII,CONSTRUCTION,STRUCTURAL STEEL ERECTOR,STEEL MAN,REINFORCING STEEL WORKS NC II,WITH TR,,6,1,0,7,7,1,0,0,,1,2,0,3,3,0,0,0
REGION_VII|CONSTRUCTION|SYSTEM FORMWORKS INSTALLER|SYSTEM FORMWORK INSTALLER|SYSTEM FORMWORKS INSTALLATION NC II|WITH TR,REGION_VII,CONSTRUCTION,SYSTEM FORMWORKS INSTALLER,SYSTEM FORMWORK INSTALLER,SYSTEM FORMWORKS INSTALLATION NC II,WITH TR,,5,0,0,5,5,1,0,0,,0,2,0,2,2,0,0,0
REGION_VII|CONSTRUCTION|TILE SETTER|TILE SETTER|TILE SETTING NC II|WITH TR,REGION_VII,CONSTRUCTION,TILE SETTER,TILE SETTER,TILE SETTING NC II,WITH TR,,6,1,0,7,7,1,0,0,,1,2,0,3,3,1,0,0
REGION_VII|CONSTRUCTION|TRANSIT MIXER OPERATOR|TRANSIT MIXER OPERATOR|HEAVY EQUIPMENT OPERATION (TRANSIT MIXER) NC II|WITH TR,REGION_VII,CONSTRUCTION,TRANSIT MIXER OPERATOR,TRANSIT MIXER OPERATOR,HEAVY EQUIPMENT OPERATION (TRANSIT MIXER) NC II,WITH TR,,1,1,0,2,2,1,0,0,,1,0,0,1,1,1,0,0
"REGION_VII|CONSTRUCTION|VERTICAL CONSTRUCTION
HORIZONTAL CONSTRUCTION
INDUSTRY/INDUSTRIAL CONSTRUCTION
RESIDENTIAL CONSTRUCTION|DRAFTSMAN|TECHNICAL DRAFTING NC II|WITH TR",REGION_VII,CONSTRUCTION,"VERTICAL CONSTRUCTION
HORIZONTAL CONSTRUCTION
INDUSTRY/INDUSTRIAL CONSTRUCTION
RESIDENTIAL CONSTRUCTION",DRAFTSMAN,TECHNICAL DRAFTING NC II,WITH TR,,1,0,0,1,1,2,0,0,,0,0,0,0,0,2,0,0
REGION_VII|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION INDUSTRIAL CONSTRUCTION|WELDER (GAS)|GAS WELDING NC I|WITH TR,REGION_VII,CONSTRUCTION,VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION INDUSTRIAL CONSTRUCTION,WELDER (GAS),GAS WELDING NC I,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION INDUSTRIAL CONSTRUCTION|WELDER (GAS)|GAS WELDING NC II|WITH TR,REGION_VII,CONSTRUCTION,VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION INDUSTRIAL CONSTRUCTION,WELDER (GAS),GAS WELDING NC II,WITH TR,,1,0,0,1,1,1,0,0,,1,0,0,1,1,1,0,0
"REGION_VII|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION
DIRECT WORKERS CORPORATE SUPPORT|HEO EXCAVATOR|HEAVY EQUIPMENT OPERATION (HYDRAULIC EXCAVATOR) NC II|WITH TR",REGION_VII,CONSTRUCTION,"VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION
DIRECT WORKERS CORPORATE SUPPORT",HEO EXCAVATOR,HEAVY EQUIPMENT OPERATION (HYDRAULIC EXCAVATOR) NC II,WITH TR,,1,0,0,1,1,4,0,0,,2,0,0,2,2,3,0,0
"REGION_VII|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION
DIRECTO WORKERS CORPORATE SUPPORT|HEO BACKHOE LOADER|HEAVY EQUIPMENT OPERATION (BACKHOE LOADER) NC II|WITH TR",REGION_VII,CONSTRUCTION,"VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION
DIRECTO WORKERS CORPORATE SUPPORT",HEO BACKHOE LOADER,HEAVY EQUIPMENT OPERATION (BACKHOE LOADER) NC II,WITH TR,,0,0,0,0,0,3,0,0,,0,0,0,0,0,2,0,0
REGION_VII|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION INDUSTRIAL CONSTRUCTION|CONSTRUCTION PAINTER (APPLICATION)|CONSTRUCTION PAINTING NC II|WITH TR,REGION_VII,CONSTRUCTION,VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION INDUSTRIAL CONSTRUCTION,CONSTRUCTION PAINTER (APPLICATION),CONSTRUCTION PAINTING NC II,WITH TR,,0,0,0,0,0,2,0,0,,0,0,0,0,0,2,0,0
"REGION_VII|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION INDUSTRIAL CONSTRUCTION|CONSTRUCTION PAINTER (REPAIR AND ARTISTIC APPLICATION, MIXING))|CONSTRUCTION PAINTING NC II|WITH TR",REGION_VII,CONSTRUCTION,VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION INDUSTRIAL CONSTRUCTION,"CONSTRUCTION PAINTER (REPAIR AND ARTISTIC APPLICATION, MIXING))",CONSTRUCTION PAINTING NC II,WITH TR,,0,0,0,0,0,1,0,0,,0,0,0,0,0,1,0,0
"REGION_VII|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION INDUSTRIAL CONSTRUCTION|CONSTRUCTION PAINTER (REPAIR AND ARTISTIC APPLICATION, MIXING))|TILE SETTING NC II|WITH TR",REGION_VII,CONSTRUCTION,VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION INDUSTRIAL CONSTRUCTION,"CONSTRUCTION PAINTER (REPAIR AND ARTISTIC APPLICATION, MIXING))",TILE SETTING NC II,WITH TR,,0,0,0,0,0,1,0,0,,0,0,0,0,0,1,0,0
REGION_VII|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION INDUSTRIAL CONSTRUCTION|DRY WALL AND CEILING INSTALLER|CARPENTRY NC III|WITH TR,REGION_VII,CONSTRUCTION,VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION INDUSTRIAL CONSTRUCTION,DRY WALL AND CEILING INSTALLER,CARPENTRY NC III,WITH TR,,0,0,0,0,0,4,0,0,,4,0,0,4,4,4,0,0
REGION_VII|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION INDUSTRIAL CONSTRUCTION|GLASS INSTALLER (GLAZING WORKS)|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,CONSTRUCTION,VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION INDUSTRIAL CONSTRUCTION,GLASS INSTALLER (GLAZING WORKS),NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION INDUSTRIAL CONSTRUCTION|LAMINATE INSTALLER|CARPENTRY NC II|WITH TR,REGION_VII,CONSTRUCTION,VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION INDUSTRIAL CONSTRUCTION,LAMINATE INSTALLER,CARPENTRY NC II,WITH TR,,0,0,0,0,0,8,0,0,,2,0,0,2,2,8,0,0
