Job Title,Job Sector,Job Subsector,Educational Pathway,HEI with PRC (Professional Regulation Commission) Exam,Some HEI,SOC,AIOE,Complementarity
Astronomical Data Technician,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,19-2012,1.269877597832301,0.616388888888889
Audio Post Specialist,Information and Communication,"Motion picture, video and television programme activities",Not Higher Education,No,No,27-4032 ,0.8385755305279295,0.5563888888888889
Audio Stagehand,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,27-4032 ,0.8385755305279295,0.5563888888888889
Auto-Electrical Diagnosis Technician,Manufacturing,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No,17-3029,-0.1241277124519403,0.5558333333333333
Automation Control Technician,Manufacturing,Manufacture of general purpose machinery,Higher Education,No,Yes,17-3029,-0.1241277124519403,0.5558333333333333
Automotive Body Painting Specialist,Manufacturing,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,Not Higher Education,No,No,51-9124,-1.2802860175894015,0.5483333333333332
Automotive Body Specialist,Manufacturing,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,Not Higher Education,No,No,49-3093,-1.6626591703110545,0.6050000000000001
Automotive Chassis Mechanic,Manufacturing,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No,49-3093,-1.6626591703110545,0.6050000000000001
Automotive Electrical Assembly Technician,Manufacturing,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No,17-3024,-0.3880986218292488,0.6072222222222222
Automotive Engine Specialist,Manufacturing,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No,17-2141 ,0.8915684104716345,0.6466666666666666
Automotive Maintenance Staff,Manufacturing,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No,49-3093,-1.6626591703110545,0.6050000000000001
Automotive Mechanic Specialized In EV Power,Manufacturing,Manufacture of batteries and accumulators,Not Higher Education,No,No,49-3023,-0.9743125465558188,0.6263888888888889
Automotive Mechanical Assembly Technician,Manufacturing,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No,51-2031,-1.063720162191619,0.5730555555555555
Automotive Painter (Transportation and Storage),Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,51-9124,-1.2802860175894015,0.5483333333333332
Automotive Painting Machine Operator,Manufacturing,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,Not Higher Education,No,No,51-9192 ,-1.2508291518999055,0.49722222222222223
Automotive Service Specialist (Chassis),Manufacturing,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No,49-3093,-1.6626591703110545,0.6050000000000001
Automotive Wiring Harness Assembler,Manufacturing,Manufacture of wiring and wiring devices,Not Higher Education,No,No,51-2031,-1.063720162191619,0.5730555555555555
Back End Game Developer,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,15-1133,1.388784111523391,0.6150427350427351
Backend Developer,Information and Communication,"Computer programming, consultancy and related activities",Not Higher Education,No,No,15-1134 ,1.388784111523391,0.6150427350427351
Backhoe Loader Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,47-5022,-1.2533360568016358,0.6227777777777778
Backstrap Warper,Manufacturing,"Spinning, weaving and finishing of textiles",Not Higher Education,No,No,51-6063,-1.2708785269881024,0.5066666666666667
Baggage Handlers,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,53-7121,-1.4985219575636737,0.6941666666666667
Bamboo Farmer,"Agriculture, Forestry, and Fishing",Growing of perennial crops,Not Higher Education,No,No,45-2091,-1.25411250441255,0.49638888888888894
Banking Associate,Financial and Insurance Activities,Monetary intermediation,Higher Education,No,Yes,13-2082,1.292814017959408,0.45416666666666666
Barangay Health Worker,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,31-1014 ,-0.5333720364723773,0.5927053140096619
Barangay Nutrition Action Officer,Human Health and Social Work Activities,Other human health activities,Higher Education,Yes,No,29-1031,1.3048388868965093,0.6622222222222222
Barber,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,39-5012,-0.7879999963529365,0.6258333333333334
Barista,Accommodation and Food Service Activities,Beverage serving activities,Not Higher Education,No,No,35-3011,-0.7211067382646418,0.4766666666666666
Bartender,Accommodation and Food Service Activities,Beverage serving activities,Not Higher Education,No,No,35-3011,-0.7211067382646418,0.4766666666666666
Basic Jewelry Fabricator,Manufacturing,"Manufacture of jewelry, bijouterie and related articles",Not Higher Education,No,No,51-2099,-0.9310742592864004,0.5342866161616162
Basket Weaver,Manufacturing,"Manufacture of products of wood, cork, straw and plaiting materials",Not Higher Education,No,No,51-7099,-0.9310742592864004,0.5342866161616162
Beach Lifeguards,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,43-5031,0.7863025474171983,0.543611111111111
Beach Recreation Associate,Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,No,Yes,39-7012,0.3764566491069931,0.6594444444444444
Beadwork Accessories Makers,Manufacturing,"Manufacture of jewelry, bijouterie and related articles",Not Higher Education,No,No,27-1012 ,-0.9646161941936396,0.4680555555555555
Beekeeper,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No,45-2021,-1.1525280355196172,0.5588888888888889
Bell Boy / Luggage Porter,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,43-5021,-1.0667742938745437,0.5847222222222223
Bench Technician (Electronics),Manufacturing,Manufacture of consumer electronics,Higher Education,No,Yes,17-3023,0.1471846227656904,0.6161111111111112
Bibliographer,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,25-9011,0.7243196041937822,0.695328282828283
