,Communication,Responsibility,Physical,Criticality,Routine,Skills
29-1222.00,0.7,0.5,0.165,0.8866666666666666,0.765,1.0
29-1223.00,0.62,0.53,0.34,0.8533333333333333,0.845,1.0
29-1224.00,0.54,0.68,0.325,0.8233333333333333,0.755,1.0
29-1229.01,0.62,0.75,0.455,0.8666666666666666,0.825,1.0
29-1229.02,0.75,0.735,0.46,0.9133333333333333,0.805,1.0
29-1229.03,0.645,0.95,0.405,0.8533333333333333,0.83,1.0
29-1229.04,0.625,0.755,0.455,0.89,0.895,1.0
29-1229.05,0.73,0.77,0.405,0.8033333333333332,0.79,1.0
29-1229.06,0.665,0.67,0.67,0.9766666666666666,0.915,1.0
29-1241.00,0.605,0.725,0.435,0.9933333333333333,0.91,1.0
29-1291.00,0.605,0.475,0.495,0.7466666666666666,0.94,1.0
29-1292.00,0.505,0.415,0.445,0.7266666666666666,0.8,0.6
29-1299.01,0.625,0.535,0.395,0.8166666666666665,0.855,1.0
29-1299.02,0.635,0.495,0.41,0.66,0.815,1.0
29-2011.00,0.51,0.63,0.33,0.8066666666666665,0.595,0.8
29-2011.01,0.565,0.55,0.32,0.8066666666666665,0.595,0.8
29-2011.02,0.53,0.455,0.255,0.7933333333333333,0.63,1.0
29-2011.04,0.505,0.61,0.33,0.7233333333333333,0.595,0.8
29-2012.00,0.545,0.515,0.33,0.6733333333333333,0.6,0.6
29-2012.01,0.515,0.625,0.32,0.69,0.535,0.6
29-2031.00,0.535,0.61,0.485,0.75,0.75,0.6
29-2032.00,0.46,0.49,0.48,0.75,0.72,0.6
29-2033.00,0.52,0.605,0.435,0.86,0.73,0.6
29-2034.00,0.56,0.665,0.47,0.7666666666666666,0.685,0.6
29-2035.00,0.59,0.76,0.4,0.7433333333333333,0.68,0.6
29-2036.00,0.555,0.54,0.2,0.79,0.695,0.8
29-2051.00,0.645,0.84,0.405,0.6633333333333333,0.68,0.6
29-2052.00,0.53,0.6,0.39,0.68,0.635,0.6
29-2053.00,0.655,0.58,0.645,0.5833333333333333,0.71,0.6
29-2055.00,0.51,0.795,0.495,0.8133333333333332,0.78,0.6
29-2056.00,0.475,0.645,0.57,0.7133333333333333,0.73,0.6
29-2057.00,0.535,0.595,0.45,0.71,0.61,0.6
29-2061.00,0.55,0.76,0.48,0.71,0.72,0.6
29-2081.00,0.625,0.555,0.45,0.6733333333333333,0.71,0.6
29-2091.00,0.655,0.72,0.495,0.7466666666666666,0.81,1.0
29-2092.00,0.555,0.55,0.38,0.7166666666666666,0.785,0.6
29-2099.01,0.605,0.515,0.435,0.77,0.715,0.6
29-2099.05,0.59,0.535,0.435,0.6933333333333332,0.63,0.6
29-2099.08,0.565,0.5,0.405,0.57,0.595,0.6
29-9091.00,0.785,0.75,0.785,0.8333333333333333,0.735,1.0
29-9092.00,0.7,0.35,0.235,0.6966666666666665,0.8,1.0
29-9093.00,0.55,0.745,0.485,0.7,0.765,0.6
29-9099.01,0.655,0.575,0.495,0.8233333333333333,0.86,1.0
31-1121.00,0.48,0.605,0.455,0.6566666666666666,0.73,0.4
31-1122.00,0.53,0.575,0.53,0.6666666666666665,0.61,0.4
31-1131.00,0.51,0.785,0.525,0.6,0.735,0.6
31-1132.00,0.595,0.705,0.615,0.78,0.64,0.4
31-1133.00,0.665,0.65,0.67,0.66,0.735,0.4
31-2011.00,0.615,0.8,0.515,0.7466666666666666,0.83,0.6
31-2012.00,0.585,0.73,0.57,0.65,0.77,0.6
31-2021.00,0.675,0.435,0.505,0.8066666666666665,0.88,0.6
31-2022.00,0.51,0.65,0.435,0.6233333333333333,0.73,0.4
31-9011.00,0.52,0.305,0.44,0.71,0.91,0.6
31-9091.00,0.705,0.725,0.47,0.6033333333333333,0.69,0.6
31-9092.00,0.545,0.59,0.415,0.6733333333333333,0.7,0.6
31-9093.00,0.53,0.78,0.385,0.7433333333333333,0.72,0.4
31-9094.00,0.54,0.69,0.295,0.5966666666666667,0.69,0.6
31-9095.00,0.45,0.575,0.46,0.6566666666666666,0.635,0.4
31-9096.00,0.575,0.545,0.63,0.7033333333333333,0.73,0.4
31-9097.00,0.66,0.78,0.415,0.79,0.675,0.6
31-9099.01,0.545,0.41,0.415,0.5366666666666666,0.78,0.6
31-9099.02,0.59,0.69,0.455,0.7233333333333333,0.61,0.4
33-1011.00,0.835,0.905,0.705,0.7533333333333333,0.755,0.6
33-1012.00,0.755,0.81,0.815,0.8133333333333332,0.765,0.4
33-1021.00,0.72,0.93,0.85,0.8533333333333333,0.835,0.6
33-1091.00,0.62,0.935,0.68,0.7966666666666665,0.675,0.4
33-2011.00,0.7,0.805,0.89,0.7733333333333333,0.765,0.6
33-2021.00,0.695,0.645,0.73,0.7566666666666666,0.835,0.6
33-2022.00,0.76,0.83,0.725,0.8066666666666665,0.735,0.6
33-3011.00,0.63,0.485,0.505,0.6266666666666666,0.71,0.6
33-3012.00,0.775,0.77,0.63,0.7766666666666666,0.73,0.4
33-3021.00,0.665,0.685,0.735,0.8733333333333333,0.775,0.6
33-3021.02,0.565,0.51,0.645,0.6833333333333332,0.79,0.6
33-3021.06,0.64,0.41,0.315,0.58,0.75,0.8
33-3031.00,0.7,0.68,0.865,0.8433333333333333,0.755,0.8
33-3041.00,0.46,0.395,0.685,0.6866666666666665,0.62,0.4
33-3051.00,0.655,0.72,0.82,0.82,0.755,0.6
33-3051.04,0.635,0.57,0.775,0.84,0.575,0.6
33-3052.00,0.62,0.77,0.86,0.7966666666666665,0.78,0.6
33-9011.00,0.705,0.56,0.84,0.8433333333333333,0.865,0.4
33-9021.00,0.52,0.44,0.47,0.7033333333333333,0.8,0.6
33-9031.00,0.56,0.6,0.47,0.79,0.725,0.4
33-9032.00,0.55,0.805,0.59,0.6933333333333332,0.77,0.4
33-9091.00,0.365,0.375,0.89,0.7966666666666665,0.79,0.4
33-9092.00,0.62,0.7,0.71,0.7533333333333333,0.71,0.4
33-9093.00,0.625,0.525,0.54,0.6366666666666666,0.5,0.4
33-9099.02,0.695,0.62,0.43,0.76,0.71,0.4
35-1011.00,0.76,0.745,0.52,0.6866666666666665,0.73,0.6
35-1012.00,0.68,0.695,0.445,0.58,0.62,0.4
35-2011.00,0.79,0.555,0.33,0.6233333333333333,0.5,0.2
35-2012.00,0.575,0.725,0.36,0.64,0.735,0.4
35-2013.00,0.44,0.5,0.28,0.5766666666666667,0.79,0.6
35-2014.00,0.35,0.695,0.505,0.6166666666666667,0.685,0.4
35-2015.00,0.51,0.555,0.49,0.5366666666666666,0.73,0.4
35-2021.00,0.49,0.515,0.375,0.5166666666666666,0.53,0.4
35-3011.00,0.485,0.365,0.42,0.51,0.68,0.4
35-3023.00,0.59,0.605,0.59,0.6266666666666666,0.725,0.2
35-3023.01,0.595,0.415,0.405,0.5033333333333333,0.6,0.2
35-3031.00,0.67,0.625,0.53,0.46,0.6,0.4
35-3041.00,0.64,0.705,0.475,0.6133333333333333,0.725,0.4
35-9011.00,0.65,0.525,0.47,0.44,0.685,0.2
35-9021.00,0.545,0.57,0.415,0.32,0.725,0.2
35-9031.00,0.605,0.48,0.46,0.6166666666666667,0.705,0.2
37-1011.00,0.725,0.855,0.435,0.6066666666666667,0.705,0.4
37-1012.00,0.59,0.865,0.81,0.7566666666666666,0.745,0.6
37-2011.00,0.495,0.605,0.46,0.5733333333333333,0.84,0.6
37-2012.00,0.49,0.47,0.29,0.38666666666666666,0.66,0.2
37-2021.00,0.535,0.375,0.695,0.7633333333333333,0.79,0.4
37-3011.00,0.41,0.56,0.88,0.43,0.585,0.2
37-3012.00,0.53,0.555,0.615,0.8033333333333332,0.76,0.4
37-3013.00,0.525,0.74,0.785,0.8066666666666665,0.865,0.4
39-1013.00,0.57,0.735,0.465,0.6933333333333332,0.635,0.4
39-1022.00,0.615,0.93,0.595,0.8133333333333332,0.85,0.6
39-2011.00,0.675,0.615,0.71,0.69,0.895,0.4
39-2021.00,0.645,0.525,0.71,0.68,0.835,0.4
39-3011.00,0.66,0.36,0.44,0.5133333333333333,0.64,0.4
39-3012.00,0.63,0.46,0.425,0.46,0.56,0.4
39-3021.00,0.48,0.385,0.27,0.6,0.525,0.4
39-3031.00,0.58,0.225,0.49,0.4733333333333333,0.56,0.4
39-3091.00,0.81,0.425,0.71,0.4833333333333333,0.665,0.2
39-3092.00,0.56,0.57,0.44,0.5766666666666667,0.83,0.4
39-3093.00,0.455,0.54,0.4,0.49,0.75,0.4
39-4011.00,0.795,0.685,0.745,0.8533333333333333,0.825,0.6
39-4021.00,0.59,0.265,0.56,0.5566666666666666,0.685,0.4
39-4031.00,0.715,0.695,0.655,0.7433333333333333,0.875,0.6
39-5011.00,0.57,0.48,0.475,0.5966666666666667,0.765,0.6
39-5012.00,0.585,0.56,0.46,0.66,0.89,0.6
39-5091.00,0.605,0.71,0.83,0.5666666666666667,0.86,0.6
39-5092.00,0.37,0.56,0.45,0.38666666666666666,0.8,0.4
39-5093.00,0.495,0.475,0.495,0.55,0.705,0.4
39-5094.00,0.59,0.49,0.46,0.71,0.815,0.6
39-6011.00,0.465,0.625,0.865,0.6866666666666665,0.74,0.4
39-6012.00,0.72,0.53,0.4,0.55,0.815,0.4
39-7011.00,0.87,0.37,0.615,0.5533333333333332,0.81,0.6
39-7012.00,0.66,0.76,0.575,0.7366666666666666,0.825,0.4
39-9011.00,0.58,0.68,0.6,0.5866666666666667,0.785,0.4
39-9011.01,0.47,0.49,0.775,0.7,0.885,0.4
39-9031.00,0.805,0.485,0.56,0.6566666666666666,0.855,0.6
39-9032.00,0.695,0.555,0.51,0.68,0.825,0.8
39-9041.00,0.66,0.75,0.545,0.6566666666666666,0.815,0.6
41-1011.00,0.615,0.69,0.46,0.6033333333333333,0.775,0.4
41-1012.00,0.795,0.75,0.49,0.6533333333333333,0.76,0.8
41-2011.00,0.675,0.44,0.445,0.5366666666666666,0.67,0.4
41-2012.00,0.575,0.405,0.395,0.5766666666666667,0.655,0.4
41-2021.00,0.585,0.495,0.57,0.5766666666666667,0.685,0.4
41-2022.00,0.52,0.685,0.66,0.6766666666666665,0.79,0.4
41-2031.00,0.61,0.445,0.545,0.58,0.74,0.4
41-3011.00,0.705,0.24,0.495,0.6566666666666666,0.87,0.8
41-3021.00,0.645,0.25,0.475,0.7233333333333333,0.67,0.8
41-3031.00,0.625,0.39,0.275,0.7466666666666666,0.73,0.8
41-3041.00,0.45,0.495,0.285,0.6833333333333332,0.565,0.6
41-4011.00,0.58,0.45,0.385,0.7066666666666666,0.82,0.8
41-4011.07,0.445,0.365,0.435,0.6333333333333333,0.805,0.6
41-4012.00,0.59,0.44,0.48,0.6766666666666665,0.77,0.8
41-9011.00,0.66,0.4,0.375,0.5833333333333333,0.775,0.4
41-9012.00,0.515,0.145,0.345,0.4933333333333333,0.67,0.4
41-9021.00,0.695,0.425,0.63,0.8033333333333332,0.765,0.8
41-9022.00,0.675,0.38,0.645,0.7766666666666666,0.81,0.6
41-9031.00,0.645,0.53,0.165,0.7266666666666666,0.85,0.8
41-9041.00,0.43,0.33,0.335,0.47,0.545,0.4
41-9091.00,0.735,0.235,0.415,0.5166666666666666,0.86,0.2
43-1011.00,0.62,0.62,0.26,0.66,0.76,0.6
43-2011.00,0.525,0.41,0.385,0.6033333333333333,0.655,0.4
43-2021.00,0.66,0.55,0.24,0.6033333333333333,0.63,0.4
43-3011.00,0.445,0.355,0.245,0.6366666666666666,0.56,0.4
43-3021.00,0.385,0.265,0.235,0.55,0.75,0.6
43-3031.00,0.555,0.375,0.27,0.5933333333333333,0.68,0.6
43-3041.00,0.48,0.505,0.42,0.69,0.58,0.4
43-3051.00,0.59,0.255,0.23,0.55,0.605,0.6
43-3061.00,0.44,0.385,0.29,0.66,0.795,0.4
43-3071.00,0.665,0.595,0.41,0.6833333333333332,0.665,0.4
43-4011.00,0.5,0.26,0.34,0.66,0.605,0.6
43-4021.00,0.53,0.47,0.25,0.6266666666666666,0.695,0.4
43-4031.00,0.64,0.41,0.31,0.5966666666666667,0.705,0.4
43-4041.00,0.545,0.54,0.33,0.7566666666666666,0.695,0.4
43-4051.00,0.405,0.41,0.315,0.5066666666666666,0.635,0.4
43-4061.00,0.475,0.435,0.25,0.64,0.71,0.6
43-4071.00,0.56,0.385,0.27,0.5466666666666666,0.715,0.4
43-4081.00,0.66,0.63,0.375,0.6533333333333333,0.67,0.4
43-4111.00,0.62,0.635,0.43,0.6033333333333333,0.64,0.6
43-4121.00,0.705,0.415,0.42,0.5333333333333333,0.715,0.4
43-4131.00,0.6,0.48,0.23,0.71,0.69,0.6
43-4141.00,0.56,0.385,0.42,0.6133333333333333,0.555,0.6
43-4151.00,0.49,0.5,0.39,0.4933333333333333,0.74,0.4
43-4161.00,0.535,0.505,0.275,0.5566666666666666,0.71,0.6
43-4171.00,0.555,0.26,0.295,0.6233333333333333,0.695,0.4
43-4181.00,0.76,0.375,0.65,0.7566666666666666,0.385,0.4
43-5011.00,0.62,0.555,0.405,0.6833333333333332,0.815,0.4
43-5011.01,0.52,0.46,0.305,0.6266666666666666,0.67,0.4
43-5021.00,0.545,0.62,0.555,0.6633333333333333,0.725,0.4
43-5031.00,0.42,0.675,0.23,0.8266666666666665,0.71,0.4
43-5032.00,0.585,0.865,0.45,0.7233333333333333,0.73,0.4
43-5041.00,0.375,0.635,0.685,0.64,0.615,0.4
43-5051.00,0.455,0.495,0.51,0.49,0.545,0.4
43-5052.00,0.47,0.305,0.775,0.6033333333333333,0.53,0.4
43-5053.00,0.44,0.46,0.36,0.4933333333333333,0.425,0.4
43-5061.00,0.64,0.555,0.335,0.7533333333333333,0.81,0.4
43-5071.00,0.565,0.765,0.375,0.5933333333333333,0.7,0.4
43-5111.00,0.635,0.575,0.37,0.5533333333333332,0.645,0.4
43-6011.00,0.505,0.305,0.215,0.5533333333333332,0.825,0.6
43-6012.00,0.425,0.295,0.19,0.5366666666666666,0.735,0.6
43-6013.00,0.63,0.47,0.295,0.5333333333333333,0.74,0.4
43-6014.00,0.53,0.42,0.26,0.5333333333333333,0.81,0.4
43-9021.00,0.49,0.42,0.285,0.6566666666666666,0.675,0.4
43-9022.00,0.495,0.375,0.245,0.4533333333333333,0.745,0.4
43-9031.00,0.525,0.3,0.315,0.53,0.725,0.6
43-9041.00,0.405,0.32,0.24,0.5733333333333333,0.62,0.4
43-9051.00,0.565,0.615,0.385,0.77,0.68,0.4
43-9061.00,0.56,0.4,0.34,0.4833333333333333,0.7,0.4
43-9071.00,0.39,0.385,0.37,0.45,0.605,0.4
43-9081.00,0.445,0.205,0.29,0.5666666666666667,0.605,0.8
43-9111.00,0.615,0.35,0.255,0.5466666666666666,0.665,0.8
45-1011.00,0.6,0.78,0.67,0.7566666666666666,0.74,0.6
45-2011.00,0.505,0.605,0.705,0.6833333333333332,0.7,0.4
45-2021.00,0.31,0.41,0.57,0.7333333333333333,0.93,0.4
45-2041.00,0.505,0.45,0.5,0.4333333333333333,0.54,0.2
45-2091.00,0.45,0.515,0.61,0.4733333333333333,0.73,0.2
45-2092.00,0.525,0.485,0.685,0.42,0.68,0.2
45-2093.00,0.42,0.585,0.71,0.6333333333333333,0.76,0.4
45-3031.00,0.585,0.57,0.81,0.6666666666666665,0.795,0.2
45-4011.00,0.65,0.67,0.72,0.7233333333333333,0.855,0.4
45-4021.00,0.385,0.53,0.53,0.7966666666666665,0.89,0.2
45-4022.00,0.48,0.79,0.475,0.8066666666666665,0.71,0.2
45-4023.00,0.525,0.515,0.735,0.75,0.715,0.4
47-1011.00,0.715,0.91,0.79,0.81,0.88,0.6
47-1011.03,0.59,0.805,0.805,0.8266666666666665,0.8,0.6
47-2011.00,0.63,0.62,0.605,0.7766666666666666,0.785,0.4
47-2021.00,0.535,0.68,0.91,0.64,0.8,0.4
47-2022.00,0.65,0.83,0.86,0.79,0.825,0.4
47-2031.00,0.625,0.845,0.73,0.7233333333333333,0.73,0.4
47-2041.00,0.51,0.64,0.43,0.7366666666666666,0.875,0.4
47-2042.00,0.505,0.61,0.445,0.6066666666666667,0.83,0.4
47-2043.00,0.51,0.695,0.35,0.6966666666666665,0.815,0.2
47-2044.00,0.465,0.54,0.52,0.5933333333333333,0.825,0.4
47-2051.00,0.505,0.79,0.905,0.6266666666666666,0.64,0.2
47-2053.00,0.48,0.69,0.455,0.54,0.725,0.4
47-2061.00,0.525,0.6,0.78,0.67,0.735,0.4
47-2071.00,0.54,0.665,0.785,0.6133333333333333,0.655,0.4
47-2072.00,0.65,0.835,0.865,0.78,0.74,0.4
47-2073.00,0.595,0.835,0.85,0.8933333333333333,0.855,0.4
47-2081.00,0.57,0.575,0.57,0.6233333333333333,0.745,0.4
47-2082.00,0.48,0.625,0.39,0.58,0.74,0.4
47-2111.00,0.605,0.865,0.64,0.7633333333333333,0.88,0.6
47-2121.00,0.53,0.735,0.835,0.74,0.77,0.4
47-2131.00,0.445,0.635,0.65,0.6066666666666667,0.725,0.4
47-2132.00,0.48,0.7,0.625,0.6033333333333333,0.825,0.4
47-2141.00,0.54,0.72,0.585,0.59,0.865,0.4
47-2142.00,0.4,0.565,0.44,0.64,0.805,0.4
47-2151.00,0.63,0.755,0.88,0.6933333333333332,0.775,0.2
47-2152.00,0.49,0.735,0.72,0.7366666666666666,0.84,0.6
47-2152.04,0.525,0.74,0.695,0.78,0.82,0.6
47-2161.00,0.48,0.63,0.725,0.5966666666666667,0.605,0.2
47-2171.00,0.575,0.845,0.805,0.55,0.7,0.4
47-2181.00,0.535,0.745,0.885,0.65,0.735,0.4
47-2211.00,0.475,0.725,0.495,0.6233333333333333,0.635,0.4
47-2221.00,0.575,0.795,0.91,0.6733333333333333,0.77,0.4
47-2231.00,0.775,0.815,0.875,0.7833333333333333,0.825,0.4
47-3011.00,0.595,0.755,0.745,0.55,0.72,0.4
47-3012.00,0.555,0.735,0.78,0.6933333333333332,0.76,0.4
47-3013.00,0.61,0.51,0.745,0.61,0.725,0.4
47-3014.00,0.595,0.625,0.675,0.5733333333333333,0.735,0.2
47-3015.00,0.415,0.5,0.77,0.6033333333333333,0.66,0.4
47-3016.00,0.585,0.685,0.75,0.5466666666666666,0.495,0.4
47-4011.00,0.615,0.445,0.76,0.7566666666666666,0.75,0.6
47-4011.01,0.565,0.59,0.55,0.68,0.76,0.6
47-4021.00,0.505,0.855,0.61,0.8566666666666666,0.785,0.6
47-4031.00,0.58,0.915,0.84,0.6766666666666665,0.765,0.4
47-4041.00,0.63,0.76,0.66,0.5766666666666667,0.63,0.6
47-4051.00,0.59,0.735,0.835,0.7433333333333333,0.635,0.4
47-4061.00,0.65,0.8,0.92,0.7,0.74,0.4
47-4071.00,0.575,0.685,0.88,0.6733333333333333,0.775,0.2
47-4091.00,0.645,0.685,0.735,0.6666666666666665,0.64,0.4
47-4099.03,0.57,0.77,0.775,0.5766666666666667,0.74,0.4
47-5011.00,0.51,0.855,0.935,0.64,0.78,0.2
47-5012.00,0.69,0.93,0.895,0.85,0.765,0.4
47-5013.00,0.61,0.855,0.895,0.8566666666666666,0.73,0.4
47-5022.00,0.57,0.655,0.59,0.7466666666666666,0.775,0.4
47-5023.00,0.49,0.635,0.63,0.77,0.775,0.4
47-5032.00,0.6,0.875,0.82,0.7666666666666666,0.675,0.4
47-5041.00,0.565,0.735,0.41,0.8366666666666666,0.775,0.4
47-5043.00,0.57,0.835,0.545,0.61,0.65,0.4
47-5044.00,0.575,0.695,0.415,0.6033333333333333,0.68,0.4
47-5051.00,0.365,0.465,0.685,0.51,0.62,0.2
47-5071.00,0.565,0.755,0.87,0.76,0.705,0.2
47-5081.00,0.665,0.74,0.86,0.7566666666666666,0.815,0.4
49-1011.00,0.61,0.83,0.58,0.66,0.88,0.6
49-2011.00,0.505,0.425,0.47,0.68,0.745,0.6
49-2021.00,0.53,0.61,0.675,0.67,0.775,0.6
49-2022.00,0.5,0.485,0.73,0.7333333333333333,0.76,0.6
49-2091.00,0.505,0.575,0.54,0.6833333333333332,0.76,0.6
49-2092.00,0.53,0.595,0.505,0.75,0.8,0.6
49-2093.00,0.55,0.715,0.645,0.6466666666666666,0.76,0.6
49-2094.00,0.615,0.53,0.475,0.6866666666666665,0.745,0.6
49-2095.00,0.605,0.775,0.855,0.77,0.665,0.6
49-2096.00,0.55,0.5,0.45,0.7166666666666666,0.79,0.6
49-2097.00,0.565,0.595,0.69,0.5166666666666666,0.745,0.6
49-2098.00,0.625,0.715,0.62,0.82,0.87,0.6
49-3011.00,0.545,0.715,0.755,0.7033333333333333,0.855,0.6
49-3021.00,0.495,0.59,0.36,0.71,0.79,0.4
49-3022.00,0.495,0.45,0.72,0.59,0.75,0.4
49-3023.00,0.535,0.485,0.51,0.7933333333333333,0.835,0.6
49-3031.00,0.58,0.8,0.67,0.73,0.84,0.6
49-3041.00,0.49,0.6,0.62,0.7466666666666666,0.795,0.6
49-3042.00,0.56,0.635,0.675,0.7766666666666666,0.785,0.6
49-3043.00,0.555,0.555,0.735,0.6466666666666666,0.785,0.4
49-3051.00,0.495,0.61,0.78,0.79,0.785,0.6
49-3052.00,0.53,0.63,0.555,0.89,0.9,0.6
49-3053.00,0.365,0.385,0.59,0.68,0.795,0.4
49-3091.00,0.54,0.44,0.41,0.8666666666666666,0.92,0.4
49-3092.00,0.56,0.3,0.615,0.65,0.74,0.4
49-3093.00,0.55,0.685,0.565,0.73,0.7,0.4
49-9011.00,0.565,0.5,0.76,0.7033333333333333,0.79,0.4
49-9012.00,0.58,0.715,0.78,0.7333333333333333,0.69,0.6
49-9021.00,0.53,0.725,0.695,0.7766666666666666,0.79,0.6
49-9031.00,0.55,0.45,0.645,0.7166666666666666,0.79,0.4
49-9041.00,0.48,0.555,0.545,0.5133333333333333,0.665,0.6
49-9043.00,0.51,0.695,0.525,0.7566666666666666,0.705,0.6
49-9044.00,0.67,0.825,0.84,0.78,0.72,0.4
49-9045.00,0.37,0.7,0.65,0.58,0.645,0.4
49-9051.00,0.57,0.91,0.895,0.8433333333333333,0.81,0.4
49-9052.00,0.58,0.555,0.8,0.7433333333333333,0.8,0.4
49-9061.00,0.44,0.185,0.21,0.6666666666666665,0.9,0.6
49-9062.00,0.585,0.515,0.505,0.7366666666666666,0.81,0.6
49-9063.00,0.505,0.29,0.195,0.67,0.905,0.6
49-9064.00,0.44,0.13,0.33,0.62,0.955,0.6
49-9071.00,0.585,0.84,0.715,0.7066666666666666,0.735,0.6
49-9081.00,0.69,0.835,0.905,0.86,0.695,0.6
49-9091.00,0.38,0.275,0.58,0.6433333333333333,0.765,0.4
49-9092.00,0.57,0.825,0.825,0.75,0.81,0.6
49-9094.00,0.57,0.57,0.75,0.6633333333333333,0.755,0.4
49-9095.00,0.35,0.72,0.795,0.7433333333333333,0.9,0.4
49-9096.00,0.73,0.825,0.815,0.7433333333333333,0.715,0.4
49-9097.00,0.565,0.765,0.66,0.7333333333333333,0.81,0.6
49-9098.00,0.545,0.685,0.69,0.7033333333333333,0.7,0.4
49-9099.01,0.715,0.73,0.67,0.7833333333333333,0.6,0.4
51-1011.00,0.77,0.85,0.53,0.7433333333333333,0.735,0.6
51-2011.00,0.59,0.58,0.355,0.61,0.71,0.4
51-2021.00,0.53,0.545,0.35,0.6866666666666665,0.76,0.4
51-2022.00,0.43,0.665,0.41,0.5933333333333333,0.74,0.4
51-2023.00,0.555,0.66,0.31,0.47,0.65,0.4
51-2031.00,0.57,0.605,0.485,0.6633333333333333,0.715,0.4
51-2041.00,0.675,0.595,0.45,0.5733333333333333,0.705,0.4
51-2051.00,0.57,0.71,0.52,0.44,0.6,0.4
51-2061.00,0.485,0.225,0.26,0.58,0.77,0.4
51-2092.00,0.62,0.615,0.355,0.5766666666666667,0.685,0.4
51-3011.00,0.5,0.605,0.295,0.6333333333333333,0.715,0.4
51-3021.00,0.49,0.715,0.42,0.7066666666666666,0.635,0.4
51-3022.00,0.41,0.58,0.585,0.6533333333333333,0.5,0.2
51-3023.00,0.53,0.665,0.45,0.5433333333333333,0.69,0.4
51-3091.00,0.555,0.54,0.205,0.65,0.49,0.4
51-3092.00,0.61,0.755,0.365,0.56,0.5,0.4
51-3093.00,0.485,0.625,0.575,0.7333333333333333,0.735,0.4
51-4021.00,0.49,0.46,0.31,0.79,0.535,0.4
51-4022.00,0.685,0.74,0.44,0.67,0.57,0.4
51-4023.00,0.55,0.72,0.34,0.6533333333333333,0.635,0.4
51-4031.00,0.4,0.295,0.36,0.5033333333333333,0.565,0.4
51-4032.00,0.555,0.62,0.29,0.7066666666666666,0.67,0.4
51-4033.00,0.475,0.575,0.34,0.6166666666666667,0.645,0.4
51-4034.00,0.52,0.53,0.235,0.35666666666666663,0.595,0.4
51-4035.00,0.46,0.555,0.32,0.49,0.64,0.4
51-4041.00,0.485,0.625,0.33,0.66,0.605,0.6
51-4051.00,0.51,0.705,0.32,0.6666666666666665,0.575,0.4
51-4052.00,0.46,0.435,0.285,0.49666666666666665,0.57,0.4
51-4061.00,0.48,0.36,0.235,0.5433333333333333,0.645,0.6
51-4062.00,0.575,0.635,0.44,0.6166666666666667,0.715,0.6
51-4071.00,0.495,0.67,0.49,0.6433333333333333,0.715,0.4
51-4072.00,0.57,0.61,0.395,0.59,0.675,0.4
51-4081.00,0.585,0.57,0.275,0.5766666666666667,0.545,0.4
51-4111.00,0.55,0.55,0.25,0.8033333333333332,0.83,0.6
51-4121.00,0.48,0.555,0.355,0.5766666666666667,0.705,0.4
51-4122.00,0.53,0.72,0.285,0.6766666666666665,0.6,0.4
51-4191.00,0.445,0.72,0.37,0.55,0.71,0.4
51-4192.00,0.555,0.58,0.435,0.5733333333333333,0.665,0.4
51-4193.00,0.49,0.715,0.355,0.64,0.62,0.4
51-4194.00,0.505,0.665,0.35,0.5966666666666667,0.7,0.4
51-5111.00,0.485,0.355,0.305,0.5666666666666667,0.595,0.6
51-5112.00,0.52,0.64,0.265,0.7066666666666666,0.68,0.4
51-5113.00,0.48,0.62,0.29,0.5933333333333333,0.595,0.4
51-6011.00,0.455,0.755,0.34,0.39,0.49,0.2
51-6021.00,0.5,0.53,0.25,0.29,0.675,0.2
51-6031.00,0.415,0.39,0.31,0.38,0.675,0.2
51-6041.00,0.47,0.385,0.245,0.63,0.785,0.4
51-6042.00,0.465,0.54,0.29,0.49,0.795,0.4
51-6051.00,0.545,0.46,0.235,0.4233333333333333,0.76,0.2
51-6052.00,0.425,0.585,0.345,0.6866666666666665,0.725,0.4
51-6061.00,0.55,0.65,0.31,0.6333333333333333,0.57,0.4
51-6062.00,0.47,0.365,0.325,0.5033333333333333,0.475,0.4
51-6063.00,0.515,0.625,0.29,0.5,0.71,0.4
51-6064.00,0.43,0.48,0.345,0.44,0.54,0.4
51-6091.00,0.66,0.695,0.365,0.72,0.56,0.4
51-6092.00,0.54,0.475,0.25,0.73,0.75,0.6
51-6093.00,0.415,0.5,0.335,0.4766666666666666,0.805,0.4
51-7011.00,0.51,0.485,0.385,0.5633333333333332,0.68,0.4
51-7021.00,0.455,0.635,0.31,0.56,0.71,0.4
51-7031.00,0.47,0.63,0.31,0.55,0.735,0.6
51-7032.00,0.55,0.61,0.505,0.6866666666666665,0.745,0.6
51-7041.00,0.465,0.645,0.415,0.59,0.69,0.4
51-7042.00,0.55,0.59,0.345,0.5966666666666667,0.7,0.4
51-8011.00,0.75,0.815,0.51,0.7433333333333333,0.5,0.6
51-8012.00,0.545,0.835,0.575,0.8766666666666666,0.68,0.6
51-8013.00,0.545,0.69,0.74,0.7766666666666666,0.6,0.4
51-8013.03,0.5,0.875,0.59,0.87,0.605,0.4
51-8013.04,0.55,0.72,0.665,0.65,0.72,0.6
51-8021.00,0.6,0.84,0.71,0.77,0.685,0.6
51-8031.00,0.61,0.695,0.795,0.7233333333333333,0.62,0.4
51-8091.00,0.545,0.76,0.765,0.8333333333333333,0.49,0.4
