,SOC,AIOE
63960,45-1011,-0.6425458796601503
64064,45-2011,0.15559590546894125
64168,45-2021,-1.0528327163871603
64272,45-2041,-1.3777426437537337
64376,45-2091,-1.153152853548008
64480,45-2092,-2.0896117392961986
64584,45-2093,-1.1166346396376288
64688,45-3031,-1.3653770485609695
64792,45-4011,-1.2161981595711795
64896,45-4021,-1.8000660278890683
65000,45-4022,-1.012423592144586
65104,45-4023,-0.4882658936326858
65312,47-1011,-0.3811962436263568
65416,47-2011,-1.0114670371581074
65520,47-2021,-1.7592080484342167
65624,47-2022,-1.705464024138332
65728,47-2031,-1.1755193089724034
65832,47-2041,-1.5704143591804314
65936,47-2042,-1.3082386742957794
66040,47-2043,-1.8674330202471143
66144,47-2044,-1.3040254291646445
66248,47-2051,-1.7821344083309256
66352,47-2053,-1.7808080725847937
66456,47-2061,-1.6879690541929564
66560,47-2071,-1.3046125679514091
66664,47-2072,-1.2276466341484262
66768,47-2073,-0.9405595510977064
66872,47-2081,-1.6534184606893476
66976,47-2082,-1.5467827729810604
67080,47-2111,-0.8314179501455345
67184,47-2121,-1.3250442103225066
67288,47-2131,-1.6243586876009646
67392,47-2132,-1.3913864731220469
67496,47-2141,-1.5603833283156905
67600,47-2142,-1.7325686291212419
67704,47-2151,-1.2536181077711253
67808,47-2152,-1.141366867160558
68016,47-2161,-1.7604771322662596
68120,47-2171,-1.9747284078649954
68224,47-2181,-1.7578746078399803
68328,47-2211,-1.1346846498903058
68432,47-2221,-1.784806354432513
68536,47-2231,-0.9863345860553325
68640,47-3011,-1.9461969873471798
68744,47-3012,-1.43187160085091
68848,47-3013,-1.4159641429809768
68952,47-3014,-2.04827586135249
69056,47-3015,-1.6841490078881813
69160,47-3016,-1.902388648811093
69264,47-4011,0.3600520511318562
69472,47-4021,-0.9344611888524633
69576,47-4031,-1.9061916089373827
69680,47-4041,-0.6991595147918884
69784,47-4051,-1.2864071634340257
69888,47-4061,-1.4057761657025905
69992,47-4071,-1.2182870337341567
70096,47-4091,-0.9916104341060964
70200,47-4099,-0.9665720053274282
70304,47-5011,-1.4216389253799626
70408,47-5012,-0.7836799403148164
70512,47-5013,-0.9808594271820246
70616,47-5022,-1.15238606969144
70720,47-5023,-0.712145684938524
70824,47-5032,-0.7830082666846152
70928,47-5041,-1.1734106802461497
71032,47-5043,-1.6241305421289554
71136,47-5044,-1.1172817235594896
71240,47-5051,-1.7683257812035282
71344,47-5071,-1.4961860911474478
71448,47-5081,-1.5491382585438631
71552,49-1011,-0.08733623692174156
71656,49-2011,-0.35797923364515316
71760,49-2021,-0.8434436236055579
71864,49-2022,-0.8626354373228046
71968,49-2091,-0.18593559487789366
72072,49-2092,-0.8203928381301422
72176,49-2093,-0.8400396819555548
72280,49-2094,-0.38792609344903217
72384,49-2095,-0.5633600706153081
72488,49-2096,-0.8014663306886012
72592,49-2097,-0.570448329754857
72696,49-2098,-0.703039149013213
72800,49-3011,-0.6954195207175982
72904,49-3021,-1.1884165582996014
73008,49-3022,-1.2100298640540599
73112,49-3023,-0.876835317455249
73216,49-3031,-1.103979041488095
73320,49-3041,-1.0712043431404084
73424,49-3042,-1.1777223439678692
73528,49-3043,-1.4545499072892836
73632,49-3051,-0.8957112889493976
73736,49-3052,-0.938737785903455
73840,49-3053,-0.903422213090469
73944,49-3091,-0.9317349798312307
74048,49-3092,-0.8541235255558999
74152,49-3093,-1.5566147016651897
74256,49-9011,-1.3899727367239236
74360,49-9012,-0.7707720098518671
74464,49-9021,-0.9106473891239083
74568,49-9031,-0.9792581123828518
74672,49-9041,-1.0991056057117898
74776,49-9043,-1.0044059334311457
74880,49-9044,-1.3228990429819734
74984,49-9045,-1.2450507401785935
75088,49-9051,-1.2416423994528298
75192,49-9052,-1.0922437980466209
75296,49-9061,0.040486917015810066
75400,49-9062,-0.47404837005217004
75504,49-9063,-0.5884963972332451
75608,49-9064,-0.22515040405960135
75712,49-9071,-1.0016298223561517
75816,49-9081,-1.049182638556866
75920,49-9091,-0.7335789913285329
76024,49-9092,-1.1109963640911145
76128,49-9094,-0.9142168874265549
76232,49-9095,-1.4207205918239139
76336,49-9096,-1.2235422092033756
76440,49-9097,-0.8516980640166639
76544,49-9098,-1.4732441630247795
76648,49-9099,-0.6451455564849496
76752,51-1011,-0.13517975032447038
76856,51-2011,-0.8779237702342924
76960,51-2021,-0.8386030376195719
77064,51-2022,-0.6355424041397131
77168,51-2023,-0.5090517055201697
77272,51-2031,-0.9651301558449767
77376,51-2041,-1.1411657620028337
77480,51-2051,-1.2319512174229705
77584,51-2061,-0.2678651175784761
77688,51-2092,-0.8588815376322633
77792,51-3011,-0.39723816137149776
77896,51-3021,-0.9799005024243324
78000,51-3022,-1.1138576444668822
78104,51-3023,-1.8390553612441307
78208,51-3091,-0.7688751902862945
78312,51-3092,-0.4770547331478584
78416,51-3093,-0.6948554268615305
78520,51-4021,-1.241877460296733
78624,51-4022,-0.8144078723454338
78728,51-4023,-1.0974891171001677
78832,51-4031,-0.9883346904765644
78936,51-4032,-0.7548536312613017
79040,51-4033,-0.9989411912192224
79144,51-4034,-1.0244918352472716
79248,51-4035,-0.9513008792025325
79352,51-4041,-0.8747701625478531
79456,51-4051,-1.1753630217698472
79560,51-4052,-1.0490935968155108
79664,51-4061,-0.8699036352381078
79768,51-4062,-0.6238949326239639
79872,51-4071,-1.6721052004992734
79976,51-4072,-1.1541431770984385
80080,51-4081,-0.7851642815773624
80184,51-4111,-0.6398278709424342
80288,51-4121,-1.0588865782423502
80392,51-4122,-0.9644465077543026
80496,51-4191,-1.1007379717077297
80600,51-4192,-0.7322789568903688
80704,51-4193,-0.9092436321884848
80808,51-4194,-0.890200827088082
80912,51-5111,0.3947469629417475
81016,51-5112,-0.7848217233408605
81120,51-5113,-0.915437674583138
81224,51-6011,-1.062885932057287
81328,51-6021,-1.9538978538116567
81432,51-6031,-0.9728894726614128
81536,51-6041,-0.8841484845166345
81640,51-6042,-0.9536152186141675
81744,51-6051,-0.7125207574258047
81848,51-6052,-0.5547315587881533
81952,51-6061,-0.955950271949062
82056,51-6062,-1.0315794291959879
82160,51-6063,-1.169710204319749
82264,51-6064,-1.3996319499551437
82368,51-6091,-0.8691719261660394
82472,51-6092,-0.09659584339665037
82576,51-6093,-1.3208358980654848
82680,51-7011,-1.334517265896931
82784,51-7021,-1.2054693634913003
82888,51-7031,-0.7728927199991935
82992,51-7032,-1.000294121336732
83096,51-7041,-1.1728765635720109
83200,51-7042,-1.1384208402675908
83304,51-8011,0.7525678391547262
83408,51-8012,0.8777272550173776
83512,51-8013,-0.6745700212605167
83824,51-8021,-0.5557861958546945
83928,51-8031,-0.5354943497652578
84032,51-8091,-0.3951131271969292
84136,51-8092,-0.34453838074864174
84240,51-8093,-0.4219976782346063
84344,51-8099,-0.7410260984531618
84448,51-9011,-0.522807411509212
84552,51-9012,-0.9470025414637413
84656,51-9021,-1.1128843666190655
84760,51-9022,-1.0588021445746334
84864,51-9023,-0.8557243254024756
84968,51-9031,-0.9570047705546841
85072,51-9032,-1.0875661116350688
85176,51-9041,-1.0506755002968509
85280,51-9051,-0.9672130104349166
85384,51-9061,-0.3543641233050396
85488,51-9071,-0.2497824468753845
85696,51-9081,-0.1774617024425709
85800,51-9082,-0.5063030629867125
85904,51-9083,-0.6074750429114406
86008,51-9111,-0.9874640384182614
86112,51-9123,-0.9794989258318477
86216,51-9124,-1.179000608234312
86320,51-9141,-0.6478686079022165
86424,51-9151,-0.3736550360471343
86528,51-9161,-0.6656689492869381
86632,51-9162,-0.06557651037816317
86736,51-9191,-1.3185293182389948
86840,51-9192,-1.1499103660102423
86944,51-9193,-0.9694564085988251
87048,51-9194,-0.6501212176431842
87152,51-9195,-1.1230266200713226
87568,51-9196,-0.883448634209523
87672,51-9197,-1.7041882984785872
87776,51-9198,-1.4178872209447615
87880,53-1041,-0.7194537697383592
87984,53-1042,-0.30885911449169157
88192,53-1043,0.11777038854122933
88296,53-2011,-0.19682540917760993
88400,53-2012,-0.20579250907632357
88504,53-2021,1.1328593104970563
88608,53-2022,0.34679069252743466
88712,53-2031,-0.6238539841996984
88816,53-3011,-0.8395236274276211
88920,53-3031,-0.827941204952729
89024,53-3032,-1.100644052209415
89128,53-3033,-1.1222338993601717
89232,53-3051,-0.5361581167702411
89336,53-3052,-0.6162764699024101
89440,53-3053,-0.5689450320871856
89544,53-4011,-0.5090981579143808
89648,53-4013,-0.9304766223871239
89752,53-4022,-1.0520998531946397
89856,53-4031,-0.4778496364127149
89960,53-4041,-0.6509567551407789
90064,53-5011,-1.1580337831769925
90168,53-5021,-0.7138985758488017
90272,53-5022,-0.8102712472248825
90376,53-5031,-0.5348275306846189
90480,53-6011,-0.6107137011994049
90584,53-6021,-0.8449649307349394
90688,53-6031,-1.2290951415484341
90792,53-6041,0.3835605034568007
90896,53-6051,0.19508127569846906
91208,53-6061,-0.3872555286506614
91312,53-7011,-0.7654642333588086
91416,53-7021,-1.0392371307919834
91520,53-7031,-1.0253166576373443
91624,53-7041,-0.9871245285050874
91728,53-7051,-1.298820999584999
91832,53-7061,-1.6968081414087133
91936,53-7062,-1.7244522991040476
92144,53-7063,-1.0459581106723304
92248,53-7064,-1.559850186283474
92352,53-7065,-1.2147341769799942
92456,53-7071,-0.7013662893371804
92560,53-7072,-0.7947946588286344
92664,53-7073,-1.0995030656189302
92768,53-7081,-1.4535586106918108
92872,53-7121,-1.3945203591395479
