Institution Name,City,Province,Region,Reg,Qualification,IsConstruction,Is_Development,Is_Assessment,Trainer Count,Enrolled,Graduates,Number of Accredited Ass Qual,Assessed,Certified
SOCIO INTER SKILLS TRAINING ACADEMY (SISTA) INC.,Makati City,PASMAK,National Capital Region (NCR),NCR,Hilot (Wellness Massage) NC II,FALSE,1,1,4,420,360,1,223,223
"NATIONAL INSTITUTE FOR TECHNICAL AND VOCATIONAL CAREERS, INC. ",Quezon City,Quezon City,National Capital Region (NCR),NCR,Contact Center Services NC II,FALSE,1,0,4,387,360,0,0,0
TECHVOC SKILLS INC.,"Sampaloc, City of Manila",City of Manila,National Capital Region (NCR),NCR,Hilot (Wellness Massage) NC II,FALSE,1,0,3,366,359,0,0,0
THE MOLINO INSTITUTE OF SCIENCE AND TECHNOLOGY INC.,Candelaria,Quezon,Region IVA - CALABARZON,4A,Bread and Pastry Production NC II,FALSE,1,1,5,465,358,1,270,263
ST. MARTIN SCHOOL OF ADVANCED TECHNOLOGY AND CAREGIVER INC.,City of Dasmariñas,Cavite,Region IVA - CALABARZON,4A,Caregiving NC II,FALSE,1,0,5,328,357,0,0,0
"HIGH PERFORMANCE INTERNATIONAL TRAINING CENTER AND TRADE TEST, INC.","Paco, City of Manila",City of Manila,National Capital Region (NCR),NCR,Domestic Work NC II,FALSE,1,0,1,354,354,0,0,0
SYNERGY ASSESSMENT & TRAINING CENTER,Malvar,Batangas,Region IVA - CALABARZON,4A,Events Management Services NC III,FALSE,1,0,2,334,353,0,0,0
POWER LINK CENTER FOR ADVANCED TECHNICAL SKILLS DEVELOPMENT INC.,"Malate, City of Manila",City of Manila,National Capital Region (NCR),NCR,Cookery NC II,FALSE,1,0,5,455,352,0,0,0
"Arellano University, Inc.","Sampaloc, City of Manila",City of Manila,National Capital Region (NCR),NCR,Bread and Pastry Production NC II,FALSE,1,0,2,352,352,0,0,0
"SILVERPOINT TRAINING INSTITUTE OF INDUSTRIAL SECURITY, INC.",Pasay City,PASMAK,National Capital Region (NCR),NCR,Security Services NC II,FALSE,1,0,2,295,351,0,0,0
"HIGH PERFORMANCE INTERNATIONAL TRAINING CENTER AND TRADE TEST, INC.","Paco, City of Manila",City of Manila,National Capital Region (NCR),NCR,Bread and Pastry Production NC II,FALSE,1,0,3,380,351,0,0,0
Computer Site Ins. Inc.,San Pedro,Laguna,Region IVA - CALABARZON,4A,Computer Systems Servicing NC II,FALSE,1,0,5,399,349,0,0,0
"INTERNATIONAL TRAINING CENTER AND HOSPITALITY INSTITUTE, INC.",Mandaluyong City,PAMAMARISAN,National Capital Region (NCR),NCR,Bread and Pastry Production NC II,FALSE,1,1,3,263,344,1,531,530
"EVERBRIGHT INTERNATIONAL ACADEMY, INC.",Bacoor City,Cavite,Region IVA - CALABARZON,4A,Caregiving NC II,FALSE,1,0,4,303,343,0,0,0
TAGUIG MANPOWER TRAINING AND ASSESSMENT CENTER (TMTC),Taguig City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,Bread and Pastry Production NC II,FALSE,1,1,4,199,342,1,242,242
POWER LINK CENTER FOR ADVANCED TECHNICAL SKILLS DEVELOPMENT INC.,"Malate, City of Manila",City of Manila,National Capital Region (NCR),NCR,Bread and Pastry Production NC II,FALSE,1,0,5,401,342,0,0,0
"ST. MICHAEL ARCANGEL TECHNOLOGICAL INSTITUTE, INC.",Malabon City,CAMANAVA,National Capital Region (NCR),NCR,Bread and Pastry Production NC II,FALSE,1,1,2,233,341,1,219,219
PHILIPPINE SCHOOL FOR TECHNOLOGY DEVELOPMENT AND INNOVATION INC.,Valenzuela City,CAMANAVA,National Capital Region (NCR),NCR,Bread and Pastry Production NC II,FALSE,1,1,2,188,339,1,168,168
"SOUTHERN LUZON TECHNOLOGICAL COLLEGE FOUNDATION, INC.",Pasig City,PAMAMARISAN,National Capital Region (NCR),NCR,Contact Center Services NC II,FALSE,1,0,3,183,337,0,0,0
ADAO LEARNING INSTITUTE INC.,Kalayaan,Laguna,Region IVA - CALABARZON,4A,Organic Agriculture Production NC II,FALSE,1,1,6,433,336,1,199,172
