Institution Name,City,Province,Region,Reg,Qualification,IsConstruction,Is_Development,Is_Assessment,Trainer Count,Enrolled,Graduates,Number of Accredited Ass Qual,Assessed,Certified
"ST. CATHERINE INSTITUTE OF TECHNOLOGY, INC.",Malabon City,CAMANAVA,National Capital Region (NCR),NCR,Barista NC II,FALSE,1,0,0,0,55,0,0,0
Quezon City Lingkod Bayan Skills Development Center,Quezon City,Quezon City,National Capital Region (NCR),NCR,Electronic Products Assembly and Servicing NC II,FALSE,1,0,1,95,55,0,0,0
"IETI College, Inc.",Muntinlupa City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,Electronic Products Assembly and Servicing NC II,FALSE,1,0,0,0,55,0,0,0
"Miesha Training Academy and Assessment Center, Inc.",Quezon City,Quezon City,National Capital Region (NCR),NCR,Gas Metal Arc Welding (GMAW) NC II,TRUE,1,0,2,55,55,0,0,0
"DE OCAMPO MEMORIAL COLLEGE, INC.","Sampaloc, City of Manila",City of Manila,National Capital Region (NCR),NCR,Dental Laboratory Technology Services (Removable Dentures/Appliances) NC II,FALSE,1,0,1,62,55,0,0,0
"CONCORDIA COLLEGE, INC.","Paco, City of Manila",City of Manila,National Capital Region (NCR),NCR,Events Management Services NC III,FALSE,1,1,1,54,54,1,250,250
"UNO CAREGIVER AND DOMESTIC MNGT TRAINING, INC.",Makati City,PASMAK,National Capital Region (NCR),NCR,Food and Beverage Services NC III,FALSE,1,1,0,0,54,1,25,19
ST. MATTHEW OF BLUMENTRITT INSTITUTE OF TECHNOLOGY (SMBIT). INC.,"Santa Cruz, City of Manila",City of Manila,National Capital Region (NCR),NCR,Barista NC II,FALSE,1,0,2,54,54,0,0,0
"ACCESS PASIG COMPUTER & TECHNICAL COLLEGES, INC. ",Pasig City,PAMAMARISAN,National Capital Region (NCR),NCR,Computer Systems Servicing NC II,FALSE,1,0,1,54,54,0,0,0
"Infotech Institute of Arts and Sciences, Inc.",Parañaque City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,Events Management Services NC III,FALSE,1,0,1,54,54,0,0,0
"MARY CHILES HOSPITAL, INC. DOING BUSINESS UNDER THE NAME AND STYLE OF MARY CHILES GEN. HOSPITAL; MARY CHILES COLLEGE AND MCC CHILDBIRTH AND WOMEN'S CENTER","Sampaloc, City of Manila",City of Manila,National Capital Region (NCR),NCR,Computer Systems Servicing NC II,FALSE,1,0,1,54,54,0,0,0
STI- COLLEGE MARIKINA INC.,Marikina City,PAMAMARISAN,National Capital Region (NCR),NCR,Cookery NC II,FALSE,1,0,1,54,54,0,0,0
STI- COLLEGE MARIKINA INC.,Marikina City,PAMAMARISAN,National Capital Region (NCR),NCR,Food and Beverage Services NC II,FALSE,1,0,1,54,54,0,0,0
EMME INSTITUTE OF TECHNOLOGY INC.,City of Calamba,Laguna,Region IVA - CALABARZON,4A,Driving (Articulated Vehicle) NC III,FALSE,1,1,1,65,53,1,183,181
CLEAR VOCATION INSTITUTE FOR SKILLS TRAINING & ASSESSMENT CORP.,Quezon City,Quezon City,National Capital Region (NCR),NCR,Housekeeping NC II,FALSE,1,1,2,96,53,1,162,162
"EMMAUS CHRISTIAN SCHOOLS, INCORPORATED",Valenzuela City,CAMANAVA,National Capital Region (NCR),NCR,Housekeeping NC II,FALSE,1,1,2,53,53,1,25,25
YURIMI CENTER FOR HOSPITALITY AND CULINARY ARTS INC.,Los Baños,Laguna,Region IVA - CALABARZON,4A,Food and Beverage Services NC II,FALSE,1,1,1,53,53,1,24,24
"FINE INTERNATIONAL TRAINING CENTER, INC.",Makati City,PASMAK,National Capital Region (NCR),NCR,Caregiving NC II,FALSE,1,0,3,83,53,0,0,0
"Integrated Movement Academy, Inc.",Las Piñas City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,Cookery NC II,FALSE,1,0,1,53,53,0,0,0
ITECH TECHNICAL VOCATIONAL INSTITUTE CORP.,Rodriguez (Montalban),Rizal,Region IVA - CALABARZON,4A,Shielded Metal Arc Welding (SMAW) NC II,TRUE,1,0,1,60,53,0,0,0
St. Anne College Lucena Inc.,Lucena City,Quezon,Region IVA - CALABARZON,4A,Food and Beverage Services NC II,FALSE,1,0,1,55,53,0,0,0
RVN TECH-VOC INC.,Malabon City,CAMANAVA,National Capital Region (NCR),NCR,Computer Systems Servicing NC II,FALSE,1,0,0,0,53,0,0,0
"XAVIER TECHNICAL TRAINING CENTER, CORP.",Marikina City,PAMAMARISAN,National Capital Region (NCR),NCR,Computer Systems Servicing NC II,FALSE,1,0,1,55,53,0,0,0
OUR LADY OF ASSUMPTION COLLEGE OF LAGUNA INC.,San Pedro,Laguna,Region IVA - CALABARZON,4A,Contact Center Services NC II,FALSE,1,0,1,76,53,0,0,0
SELAH INTERNATIONAL TRAINING AND ASSESSMENT INC.,"Tondo I/II, City of Manila",City of Manila,National Capital Region (NCR),NCR,Cookery NC II,FALSE,1,0,1,53,53,0,0,0
(S.J.B.) SAINT JOHN BOSCO I.A.S. INC. - (Pasig Branch),Pasig City,PAMAMARISAN,National Capital Region (NCR),NCR,Housekeeping NC II,FALSE,1,0,1,56,53,0,0,0
GOLDENHEART SKILLS TRAINING INC.,City of Antipolo,Rizal,Region IVA - CALABARZON,4A,Shielded Metal Arc Welding (SMAW) NC II,TRUE,1,0,1,54,53,0,0,0
"UNO CAREGIVER AND DOMESTIC MNGT TRAINING, INC.",Makati City,PASMAK,National Capital Region (NCR),NCR,Caregiving NC II,FALSE,1,1,2,52,52,1,648,646
"UNO CAREGIVER AND DOMESTIC MNGT TRAINING, INC.",Makati City,PASMAK,National Capital Region (NCR),NCR,Trainers Methodology Level I,FALSE,1,1,2,53,52,1,117,87
SANTA CELERINA INSTITUTE OF TECHNOLOGY (SCITEC) INC.,"Santa Cruz, City of Manila",City of Manila,National Capital Region (NCR),NCR,Bread and Pastry Production NC II,FALSE,1,1,1,52,52,1,66,66
SAN JUAN INSTITUTE OF TECHNOLOGY,San Juan,Batangas,Region IVA - CALABARZON,4A,Shielded Metal Arc Welding (SMAW) NC I,TRUE,1,1,1,52,52,1,61,61
KUMINTANG INSTITUTE TRAINING AND ASSESSMENT INC.,Talisay,Batangas,Region IVA - CALABARZON,4A,Barista NC II,FALSE,1,1,1,53,52,1,48,48
HEADSTART TRAINING CENTER CORP.,Malabon City,CAMANAVA,National Capital Region (NCR),NCR,Events Management Services NC III,FALSE,1,1,2,183,52,1,45,45
PHILIPPINE INDUSTRIAL EQUIPMENT TECHNICAL INSTITUTE INC.,Teresa,Rizal,Region IVA - CALABARZON,4A,Scaffolding Works (Supported Type Scaffold) NC II,TRUE,1,1,1,66,52,1,28,28
MEPF TECHNOLOGICAL INSTITUTE (MTI) INC.,Quezon City,Quezon City,National Capital Region (NCR),NCR,Plumbing NC III,TRUE,1,1,2,56,52,1,23,23
"CONCORDIA COLLEGE, INC.","Paco, City of Manila",City of Manila,National Capital Region (NCR),NCR,Trainers Methodology Level I,FALSE,1,1,1,56,52,1,24,19
Provincial Training Center - Lipa,Lipa City,Batangas,Region IVA - CALABARZON,4A,Organic Agriculture Production NC II,FALSE,1,0,1,53,52,0,0,0
UNIVERSITY OF BATANGAS,Batangas City,Batangas,Region IVA - CALABARZON,4A,Mechatronics Servicing NC II,FALSE,1,0,1,36,52,0,0,0
HOLY TRINITY SCHOOL OF SCIENCE AND TECHNOLOGY INC.,Binangonan,Rizal,Region IVA - CALABARZON,4A,Computer Systems Servicing NC II,FALSE,1,0,1,16,52,0,0,0
"IMUS COMPUTER COLLEGE, INC. - TRECE",Trece Martires City,Cavite,Region IVA - CALABARZON,4A,Bookkeeping NC III,FALSE,1,0,1,56,52,0,0,0
ADAO LEARNING INSTITUTE INC.,Kalayaan,Laguna,Region IVA - CALABARZON,4A,Caregiving NC II,FALSE,1,0,3,77,52,0,0,0
Coriander Culinary Academy Inc.,Ibaan,Batangas,Region IVA - CALABARZON,4A,Electrical Installation and Maintenance NC II,TRUE,1,0,1,52,52,0,0,0
EL ROYALE CREDIT COOPERATIVE,City of Tayabas,Quezon,Region IVA - CALABARZON,4A,Computer Systems Servicing NC II,FALSE,1,0,2,52,52,0,0,0
"Olivarez College, Inc.",Parañaque City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,Contact Center Services NC II,FALSE,1,0,1,52,52,0,0,0
"ACLC COLLEGE OF MANILA, INC.","Sampaloc, City of Manila",City of Manila,National Capital Region (NCR),NCR,Computer Systems Servicing NC II,FALSE,1,0,1,52,52,0,0,0
IMMACULADA CONCEPCION COLLEGE OF SOLDIERS HILLS CALOOCAN CITY INC.,Caloocan City,CAMANAVA,National Capital Region (NCR),NCR,Computer Systems Servicing NC II,FALSE,1,0,1,138,52,0,0,0
"INFOTECH COLLEGE OF ARTS & SCIENCES PHILIPPINES, INC.",City of Antipolo,Rizal,Region IVA - CALABARZON,4A,Events Management Services NC III,FALSE,1,0,1,56,52,0,0,0
"E-JUVENEX'S ACADEMY, INC. DOING BUSINESS UNDER JUVENEX'S TRAINING CENTER; JUVENEX'S MASSAGE SPA",Quezon City,Quezon City,National Capital Region (NCR),NCR,Hilot (Wellness Massage) NC II,FALSE,1,0,1,52,52,0,0,0
TAAL MARANAN'S FARMVILLE INC.,Taal,Batangas,Region IVA - CALABARZON,4A,Organic Agriculture Production NC II,FALSE,1,0,1,52,52,0,0,0
BRIGHT FUTURE SKILLS TRAINING AND ASSESSMENT CENTER INC.,Quezon City,Quezon City,National Capital Region (NCR),NCR,Shielded Metal Arc Welding (SMAW) NC II,TRUE,1,1,1,51,51,1,452,445
UNITED INSTITUTE FOR BUSINESS AND TECHNOLOGY ASSESSMENT INC.,Marikina City,PAMAMARISAN,National Capital Region (NCR),NCR,Computer Systems Servicing NC II,FALSE,1,1,2,51,51,1,374,373
XAVIER TECHNICAL TRAINING CENTER CORP.,Quezon City,Quezon City,National Capital Region (NCR),NCR,Shielded Metal Arc Welding (SMAW) NC II,TRUE,1,1,1,56,51,1,124,123
XAVIER TECHNICAL TRAINING CENTER CORP.,Quezon City,Quezon City,National Capital Region (NCR),NCR,Shielded Metal Arc Welding (SMAW) NC I,TRUE,1,1,1,51,51,1,110,110
LAGUNA COLLEGE OF ARTS AND TECHNOLOGY INC.,Victoria,Laguna,Region IVA - CALABARZON,4A,Events Management Services NC III,FALSE,1,1,2,91,51,1,84,84
XAVIER TECHNICAL TRAINING CENTER CORP.,City of Biñan,Laguna,Region IVA - CALABARZON,4A,Gas Metal Arc Welding (GMAW) NC I,TRUE,1,1,2,51,51,1,72,72
TESDA-LLDA PROVINCIAL TRAINING CENTER,Calauan,Laguna,Region IVA - CALABARZON,4A,Dressmaking NC II,FALSE,1,1,1,42,51,1,60,59
GRANT INSTITUTE OF TRADE AND TECHNOLOGY,San Pablo City,Laguna,Region IVA - CALABARZON,4A,Food and Beverage Services NC II,FALSE,1,0,2,61,51,0,0,0
Bondoc Peninsula Technological Institute,San Narciso,Quezon,Region IVA - CALABARZON,4A,Electrical Installation and Maintenance NC II,TRUE,1,0,2,71,51,0,0,0
D'CONSTANTINOS FARM CORP.,Maragondon,Cavite,Region IVA - CALABARZON,4A,Animal Production (Ruminants) NC II,FALSE,1,0,1,56,51,0,0,0
"COLLEGE OF SAN BENILDO-RIZAL FOUNDATION, INC.",City of Antipolo,Rizal,Region IVA - CALABARZON,4A,Shielded Metal Arc Welding (SMAW) NC I,TRUE,1,0,2,54,51,0,0,0
"ST. CATHERINE INSTITUTE OF TECHNOLOGY, INC.",Malabon City,CAMANAVA,National Capital Region (NCR),NCR,Cookery NC II,FALSE,1,0,2,51,51,0,0,0
"LAURA VICUÑA FOUNDATION, INC.",Quezon City,Quezon City,National Capital Region (NCR),NCR,Bookkeeping NC III,FALSE,1,0,2,54,51,0,0,0
Bernardo College,Las Piñas City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,Computer Systems Servicing NC II,FALSE,1,0,1,51,51,0,0,0
PRECIOUS KNOWLEDGE TRAINING CENTER ,General Trias,Cavite,Region IVA - CALABARZON,4A,Shielded Metal Arc Welding (SMAW) NC I,TRUE,1,0,3,54,51,0,0,0
ASIAN COLLEGE OF COMPUTER AND MARITIME STUDIES (ACCMS) INC.,Catanauan,Quezon,Region IVA - CALABARZON,4A,Computer Systems Servicing NC II,FALSE,1,0,1,52,51,0,0,0
INNOVATIVE TECHNICAL INSTITUTE INC.,Valenzuela City,CAMANAVA,National Capital Region (NCR),NCR,Contact Center Services NC II,FALSE,1,0,1,56,51,0,0,0
TESDA Provincial Training Center - Paliparan,City of Dasmariñas,Cavite,Region IVA - CALABARZON,4A,Trainers Methodology Level I,FALSE,1,0,2,53,51,0,0,0
SANTA CELERINA INSTITUTE OF TECHNOLOGY (SCITEC) INC.,Pasay City,PASMAK,National Capital Region (NCR),NCR,Programming (Java) NC III,FALSE,1,0,1,51,51,0,0,0
DIVERSIFIED CORPORATION,Mandaluyong City,PAMAMARISAN,National Capital Region (NCR),NCR,Shielded Metal Arc Welding (SMAW) NC II,TRUE,1,0,1,57,51,0,0,0
HYONG YANG INSTITUTE OF TECHNOLOGY INC.,Lucena City,Quezon,Region IVA - CALABARZON,4A,Food and Beverage Services NC II,FALSE,1,1,1,50,50,1,152,152
CRUZEDAL TRAINING & ASSESSMENT CENTER INC.,San Pablo City,Laguna,Region IVA - CALABARZON,4A,Bread and Pastry Production NC II,FALSE,1,1,2,102,50,1,131,131
"EMMAUS CHRISTIAN SCHOOLS, INCORPORATED",Valenzuela City,CAMANAVA,National Capital Region (NCR),NCR,Bread and Pastry Production NC II,FALSE,1,1,2,50,50,1,93,93
UNITECH EDUCATIONAL INSTITUTE (UEI) INC.,Lucena City,Quezon,Region IVA - CALABARZON,4A,Shielded Metal Arc Welding (SMAW) NC III,TRUE,1,1,1,25,50,1,88,87
ST. GABRIEL COLLEGE OF TECHNOLOGY AND ASSESSMENT CENTER INC.,Lucena City,Quezon,Region IVA - CALABARZON,4A,Computer Systems Servicing NC II,FALSE,1,1,1,50,50,1,102,73
SAN JUAN INSTITUTE OF TECHNOLOGY,San Juan,Batangas,Region IVA - CALABARZON,4A,Shielded Metal Arc Welding (SMAW) NC II,TRUE,1,1,1,51,50,1,47,47
"DR. R.A. FERNANDO SCHOOL OF HEALTHCARE TECHNOLOGY, INC.",Pasay City,PASMAK,National Capital Region (NCR),NCR,Hilot (Wellness Massage) NC II,FALSE,1,1,1,50,50,1,9,9
GOLDEN ARABLE FARM,Maragondon,Cavite,Region IVA - CALABARZON,4A,Agricultural Crops Production NC I,FALSE,1,0,2,50,50,0,0,0
BB AGRIVENTURES OPC,Sampaloc,Quezon,Region IVA - CALABARZON,4A,Organic Agriculture Production NC II,FALSE,1,0,1,50,50,0,0,0
FLOR AND DAISY'S AGRICULTURAL FARM,Sariaya,Quezon,Region IVA - CALABARZON,4A,Agroentrepreneurship NC II,FALSE,1,0,1,50,50,0,0,0
Roqueza's Integrated Farm and Training Center Corporation,Pila,Laguna,Region IVA - CALABARZON,4A,Organic Agriculture Production NC II,FALSE,1,0,2,50,50,0,0,0
Regional Training Center - CALABARZON,Batangas City,Batangas,Region IVA - CALABARZON,4A,Organic Agriculture Production NC II,FALSE,1,0,1,52,50,0,0,0
"TECHNO DEVELOPMENT CENTER OF THE PHILIPPINES, INC.",Pasay City,PASMAK,National Capital Region (NCR),NCR,Driving (Passenger Bus/Straight Truck) NC III,FALSE,1,0,1,50,50,0,0,0
"GATEWAYS INSTITUTE OF SCIENCE & TECHNOLOGY, INC. (Mandaluyong)",Mandaluyong City,PAMAMARISAN,National Capital Region (NCR),NCR,Bartending NC II,FALSE,1,0,1,50,50,0,0,0
Bernardo College,Las Piñas City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,Cookery NC II,FALSE,1,0,0,0,50,0,0,0
CALAMBA MANPOWER DEVELOPMENT CENTER,City of Calamba,Laguna,Region IVA - CALABARZON,4A,Bread and Pastry Production NC II,FALSE,1,0,1,79,50,0,0,0
CALAMBA MANPOWER DEVELOPMENT CENTER,City of Calamba,Laguna,Region IVA - CALABARZON,4A,Food and Beverage Services NC II,FALSE,1,0,1,77,50,0,0,0
EL ROYALE CREDIT COOPERATIVE,City of Tayabas,Quezon,Region IVA - CALABARZON,4A,Cookery NC II,FALSE,1,0,2,50,50,0,0,0
JHEURIS CAKES AND PASTRIES SHOP,Pagbilao,Quezon,Region IVA - CALABARZON,4A,Bread and Pastry Production NC II,FALSE,1,0,2,50,50,0,0,0
RK'S EVENT CATERING SERVICES,Real,Quezon,Region IVA - CALABARZON,4A,Bread and Pastry Production NC II,FALSE,1,0,2,50,50,0,0,0
"SHIP HOTEL CRUISE INSTITUTE OF THE PHILS., INC.",Makati City,PASMAK,National Capital Region (NCR),NCR,Bread and Pastry Production NC II,FALSE,1,0,1,51,50,0,0,0
"St. Francis de Assissi Educational Foundation, Inc.",Las Piñas City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,Cookery NC II,FALSE,1,0,1,52,50,0,0,0
ST. HONORE ACADEMY INC.,Candelaria,Quezon,Region IVA - CALABARZON,4A,Bread and Pastry Production NC II,FALSE,1,0,1,50,50,0,0,0
Calayan Educational Foundation Inc.,Lucena City,Quezon,Region IVA - CALABARZON,4A,Caregiving NC II,FALSE,1,0,2,49,50,0,0,0
"CORINTH GLOBAL JAPANESE LANGUAGE AND CULTURE SKILLS TRAINING AND ASSESSMENT CENTER, INCORPORATED (FORMERLY: CORINTH GLOBAL JAPANESE LANGUAGE AND SKILLS TRAINING CENTER INC.)",Parañaque City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,Caregiving NC II,FALSE,1,0,1,55,50,0,0,0
ACEBA SCIENCE & TECH. INSTITUTE (ASTI) INC.,Mauban,Quezon,Region IVA - CALABARZON,4A,Computer Systems Servicing NC II,FALSE,1,0,2,75,50,0,0,0
Seaman Job Study Center Inc.,Sariaya,Quezon,Region IVA - CALABARZON,4A,Shielded Metal Arc Welding (SMAW) NC II,TRUE,1,0,1,50,50,0,0,0
"Stars and Rainbow Academy, Inc.",Parañaque City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,Flux-Cored Arc Welding (FCAW) NC II,TRUE,1,0,1,75,50,0,0,0
"MARY THE QUEEN COLLEGE OF QUEZON CITY, INC.",Quezon City,Quezon City,National Capital Region (NCR),NCR,Food and Beverage Services NC II,FALSE,1,0,1,63,50,0,0,0
BEEGOOD AGRICULTURAL LEARNING CENTER,Tiaong,Quezon,Region IVA - CALABARZON,4A,Organic Agriculture Production NC II,FALSE,1,0,2,50,50,0,0,0
HOME CULINARY AND TECHNICAL SCHOOL CORPORATION,Parañaque City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,Food and Beverage Services NC II,FALSE,1,1,0,0,49,1,49,49
TAGUIG MANPOWER TRAINING AND ASSESSMENT CENTER (TMTC),Taguig City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,Caregiving NC II,FALSE,1,1,2,50,49,1,48,48
REGIONAL TRAINING CENTER - NCR,Taguig City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,Mechatronics Servicing NC III,FALSE,1,1,1,51,49,1,26,26
Jacobo Z. Gonzales Memorial School of Arts and Trades,City of Biñan,Laguna,Region IVA - CALABARZON,4A,Automotive Servicing NC I,FALSE,1,0,2,54,49,0,0,0
TESDA Women's Center,Taguig City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,Trainers Methodology Level I,FALSE,1,0,0,0,49,0,0,0
VALENZUELA CITY TECHNOLOGICAL COLLEGE,Valenzuela City,CAMANAVA,National Capital Region (NCR),NCR,Caregiving NC II,FALSE,1,0,1,81,49,0,0,0
ATHENA ACADEME INC.,Angono,Rizal,Region IVA - CALABARZON,4A,Bookkeeping NC III,FALSE,1,0,1,49,49,0,0,0
Lyceum of ALabang,Muntinlupa City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,Trainers Methodology Level I,FALSE,1,0,2,51,49,0,0,0
"Trimex Colleges, Inc.",City of Biñan,Laguna,Region IVA - CALABARZON,4A,Caregiving NC II,FALSE,1,0,2,99,49,0,0,0
"MAVI ARTS AND VOCATIONAL INSTITUTE, INC.","Tondo I/II, City of Manila",City of Manila,National Capital Region (NCR),NCR,Bread and Pastry Production NC II,FALSE,1,0,2,75,49,0,0,0
"SLDM COLLEGES OF QUEZON CITY, INC. ",Quezon City,Quezon City,National Capital Region (NCR),NCR,Housekeeping NC II,FALSE,1,0,1,49,49,0,0,0
"WESTBRIDGE INSITUTE OF TECHNOLOGY, INC.",San Mateo,Rizal,Region IVA - CALABARZON,4A,Bread and Pastry Production NC II,FALSE,1,0,2,49,49,0,0,0
"WORLD CITI, INC. DOING BUSINESS UNDER THE NAME AND STYLE OF WORLD CITI COLLEGES AND WORLD CITI MEDIC",Quezon City,Quezon City,National Capital Region (NCR),NCR,Caregiving NC II,FALSE,1,0,1,24,49,0,0,0
AB TECHNICAL TRAINING AND ASSESSMENT CENTER INC.,City of Antipolo,Rizal,Region IVA - CALABARZON,4A,Caregiving (Elderly) NC II,FALSE,1,0,1,49,49,0,0,0
THE GOAL VENTURE TRAINING AND ASSESSMENT CENTER CORPORATION,Tanza,Cavite,Region IVA - CALABARZON,4A,Caregiving (Elderly) NC II,FALSE,1,0,1,59,49,0,0,0
LIN HUI KHO TECHNICAL & VOCATIONAL TRAINING CENTER INC.,Nasugbu,Batangas,Region IVA - CALABARZON,4A,Cookery NC II,FALSE,1,0,1,50,49,0,0,0
INTERNATIONAL TRANSPORTATION ACADEMY AND ASSESSMENT CENTER INC.,Carmona,Cavite,Region IVA - CALABARZON,4A,Driving (Articulated Vehicle) NC III,FALSE,1,0,1,49,49,0,0,0
"ST. PETER VELLE TECHNICAL TRAINING CENTER, INC.",Quezon City,Quezon City,National Capital Region (NCR),NCR,Electrical Installation and Maintenance NC II,TRUE,1,0,1,57,49,0,0,0
JC INSTITUTE FOR TRAINING AND ASSESSMENT CENTER INC.,Lipa City,Batangas,Region IVA - CALABARZON,4A,Events Management Services NC III,FALSE,1,0,1,50,49,0,0,0
AD OMNIPOTENCE TRAINING AND ASSESSMENT CENTER INC.,Calatagan,Batangas,Region IVA - CALABARZON,4A,Electrical Installation and Maintenance NC II,TRUE,1,1,1,48,48,1,428,413
BINANGONAN CATHOLIC COLLEGE INC.,Binangonan,Rizal,Region IVA - CALABARZON,4A,Events Management Services NC III,FALSE,1,1,2,52,48,1,176,155
TESDA-LLDA PROVINCIAL TRAINING CENTER,Calauan,Laguna,Region IVA - CALABARZON,4A,Shielded Metal Arc Welding (SMAW) NC I,TRUE,1,1,1,49,48,1,152,147
JAYCOM TRAINING AND ASSESSMENT CENTER INC.,Trece Martires City,Cavite,Region IVA - CALABARZON,4A,Shielded Metal Arc Welding (SMAW) NC I,TRUE,1,1,1,48,48,1,67,67
"FAIR EMPLOYMENT TRAINING & ASSESSMENT CENTER, INC.",Parañaque City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,Domestic Work NC II,FALSE,1,1,2,53,48,1,40,40
Quezon National Agricultural School,Pagbilao,Quezon,Region IVA - CALABARZON,4A,Driving NC II,FALSE,1,0,1,49,48,0,0,0
Regional Training Center - CALABARZON,Batangas City,Batangas,Region IVA - CALABARZON,4A,Electronic Products Assembly and Servicing NC II,FALSE,1,0,1,51,48,0,0,0
"CARENET HEALTHCARE INSTITUTE, INC.","Tondo I/II, City of Manila",City of Manila,National Capital Region (NCR),NCR,Barista NC II,FALSE,1,0,3,102,48,0,0,0
SMI INSTITUTE INC.,Pasay City,PASMAK,National Capital Region (NCR),NCR,Bartending NC II,FALSE,1,0,1,48,48,0,0,0
Quezon City Lingkod Bayan Skills Development Center,Quezon City,Quezon City,National Capital Region (NCR),NCR,Electrical Installation and Maintenance NC II,TRUE,1,0,1,49,48,0,0,0
HOLY TRINITY SCHOOL OF SCIENCE AND TECHNOLOGY INC.,Binangonan,Rizal,Region IVA - CALABARZON,4A,Events Management Services NC III,FALSE,1,0,2,26,48,0,0,0
ELPEEDA SKILLS CENTRE INC.,San Antonio,Quezon,Region IVA - CALABARZON,4A,Computer Systems Servicing NC II,FALSE,1,0,2,50,48,0,0,0
"EMMANUEL JOHN INSTITUTE OF SCIENCE & TECHNOLOGY, INC.",Caloocan City,CAMANAVA,National Capital Region (NCR),NCR,Events Management Services NC III,FALSE,1,0,1,48,48,0,0,0
Calamba Doctors' College,City of Calamba,Laguna,Region IVA - CALABARZON,4A,Caregiving NC II,FALSE,1,0,1,122,48,0,0,0
RVN TECH-VOC INC.,Malabon City,CAMANAVA,National Capital Region (NCR),NCR,Events Management Services NC III,FALSE,1,0,2,48,48,0,0,0
Seaman Job Study Center Inc.,Sariaya,Quezon,Region IVA - CALABARZON,4A,Computer Systems Servicing NC II,FALSE,1,0,1,49,48,0,0,0
CITY OF MALABON POLYTECHNIC INSTITUTE,Malabon City,CAMANAVA,National Capital Region (NCR),NCR,Shielded Metal Arc Welding (SMAW) NC I,TRUE,1,0,1,91,48,0,0,0
Technical Skills System of Lucena Inc.,Lucena City,Quezon,Region IVA - CALABARZON,4A,Shielded Metal Arc Welding (SMAW) NC II,TRUE,1,0,2,49,48,0,0,0
"ST. FRANCIS TECHNICAL INSTITUTE CENTER FOR DEVELOPMENT, TRAINING AND COMPETENCY ASSESSMENT, INC.",Caloocan City,CAMANAVA,National Capital Region (NCR),NCR,Shielded Metal Arc Welding (SMAW) NC I,TRUE,1,0,1,70,48,0,0,0
TESDA-LLDA PROVINCIAL TRAINING CENTER,Calauan,Laguna,Region IVA - CALABARZON,4A,Electrical Installation and Maintenance NC II,TRUE,1,1,1,49,47,1,413,387
"INTERNATIONAL TRAINING CENTER AND HOSPITALITY INSTITUTE, INC.",Mandaluyong City,PAMAMARISAN,National Capital Region (NCR),NCR,Housekeeping NC II,FALSE,1,1,0,0,47,1,250,250
Regional Training Center - CALABARZON,Batangas City,Batangas,Region IVA - CALABARZON,4A,Electrical Installation and Maintenance NC III,TRUE,1,0,2,56,47,0,0,0
"ST. CATHERINE INSTITUTE OF TECHNOLOGY, INC.",Malabon City,CAMANAVA,National Capital Region (NCR),NCR,Shielded Metal Arc Welding (SMAW) NC I,TRUE,1,0,1,59,47,0,0,0
"LA SALLE GREENHILLS, INC.",Mandaluyong City,PAMAMARISAN,National Capital Region (NCR),NCR,Events Management Services NC III,FALSE,1,0,1,55,47,0,0,0
"Integrated Innovation and Hospitality Colleges, Inc.",Caloocan City,CAMANAVA,National Capital Region (NCR),NCR,Bread and Pastry Production NC II,FALSE,1,0,2,50,47,0,0,0
"Olivarez College, Inc.",Parañaque City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,Bread and Pastry Production NC II,FALSE,1,0,1,49,47,0,0,0
BLUECHIP TRAINING CENTER INC.,San Juan City,PAMAMARISAN,National Capital Region (NCR),NCR,Tourism Promotion Services NC II,FALSE,1,0,1,51,47,0,0,0
"SOUTH COMPEDGE COLLEGE, INC.",Parañaque City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,Events Management Services NC III,FALSE,1,0,1,47,47,0,0,0
"Stars and Rainbow Academy, Inc.",Parañaque City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,Gas Metal Arc Welding (GMAW) NC II,TRUE,1,0,2,67,47,0,0,0
MOTHER IGNACIA NATIONAL SOCIAL APOSTOLATE CENTER,Quezon City,Quezon City,National Capital Region (NCR),NCR,Food and Beverage Services NC II,FALSE,1,0,1,51,47,0,0,0
UNITED INTERNATIONAL MARITIME TRAINING AND ASSESSMENT CENTER INC.,Pasay City,PASMAK,National Capital Region (NCR),NCR,Housekeeping NC II,FALSE,1,1,3,71,46,1,828,828
