,,,,,,,,,,,,,,,,
"Importing 1.1
(Identifier from Pooling)
[Region|Province|Sector|Sub|Job|Program|Type|Rank]",Region,Province,Sector,Subsector,Jobs Requirements,Program,"Program
Type","Priority
Ranking
(Province)",,"Supply Gap
(Baseline - Available Supply)","RP Infra Gap
(Requirement - Existing)","Trainers Infra Gap
(Requirement - Existing)","AC Infra Gap
(Requirement - Existing)","CA Infra Gap
(Requirement - Existing)",Remarks,
,,,,,,,,,,,,,,,"Subject
(multiple selection is applicable)",Remarks
,,,Sector,Subsector,Jobs Requirements,Program,Type,Ranking,,"Total: 161,478","Total: 1,497",Total: 696,Total: 518,Total: 52,,
REGION_VII|BOHOL|TOURISM (HOTEL AND RESTAURANT)|ACCOMODATION|LINEN/UNIFORM SUPERVISOR|HOUSEKEEPING NC III|WITH TR|MEDIUM,REGION_VII,BOHOL,TOURISM (HOTEL AND RESTAURANT),ACCOMODATION,LINEN/UNIFORM SUPERVISOR,HOUSEKEEPING NC III,WITH TR,MEDIUM,,742,4,2,4,0,#REF!,#REF!
REGION_VII|BOHOL|TOURISM (HOTEL AND RESTAURANT)|ACCOMODATION|PUBLIC AREA SUPERVISOR|HOUSEKEEPING NC III|WITH TR|MEDIUM,REGION_VII,BOHOL,TOURISM (HOTEL AND RESTAURANT),ACCOMODATION,PUBLIC AREA SUPERVISOR,HOUSEKEEPING NC III,WITH TR,MEDIUM,,742,7,2,4,0,#REF!,#REF!
REGION_VII|BOHOL|TOURISM (HOTEL AND RESTAURANT)|FOOD AND BEVERAGES|BARTENDING (BARTENDER)|BARTENDING NC II|WITH TR|HIGH,REGION_VII,BOHOL,TOURISM (HOTEL AND RESTAURANT),FOOD AND BEVERAGES,BARTENDING (BARTENDER),BARTENDING NC II,WITH TR,HIGH,,"1,694",7,6,2,0,#REF!,#REF!
REGION_VII|BOHOL|TOURISM (HOTEL AND RESTAURANT)|FOOD AND BEVERAGES|FOOD AND BEVERAGE SERVICES ATTENDANT|FOOD AND BEVERAGE SERVICES NC II|WITH TR|MEDIUM,REGION_VII,BOHOL,TOURISM (HOTEL AND RESTAURANT),FOOD AND BEVERAGES,FOOD AND BEVERAGE SERVICES ATTENDANT,FOOD AND BEVERAGE SERVICES NC II,WITH TR,MEDIUM,,711,8,0,0,0,#REF!,#REF!
REGION_VII|BOHOL|TOURISM (HOTEL AND RESTAURANT)|FOOD AND BEVERAGES|FOOD AND BEVERAGE SERVICES HIGHER QUALIFICATIONS (FBS SUPERVISOR/MANAGER)|FOOD AND BEVERAGE SERVICES NC III|WITH TR|MEDIUM,REGION_VII,BOHOL,TOURISM (HOTEL AND RESTAURANT),FOOD AND BEVERAGES,FOOD AND BEVERAGE SERVICES HIGHER QUALIFICATIONS (FBS SUPERVISOR/MANAGER),FOOD AND BEVERAGE SERVICES NC III,WITH TR,MEDIUM,,742,8,0,1,0,#REF!,#REF!
REGION_VII|BOHOL|TOURISM (HOTEL AND RESTAURANT)|FOOD PRODUCTION|ASSISTANT COOK|COOKERY NC II|WITH TR|MEDIUM,REGION_VII,BOHOL,TOURISM (HOTEL AND RESTAURANT),FOOD PRODUCTION,ASSISTANT COOK,COOKERY NC II,WITH TR,MEDIUM,,640,4,0,0,0,#REF!,#REF!
"REGION_VII|BOHOL|TOURISM (HOTEL AND RESTAURANT)|FOOD PRODUCTION|COMMIS PASTRY
 BAKER|BREAD AND PASTRY PRODUCTION NC II|WITH TR|HIGH",REGION_VII,BOHOL,TOURISM (HOTEL AND RESTAURANT),FOOD PRODUCTION,"COMMIS PASTRY
 BAKER",BREAD AND PASTRY PRODUCTION NC II,WITH TR,HIGH,,"1,704",13,0,0,0,#REF!,#REF!
REGION_VII|BOHOL|TOURISM (HOTEL AND RESTAURANT)|FOOD PRODUCTION|COOK OR COMMIS|COOKERY NC II|WITH TR|MEDIUM,REGION_VII,BOHOL,TOURISM (HOTEL AND RESTAURANT),FOOD PRODUCTION,COOK OR COMMIS,COOKERY NC II,WITH TR,MEDIUM,,640,4,0,0,0,#REF!,#REF!
REGION_VII|BOHOL|TOURISM (HOTEL AND RESTAURANT)|FOOD PRODUCTION|FOOD PROCESSING (QUALITY CONTROLLER)|FOOD PROCESSING NC II|WITH TR|MEDIUM,REGION_VII,BOHOL,TOURISM (HOTEL AND RESTAURANT),FOOD PRODUCTION,FOOD PROCESSING (QUALITY CONTROLLER),FOOD PROCESSING NC II,WITH TR,MEDIUM,,742,8,3,4,1,#REF!,#REF!
REGION_VII|BOHOL|TOURISM (HOTEL AND RESTAURANT)|FOOD PRODUCTION|PREPARE COLD MEALS|COOKERY NC II|WITH TR|HIGH,REGION_VII,BOHOL,TOURISM (HOTEL AND RESTAURANT),FOOD PRODUCTION,PREPARE COLD MEALS,COOKERY NC II,WITH TR,HIGH,,"1,602",13,0,0,0,#REF!,#REF!
REGION_VII|BOHOL|TOURISM (HOTEL AND RESTAURANT)|FOOD PRODUCTION|PREPARE HOT MEALS|COOKERY NC II|WITH TR|HIGH,REGION_VII,BOHOL,TOURISM (HOTEL AND RESTAURANT),FOOD PRODUCTION,PREPARE HOT MEALS,COOKERY NC II,WITH TR,HIGH,,"1,602",14,0,0,0,#REF!,#REF!
"REGION_VII|BOHOL|TOURISM (HOTEL AND RESTAURANT)|TRAVEL AND TOURS|TOUR GUIDING, LOCAL GUIDING SERVICES (TOUR GUIDEFOREIGN LANGUAGE OTHER THAN ENGLISH)|TOUR GUIDING SERVICES NC III|WITH TR|MEDIUM",REGION_VII,BOHOL,TOURISM (HOTEL AND RESTAURANT),TRAVEL AND TOURS,"TOUR GUIDING, LOCAL GUIDING SERVICES (TOUR GUIDEFOREIGN LANGUAGE OTHER THAN ENGLISH)",TOUR GUIDING SERVICES NC III,WITH TR,MEDIUM,,742,8,3,4,0,#REF!,#REF!
"REGION_VII|BOHOL|TOURISM (HOTEL AND RESTAURANT)|TRAVEL AND TOURS|TOURISM PROMOTIONS SERVICES (ONLINE TRAVEL ADVISOR, ONLINE TOURISM PROMOTIONAL MATERIAL DEVELOPER)|TOURISM PROMOTION SERVICES NC II|WITH TR|MEDIUM",REGION_VII,BOHOL,TOURISM (HOTEL AND RESTAURANT),TRAVEL AND TOURS,"TOURISM PROMOTIONS SERVICES (ONLINE TRAVEL ADVISOR, ONLINE TOURISM PROMOTIONAL MATERIAL DEVELOPER)",TOURISM PROMOTION SERVICES NC II,WITH TR,MEDIUM,,733,8,1,0,0,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
,,,,,,,,,,,,,,,#REF!,#REF!
