,,,,,,,,,,,,,,,,
"Importing 1.1
(Identifier from Pooling)
[Region|Province|Sector|Sub|Job|Program|Type|Rank]",Region,Province,Sector,Subsector,Jobs Requirements,Program,"Program
Type","Priority
Ranking
(Province)",,"Supply Gap
(Baseline - Available Supply)","RP Infra Gap
(Requirement - Existing)","Trainers Infra Gap
(Requirement - Existing)","AC Infra Gap
(Requirement - Existing)","CA Infra Gap
(Requirement - Existing)",Remarks,
,,,,,,,,,,,,,,,"Subject
(multiple selection is applicable)",Remarks
,,,Sector,Subsector,Jobs Requirements,Program,Type,Ranking,,"Total: 161,478","Total: 1,497",Total: 696,Total: 518,Total: 52,,
"REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|RICE, VEGETABLE PRODUCTION|WELL DRILLING OPERATIONS AND MAINTENANCE|WATER WELL DRILLING LEVEL II|WITH TR|LOW",REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,"RICE, VEGETABLE PRODUCTION",WELL DRILLING OPERATIONS AND MAINTENANCE,WATER WELL DRILLING LEVEL II,WITH TR,LOW,,507,7,3,3,1,#REF!,#REF!
REGION_VII|BOHOL|AUTOMOTIVE AND LAND TRANSPORTATION|ACCOUNT SPECIALIST|MOTORCYCLE & SMALL ENGINE TECHNICIAN|BOOKKEEPING NC III|WITH TR|LOW,REGION_VII,BOHOL,AUTOMOTIVE AND LAND TRANSPORTATION,ACCOUNT SPECIALIST,MOTORCYCLE & SMALL ENGINE TECHNICIAN,BOOKKEEPING NC III,WITH TR,LOW,,503,6,0,0,0,#REF!,#REF!
REGION_VII|BOHOL|AUTOMOTIVE AND LAND TRANSPORTATION|ACCOUNTING|MOTORCYCLE & SMALL ENGINE TECHNICIAN|BOOKKEEPING NC III|WITH TR|LOW,REGION_VII,BOHOL,AUTOMOTIVE AND LAND TRANSPORTATION,ACCOUNTING,MOTORCYCLE & SMALL ENGINE TECHNICIAN,BOOKKEEPING NC III,WITH TR,LOW,,434,2,0,0,0,#REF!,#REF!
REGION_VII|BOHOL|AUTOMOTIVE AND LAND TRANSPORTATION|AFTERSALES & SERVICES|AUTOMOTIVE MECHANIC/VEHICLE TECHNICIAN|AUTOMOTIVE SERVICING NC I|WITH TR|LOW,REGION_VII,BOHOL,AUTOMOTIVE AND LAND TRANSPORTATION,AFTERSALES & SERVICES,AUTOMOTIVE MECHANIC/VEHICLE TECHNICIAN,AUTOMOTIVE SERVICING NC I,WITH TR,LOW,,507,7,3,3,0,#REF!,#REF!
REGION_VII|BOHOL|AUTOMOTIVE AND LAND TRANSPORTATION|CASHIER|MOTORCYCLE & SMALL ENGINE TECHNICIAN|BOOKKEEPING NC III|WITH TR|LOW,REGION_VII,BOHOL,AUTOMOTIVE AND LAND TRANSPORTATION,CASHIER,MOTORCYCLE & SMALL ENGINE TECHNICIAN,BOOKKEEPING NC III,WITH TR,LOW,,434,2,0,0,0,#REF!,#REF!
REGION_VII|BOHOL|AUTOMOTIVE AND LAND TRANSPORTATION|DRIVING (PASSENGER BUS) NC III|BUS & PUB DRIVERS|DRIVING (PASSENGER BUS/STRAIGHT TRUCK) NC III|WITH TR|LOW,REGION_VII,BOHOL,AUTOMOTIVE AND LAND TRANSPORTATION,DRIVING (PASSENGER BUS) NC III,BUS & PUB DRIVERS,DRIVING (PASSENGER BUS/STRAIGHT TRUCK) NC III,WITH TR,LOW,,507,2,0,3,1,#REF!,#REF!
REGION_VII|BOHOL|AUTOMOTIVE AND LAND TRANSPORTATION|DRIVING (STRAIGHT TRUCK) NC III|TRUCK DRIVERS|DRIVING (PASSENGER BUS/STRAIGHT TRUCK) NC III|WITH TR|HIGH,REGION_VII,BOHOL,AUTOMOTIVE AND LAND TRANSPORTATION,DRIVING (STRAIGHT TRUCK) NC III,TRUCK DRIVERS,DRIVING (PASSENGER BUS/STRAIGHT TRUCK) NC III,WITH TR,HIGH,,"1,704",18,7,9,1,#REF!,#REF!
REGION_VII|BOHOL|AUTOMOTIVE AND LAND TRANSPORTATION|ELECTRICAL INSTALLATION|AUTO ELECTRICIAN|AUTOMOTIVE ELECTRICAL ASSEMBLY NC II|WITH TR|LOW,REGION_VII,BOHOL,AUTOMOTIVE AND LAND TRANSPORTATION,ELECTRICAL INSTALLATION,AUTO ELECTRICIAN,AUTOMOTIVE ELECTRICAL ASSEMBLY NC II,WITH TR,LOW,,507,7,3,3,1,#REF!,#REF!
REGION_VII|BOHOL|AUTOMOTIVE AND LAND TRANSPORTATION|MARKETING AND SALES|MOTORCYCLE & SMALL ENGINE TECHNICIAN|MOTORCYCLE/SMALL ENGINE SERVICING NC II|WITH TR|LOW,REGION_VII,BOHOL,AUTOMOTIVE AND LAND TRANSPORTATION,MARKETING AND SALES,MOTORCYCLE & SMALL ENGINE TECHNICIAN,MOTORCYCLE/SMALL ENGINE SERVICING NC II,WITH TR,LOW,,490,5,0,0,0,#REF!,#REF!
REGION_VII|BOHOL|AUTOMOTIVE AND LAND TRANSPORTATION|RECEPTIONIST|MOTORCYCLE & SMALL ENGINE TECHNICIAN|FRONT OFFICE SERVICES NC II|WITH TR|LOW,REGION_VII,BOHOL,AUTOMOTIVE AND LAND TRANSPORTATION,RECEPTIONIST,MOTORCYCLE & SMALL ENGINE TECHNICIAN,FRONT OFFICE SERVICES NC II,WITH TR,LOW,,507,1,0,0,0,#REF!,#REF!
REGION_VII|BOHOL|AUTOMOTIVE AND LAND TRANSPORTATION|REPAIR AND INSTALLATION|WELDER|AUTOMOTIVE BODY REPAIRING NC II|WITH TR|HIGH,REGION_VII,BOHOL,AUTOMOTIVE AND LAND TRANSPORTATION,REPAIR AND INSTALLATION,WELDER,AUTOMOTIVE BODY REPAIRING NC II,WITH TR,HIGH,,"1,704",16,10,9,1,#REF!,#REF!
REGION_VII|BOHOL|AUTOMOTIVE AND LAND TRANSPORTATION|REPAIR AND MAINTENANCE|AUTO AIRCON TECHNICIAN|AUTOMOTIVE SERVICING NC III|WITH TR|LOW,REGION_VII,BOHOL,AUTOMOTIVE AND LAND TRANSPORTATION,REPAIR AND MAINTENANCE,AUTO AIRCON TECHNICIAN,AUTOMOTIVE SERVICING NC III,WITH TR,LOW,,507,7,3,3,1,#REF!,#REF!
REGION_VII|BOHOL|AUTOMOTIVE AND LAND TRANSPORTATION|REPAIR AND MAINTENANCE|AUTO TECHNICIAN LABORER|AUTOMOTIVE SERVICING NC I|WITH TR|HIGH,REGION_VII,BOHOL,AUTOMOTIVE AND LAND TRANSPORTATION,REPAIR AND MAINTENANCE,AUTO TECHNICIAN LABORER,AUTOMOTIVE SERVICING NC I,WITH TR,HIGH,,"1,704",13,10,9,0,#REF!,#REF!
REGION_VII|BOHOL|AUTOMOTIVE AND LAND TRANSPORTATION|TRANPORTATION AND WAREHOUSING|DRIVING|DRIVING NC II|WITH TR|MEDIUM,REGION_VII,BOHOL,AUTOMOTIVE AND LAND TRANSPORTATION,TRANPORTATION AND WAREHOUSING,DRIVING,DRIVING NC II,WITH TR,MEDIUM,,600,5,0,0,0,#REF!,#REF!
REGION_VII|BOHOL|CONSTRUCTION|BUILDING WIRING|ELECTRICIAN|ELECTRICAL INSTALLATION AND MAINTENANCE NC II|WITH TR|HIGH,REGION_VII,BOHOL,CONSTRUCTION,BUILDING WIRING,ELECTRICIAN,ELECTRICAL INSTALLATION AND MAINTENANCE NC II,WITH TR,HIGH,,"1,625",18,0,0,0,#REF!,#REF!
REGION_VII|BOHOL|CONSTRUCTION|COMMUNITY AND ECOSYSTEM CONSIDERATION|COMMUNITY WORKERS/LIAISON OFFICER|COMMUNITY PROGRAM DEVELOPMENT SERVICES LEVEL IV|WITH CS|HIGH,REGION_VII,BOHOL,CONSTRUCTION,COMMUNITY AND ECOSYSTEM CONSIDERATION,COMMUNITY WORKERS/LIAISON OFFICER,COMMUNITY PROGRAM DEVELOPMENT SERVICES LEVEL IV,WITH CS,HIGH,,"1,704",18,10,0,0,#REF!,#REF!
REGION_VII|BOHOL|CONSTRUCTION|COMPLYING ENVIRONMENTAL LAWS AND STANDARDS|PROJECT DEVELOPMENT AND ENVIRONMENTAL SPECIALIST|COMMUNITY PROGRAM DEVELOPMENT SERVICES LEVEL IV|WITH CS|HIGH,REGION_VII,BOHOL,CONSTRUCTION,COMPLYING ENVIRONMENTAL LAWS AND STANDARDS,PROJECT DEVELOPMENT AND ENVIRONMENTAL SPECIALIST,COMMUNITY PROGRAM DEVELOPMENT SERVICES LEVEL IV,WITH CS,HIGH,,"1,704",18,10,0,0,#REF!,#REF!
